,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CARG,0.5788054520429415,0.5984612436236826,-0.056218382797631916,-0.1452919313949339,True,True,10,10,1.170810038879235,1.2423879688112165,0.8051459914201233,0.15943727200208727,-0.6457087194180361,0.9645832634222106,-1.4508547108381593,1.769729254842334,0.4835315679267044,0.3219084375456255
CRM,0.30839270716173134,0.28743149817184255,0.3389382701150826,0.36382406075151574,True,True,8,10,0.642865418658413,0.5833829712215965,0.5210274150479961,0.04828245475036672,-0.47274496029762936,0.5693098697983628,-0.9937723753456255,1.0903372848463588,0.4720033855886635,0.45913168504808965
PLTR,0.6333909551956414,0.6875746795159929,0.25847119488575887,0.17296868904667928,True,True,9,10,1.4423762151436843,1.4693905638501035,0.7778573114769332,0.07703143874403888,-0.7008258727328943,0.854888750220972,-1.4786831842098274,1.6327460616979053,0.5858592952342767,0.4781720570410264
PLAN,0.3318856148027262,0.3393988129242197,0.41552730151025485,0.3846439300451566,True,True,12,12,0.5764635916625355,0.5959726507615918,0.6248961154441737,-0.003627460803165661,-0.6285235762473393,0.621268654641008,-1.253419691691513,1.2461647700851817,0.5293251956699682,0.5174149490457235
AKAM,0.37661472537334223,0.4055392947373245,0.024781726909803847,-0.021333448851245107,True,True,10,10,0.8367654876090833,0.8507495781853347,0.46827506732946217,0.08780522668125447,-0.3804698406482077,0.5560802940107167,-0.8487449079776699,1.0243553613401788,0.4393495781137108,0.3999362833316943
SQ,0.5729977539923786,0.5846435151645134,0.39456560613428615,0.43535976270886045,True,True,13,12,0.9830014024240806,0.9773564344528313,1.0507029166048276,0.0660183470442783,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.60983343552984,0.5624541892764818
PD,0.4168793039651539,0.44500905226157933,0.3593323336720572,0.25564281013353896,True,True,13,11,0.6972254866666479,0.786794876560067,0.8519779006720787,0.06976892927602225,-0.7822089713960564,0.921746829948101,-1.6341868720681352,1.7737247306201795,0.5754302715229116,0.5145025808421786
U,1.0922023012085413,1.0916562368119291,0.18339911997319158,0.20354772421741207,False,False,10,10,2.559486382798233,2.5365859514018774,1.1187007067282455,-0.10210571236869395,-1.2208064190969394,1.0165949943595516,-2.339507125825185,2.135295701087797,0.4710738892184576,0.4336307645436176
COUP,0.6100995155457904,0.5985089304316924,0.06481140727227352,0.014561893605085974,True,True,11,11,1.1278244864319633,1.1411480577283646,0.8155342834051726,0.11055864399111046,-0.7049756394140622,0.9260929273962831,-1.520509922819235,1.7416272108014557,0.37372484825918195,0.39839860468814836
INTU,0.7493139998701955,0.7696282318335514,-0.02467785831225533,-0.016956179528638593,False,False,3,3,5.229035523729947,5.236505603674533,0.4762475954424968,0.12594709234288953,-0.35030050309960725,0.6021946877853863,-0.8265480985421041,1.078442283227883,0.5378060916609697,0.48491750887879403
DBX,0.3958053797519931,0.3683212788926538,0.25818764675602446,0.2978381282181858,True,True,11,11,0.7141380669856088,0.7374938447055676,0.6330888268332575,0.01076774853230092,-0.6223210783009566,0.6438565753655584,-1.255409905134214,1.276945402198816,0.5630149718943023,0.49106492002784763
CHWY,0.5108762126170244,0.5017167299209333,0.22171097766861214,0.18511311739708836,True,True,15,15,0.8053726814141751,0.7996443436400946,0.6734417498048221,-0.05146131414543565,-0.7249030639502577,0.6219804356593864,-1.3983448137550798,1.2954221854642085,0.3740376890815972,0.2849488099046903
BMBL,1.1648060029352492,1.276465784998742,-0.040851146405537886,-0.07062919311777405,False,False,4,4,6.093907905535032,6.254488779256001,1.0162803903312998,0.13615484309349177,-0.880125547237808,1.1524352334247916,-1.8964059375691078,2.1687156237560914,0.5294656258618449,0.3612271493272592
SE,0.7585043650887912,0.6507096051863602,-0.06875738164077316,0.17984495510828225,True,True,11,11,1.5359364915791405,1.2655524129659126,1.2234742106309673,0.3161773150158199,-0.9072968956151474,1.539651525646787,-2.1307711062461148,2.7631257362777544,0.37777471405313134,0.29488115192745445
FTCH,1.9943146546928074,1.9747097473260666,0.024760182445951462,0.001258367270834948,False,False,3,3,13.598711174993264,13.909689042833255,1.1227862034465192,-0.05533386291180862,-1.1781200663583278,1.0674523405347107,-2.3009062698048472,2.1902385439812297,0.5065145340161328,0.41375646998838234
BOX,0.3057058523996411,0.3055664185409746,0.227271528522204,0.22992034141750928,True,True,13,14,0.4955537329177376,0.49153597570158614,0.534397915784208,0.08043428917999017,-0.45396362660421785,0.6148322049641982,-0.9883615423884259,1.1492301207484061,0.34967860478676904,0.3224043075433679
TDOC,0.6855941345019148,0.6726769311919417,-0.055106680304253475,-0.08270753208777126,False,False,6,6,2.0142630060547897,2.024014619560338,0.9468664585479409,-0.18148091816387513,-1.1283473767118162,0.7653855403840658,-2.075213835259757,1.7122519989320066,0.23035216993969676,0.3919323829702889
CERN,0.33183293198782915,0.3480445999687478,-0.08883898388421696,-0.08939211423614002,True,True,8,9,0.850969446417253,0.7766093536672493,0.32115026288646,0.07053726928099097,-0.250612993605469,0.39168753216745095,-0.571763256491929,0.7128377950539109,0.16564240873767944,-0.032815566761110304
LYFT,1.10868040023176,1.094631072938618,-0.05054695138374732,-0.01775665816151717,False,False,5,4,4.294509281669253,5.001015833244231,0.998536504187314,0.04421488968541103,-0.954321614501903,1.042751393872725,-1.9528581186892169,2.041287898060039,0.4684794018001446,0.3444232167329476
DASH,1.5628323652688412,1.5826104146427413,-0.06417843741066065,-0.05435229391844132,False,False,7,8,5.02844242019911,4.578618743219773,1.0593074135943474,0.05569744113615102,-1.0036099724581964,1.1150048547304985,-2.062917386052544,2.174312268324846,0.3333674888496724,0.21895090307706944
DOCU,0.5530011399046905,0.5804851007080212,0.17339177183785393,0.11791946466141912,True,True,13,11,1.016935307451576,1.1386265845243566,0.737697046638916,0.10830054586570195,-0.6293965007732141,0.8459975925046179,-1.36709354741213,1.583694639143534,0.40814306261700883,0.35592421472952207
FSLY,1.468134248866778,1.089022178833323,-0.1842675571786101,0.020245185729100723,False,False,9,5,3.030934363741226,3.779343176443736,2.461512271669965,-0.408289419415931,-2.869801691085896,2.0532228522540343,-5.3313139627558614,4.514735123923999,0.808783786745199,0.36178616200528746
ZM,1.1429513184324045,1.1520707818847287,-0.0030261714506403248,-0.0194705384613163,False,False,5,5,4.447255729418165,4.520993884536961,1.0024576460512047,-0.08936239048165068,-1.0918200365328554,0.913095255569554,-2.09427768258406,1.9155529016207586,0.3039989744255599,0.30750618757559867
RNG,1.6765763101531832,1.7000366990510265,-0.07998153854647172,-0.10782953892227076,False,False,4,4,8.791105456182088,8.804472078097726,0.9419687002201261,-0.08696482250328527,-1.0289335227234113,0.8550038777168408,-1.9709022229435376,1.796972577936967,0.3566963199414185,0.3011644729814408
WDAY,0.5971495866956963,0.6010164243150927,-0.06311763739463006,-0.058149496980311355,True,True,8,8,1.4318513756649238,1.428646862978564,0.6065100634575276,0.08513260206631851,-0.521377461391209,0.6916426655238461,-1.1278875248487366,1.2981527289813737,0.3447290471397906,0.30358126389987083
DDOG,1.5061517367791035,1.3531561953988436,0.24797057323107718,0.015439265942124636,False,False,5,4,5.537323920691158,6.618921245725909,2.374244302051208,0.40303469357626875,-1.9712096084749393,2.777278995627477,-4.345453910526148,5.151523297678684,0.5735016515423549,0.4775455746169275
BILL,1.168125672077457,1.2160074766757258,0.0023345924560308484,-0.012442054814508996,False,False,5,4,4.118855322433258,4.855387285827852,1.848775202842657,0.26030058958911606,-1.588474613253541,2.109075792431773,-3.4372498160961977,3.95785099527443,0.28437048224559835,0.35648142627036816
