,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.5577413183025717,0.5631850403146635,0.07978962898061692,0.06150737461357514,True,True,8,8,1.353703259018621,1.358576408609379,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.38475702682434443,0.3453035126677154
NUAN,0.12983633464756253,0.11811618644253317,-0.05441854295967441,-0.01796075988605761,True,True,8,9,0.27709797054053464,0.26111634322499216,0.08474254946352268,-0.0011611492387237667,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.06885625519409577,0.05727574065735008
CRWD,1.3201763368119213,1.275430934703658,-0.032870168748195816,0.05133904577697368,True,True,10,9,2.748810519221476,2.7729079673459354,0.9549969357044886,0.2076457021649124,-0.7473512335395762,1.162642637869401,-1.7023481692440647,2.1176395735738898,0.3372854686265302,0.3000387331937596
PD,0.9399805695229622,0.9299667505576306,0.11467755339752228,0.1265186856184488,False,False,5,5,3.913193505995655,3.8225897098860626,1.0623822594971164,0.14442486456387169,-0.9179573949332447,1.2068071240609881,-1.980339654430361,2.2691893835581043,0.6343740689025659,0.625886203475477
ASAN,2.16302440330579,2.2764603844677587,0.006553836809697233,0.023535986972650802,False,False,6,8,6.829453673145474,5.860435080474012,2.8316454963297253,-0.10089349978278819,-2.9325389961125135,2.730751996546937,-5.764184492442239,5.562397492876662,0.15308711182013068,0.5483210974602961
DOCN,1.9152922945116608,1.6802779169542348,0.10753800191955032,0.24567718086605028,True,True,14,13,2.9211426398773517,2.7928822853351343,1.9358975944318835,0.29814508584209337,-1.6377525085897902,2.234042680273977,-3.5736501030216736,4.16994027470586,0.4353049493295956,0.3687058885692873
S,1.4036014227807343,1.1930194506819685,0.14855529480726737,0.2090420334527846,False,False,8,7,3.4264596010213446,3.438368853223054,1.5670261925903708,0.23299851738111924,-1.3340276752092515,1.8000247099714901,-2.9010538677996225,3.3670509025618607,0.6169571292673888,0.5829908842474583
LYFT,1.3461931209524542,1.5402868457305423,0.13977344698318683,0.07117758751569292,False,False,5,5,5.009440912781352,5.545534648302674,1.3074232252273927,-0.011978732461533482,-1.3194019576889262,1.2954444927658593,-2.626825182916319,2.602867717993252,0.5981438274986685,0.3603981883214763
SPLK,0.9638882428529356,0.9577060882270365,0.029689791831001178,0.02740975046729066,False,False,7,7,2.966492347204618,2.960311170045941,0.6922658041701238,-0.051834884613403354,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.555456359725168,0.5436790742140406
NTNX,0.5760717105735648,0.6028383130280022,0.2671165493275003,0.2322071190098547,True,True,8,10,1.3532338754528541,1.2329145785593456,0.7934411774876541,0.07934469192425683,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.6420463314480411,0.5609794413220499
NET,1.4060645660475684,1.307546216710518,0.011805111563220949,0.10487988602564136,False,False,9,9,3.2193035330345268,3.017699641027221,1.487354006319649,0.08467183726667704,-1.402682169052972,1.5720258435863261,-2.890036175372621,3.0593798499059752,0.38238568519382365,0.360400241280844
