,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NUAN,0.1188722018529723,0.09096123499575332,-0.6519330365017382,0.02028582901739151,True,True,8,9,0.25578226357796907,0.18347060454989425,0.08704031726501113,-0.0030694521801100526,-0.09010976944512118,0.08397086508490108,-0.17715008671013233,0.1710111823499122,0.25919271006978095,0.130988343653344
ZS,0.9387354120209597,0.7988993044376129,-0.07012120906954866,0.15274880739514618,False,False,7,7,2.4214954388697385,1.9377772789411094,1.0903689554187523,0.2458350920578237,-0.8445338633609286,1.336204047476576,-1.934902818779681,2.4265730028953283,0.42192236078557765,0.3762039683626561
SNOW,1.2789509864611295,1.207773291263838,-0.07550002319715188,-0.010431324352452531,False,False,5,4,4.515177989800395,4.974712789368265,1.0728499647722938,-0.13792863826209645,-1.2107786030343903,0.9349213265101973,-2.283628567806684,2.007771291282491,0.3155750086031145,0.2904321565838698
FSLY,1.5173911577971,1.3804339593998938,-0.09076730874914407,0.027768016510128612,False,False,8,6,3.793937723506521,4.224123499292246,0.9291820046483371,-0.12825711946856755,-1.0574391241169048,0.8009248851797696,-1.9866211287652418,1.7301068898281067,0.3713053550424309,0.33784718523954516
ABNB,1.146583223143459,1.2312881816609784,0.30349355015068624,0.09805293726829023,True,False,7,7,2.905267215594073,3.2657039524626557,1.2584966643411037,-0.22855882417571152,-1.4870554885168152,1.0299378401653922,-2.745552152857919,2.2884345045064958,0.5881618615452539,0.4349733319537856
WDAY,0.6178098887626854,0.61769103486717,0.32227242041490267,-0.011620193160427617,True,True,8,6,1.318843736239206,1.686947405520068,0.7211848996916742,0.0488046608330129,-0.6723802388586613,0.7699895605246871,-1.3935651385503356,1.4911744602163612,0.4767331870042655,0.3611520372224335
NET,1.3680170195020709,1.0115995981132675,-0.4994323513461567,0.05996859180524294,False,False,9,9,3.038310244548017,2.1365181691712447,1.1406357283061344,-0.07715307263853248,-1.217788800944667,1.0634826556676018,-2.3584245292508013,2.204118383973736,0.32999562821256956,0.26536254531885883
GDDY,1.2189887302059208,1.0996316953482475,-0.030176527033758838,-0.00931414616882642,False,False,5,2,5.014493268128774,9.979272774349743,0.5696289973018134,0.012947337897595678,-0.5566816594042177,0.5825763351994091,-1.126310656706031,1.1522053325012225,0.5035148793637217,0.45899279704561835
BIGC,1.657913550787941,1.161255729992287,-0.311155893810952,0.048427384514671545,False,False,3,6,9.173380453898622,3.6945900700496535,1.1301882606375389,-0.0217393361017835,-1.1519275967393223,1.1084489245357554,-2.282115857376861,2.2386371851732942,0.5202522516699726,0.4337298504738035
SQ,1.0053732168847642,0.6810067403498359,-0.7734672799661062,0.49443038637862047,False,True,8,9,2.436282778904007,1.3251856203199488,1.091365377780691,-0.0018075662527763062,-1.0931729440334674,1.0895578115279148,-2.1845383218141583,2.180923189308606,0.6048725187943345,0.5594951586867649
XM,1.33892579344208,0.8869199768961789,-1.1404505710738748,0.03023507173998341,False,False,5,5,5.534010929391289,3.319835411887099,0.7960758307132367,0.029618488350650597,-0.7664573423625861,0.8256943190638873,-1.562533173075823,1.621770149777124,0.596317603112773,0.5239710129725825
LYFT,1.4097100442299921,1.6045588954226402,0.13043675705881652,0.03682586874939309,False,False,5,6,4.922715937933562,5.056241320048836,1.2279332397471325,-0.10722214258712649,-1.335155382334259,1.120711097160006,-2.5630886220813918,2.3486443369071384,0.5673585136855106,0.3118729837762836
U,1.5028744316569558,1.2737032031320747,0.01864297486182387,0.19820723986306898,False,False,8,10,3.46279838729728,2.6037841960906856,1.1116935247416135,-0.08047917902361172,-1.1921727037652252,1.0312143457180019,-2.303866228506839,2.142907870459615,0.4832754068309044,0.45249006531404357
NOW,0.5268503276573671,0.44365400977877373,-0.16173931016222443,0.3678714083161776,True,True,9,10,0.964199790408488,0.7076474964976682,0.5615195406013213,0.12499817917514033,-0.4365213614261809,0.6865177197764616,-0.9980409020275022,1.248037260377783,0.44069702692284474,0.42307293669384094
MQ,1.9835371614907564,2.0370233863838294,0.11204278575085103,0.08670014651980318,False,False,9,8,4.644650978349493,4.768938546978621,1.729255879729983,0.37002070318416735,-1.3592351765458157,2.0992765829141504,-3.0884910562757986,3.8285324626441337,0.3095797271129358,0.18977181484833727
TEAM,0.9389792597970984,0.806999182487462,-0.2516401599587721,-0.08949314534250208,False,False,6,6,2.938097222321629,2.3834328163261165,0.7737957211269402,0.006189787999778451,-0.7676059331271617,0.7799855091267186,-1.5414016542541018,1.5537812302536589,0.39035744949233,0.3350621836442996
CHWY,1.0190700308983738,0.7844936318594719,-0.9652429497704083,-0.046554263905007165,True,True,8,7,2.410881714524921,1.8492915926055054,0.7532172484506323,-0.029075115441475233,-0.7822923638921075,0.7241421330091571,-1.5355096123427399,1.4773593814597894,0.2352788497574535,0.1913419615509041
RNG,2.237603064206368,1.8959556453237394,-0.1299946090022941,-0.07433292467167307,False,False,4,3,10.135278492889894,11.680521620874922,0.7784045890396327,-0.041807756712992875,-0.8202123457526256,0.7365968323266399,-1.5986169347922583,1.5150014213662726,0.22643444841544047,0.1812463857546721
PLAN,1.3721964350668256,1.1884287486358955,-0.005942728325714075,0.0105404183597968,False,False,3,1,9.320557174236916,22.126103320772142,0.6595503406528592,-0.006952877355692322,-0.6665032180085515,0.652597463297167,-1.3260535586614108,1.312147803950026,0.547966195748919,0.49098233337643427
CDAY,0.7311291633620047,0.4690757126973311,-1.0216764155330034,0.18217548825802665,False,True,7,8,2.16589438056365,1.1489622793980834,0.5750324990563166,0.05579344111669682,-0.5192390579396198,0.6308259401730134,-1.0942715569959365,1.20585843922933,0.5953204313423004,0.5543488500353169
CRWD,1.4169641137339193,1.2385137562779927,-0.33024144842190095,0.005719674848623346,True,True,9,8,3.0682064678138583,2.7170549651825517,1.0068737405254689,0.12125535509478265,-0.8856183854306862,1.1281290956202514,-1.8924921259561551,2.1350028361457203,0.3804479205531496,0.24955095239523917
