,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.2193443817045244,1.155448432539763,-0.01617888115663546,-0.01828194804296368,False,False,6,5,4.048907812886799,4.5358309508823975,0.8111508180833036,-0.05944122238198395,-0.8705920404652875,0.7517095957013197,-1.6817428585485912,1.5628604137846231,0.6402434251330247,0.5207922553529221
BOX,0.32016072672707313,0.31206971398268046,0.23057210409613393,0.1953883282346791,True,True,12,14,0.5019979988432958,0.4923529517842548,0.5433975462177068,0.07838550682146968,-0.4650120393962371,0.6217830530391765,-1.008409585613944,1.165180599256883,0.3484788894556674,0.3191591951669579
NOW,0.4008887177763436,0.40298575159391475,0.16912914702784265,0.1283769404398324,True,True,10,10,0.6697916392685386,0.6984949836867484,0.5654594219225281,0.13354096868671844,-0.43191845323580963,0.6990003906092466,-0.9973778751583378,1.2644598125317745,0.4890752448205953,0.4804006615379295
AMZN,0.5544587548033025,0.4390031465008016,0.32720519481492094,0.3870099078862633,True,True,13,10,0.8803802109462437,0.9060421450271751,0.8805777380805632,0.019114159257582426,-0.8614635788229807,0.8996918973381456,-1.7420413169035438,1.7802696354187089,0.47719134677846575,0.43126691417878815
BIGC,1.0901871665424017,1.0623070377791892,0.05930641679416493,0.024910384053729806,False,False,3,4,5.656401659828688,4.585175095040285,1.103168306604173,0.05567806648297633,-1.0474902401211967,1.1588463730871494,-2.15065854672537,2.2620146796913225,0.6094097546260678,0.5089832747574603
AKAM,0.39266434577801046,0.40050571608595503,-0.07564682449523574,-0.05074635677749151,True,True,10,9,0.8624157354382914,0.9001919816562387,0.4025253959072423,0.1084103725261472,-0.2941150233810951,0.5109357684333895,-0.6966404192883374,0.9134611643406317,0.45980842452036863,0.386900903371305
SNOW,0.530238852681183,0.4318530073972806,-0.14867452077854582,0.2969315913663907,True,True,8,12,1.184752646032488,0.7845844258523266,0.8839017808735614,-0.07294539299772079,-0.9568471738712823,0.8109563878758406,-1.8407489547448437,1.694858168749402,0.351830166433705,0.2989584890271375
PLTR,0.6569332602474132,0.6597374010798435,0.2554313314653175,0.2593591843063574,True,True,7,8,1.7104553153265538,1.554287939017339,1.1099330704438701,0.1558222338782743,-0.9541108365655958,1.2657553043221443,-2.064043907009466,2.3756883747660145,0.11432828893754898,0.09465145378292872
ANGI,0.7475236807538971,0.4147546545982286,-3.7134271178976146,0.5200297124271227,False,True,6,13,2.0708446011029693,0.6352691855182976,0.9810553605632674,-0.06984269015086497,-1.0508980507141323,0.9112126704124024,-2.0319534112774,1.8922680309756696,0.4740655965029593,0.5239262205268832
DASH,1.5503555573487935,1.5181683827812402,-0.07809028147937047,-0.08202250006035983,False,False,7,6,4.946249490820954,5.442524219226393,1.0222256586076728,0.027968992274917545,-0.9942566663327552,1.0501946508825903,-2.0164823249404282,2.072420309490263,0.29094457877555724,0.23225913904372164
SE,0.7360014777045043,0.6730878956553793,-0.09783156020834904,0.08625873135907647,True,True,10,10,1.4990027230990353,1.2833529308592546,1.2352574564613241,0.34061807234361213,-0.894639384117712,1.5758755288049362,-2.129896840579036,2.8111329852662603,0.39081516479070166,0.2907977661313824
CERN,0.3407481672010755,0.3515511287838937,-0.08332951654907195,-0.08070326825317209,True,True,6,8,1.0086383720058194,0.817114628574966,0.3237940525172533,0.06541172318281938,-0.25838232933443395,0.38920577570007264,-0.5821763818516872,0.712999828217326,0.14770098423723987,-0.030846932300675922
FSLY,2.1794717881991215,1.0843976232096222,-8.339382941167266,0.023773472603950796,False,False,4,5,11.321557724467931,3.779166531574474,2.492404957270776,-0.26986171166894934,-2.7622666689397253,2.222543245601827,-5.254671626210501,4.714948202872603,0.4809097444643554,0.37317913599186536
DOCN,1.3089720254710824,1.1932032683844833,-0.5754260183698621,0.09607878000263603,False,True,10,11,2.7654777675572397,2.247584132310888,1.6511256622035713,0.3806173490758397,-1.2705083131277315,2.031743011279411,-2.9216339753313028,3.6828686734829823,0.35475921049079473,0.24570574066160478
SPLK,0.7178270989700428,0.6868799331613116,-0.044495732743988325,-0.037725091239342756,False,False,5,3,2.796530144960834,4.157399111564646,0.6175951363658218,-0.08699588421176013,-0.7045910205775818,0.5305992521540617,-1.3221861569434037,1.1481943885198833,0.48720824979198274,0.4724923664534795
TEAM,1.2045316251768599,0.8523603432714512,-0.2506111552318939,-0.07254313494837317,False,False,10,8,2.3183874596382585,2.129348336358282,1.8573239462198423,0.2080113858689875,-1.6493125603508547,2.06533533208883,-3.5066365065706973,3.922659278308672,0.046815853839693666,-0.012684969258308199
COUP,0.6911949777812896,0.6166094605898459,-0.09524354430265847,0.02389393802877926,True,True,10,11,1.1827223189089389,1.1194749478897934,0.7418325989431299,0.13598380406200902,-0.6058487948811209,0.877816403005139,-1.347681393824251,1.6196490019482688,0.48181452629536603,0.4133619208929358
ADBE,0.3053414474405706,0.33772212997415957,0.27515729621428986,0.12257582518687338,True,True,11,11,0.5478644584078001,0.604579282179669,0.5466400357473276,0.15587797775440548,-0.3907620579929221,0.702518013501733,-0.9374020937402496,1.2491580492490606,0.5518074967452016,0.5218100351257227
RNG,1.6812129517836552,1.6471576339931469,-0.09110276048119048,-0.0930979954578326,False,False,3,3,11.172083516706635,11.121985384506127,0.9694009885182697,-0.04355428065102913,-1.012955269169299,0.9258467078672405,-1.9823562576875686,1.8952476963855103,0.3300807639207901,0.30367083504715364
CRWD,0.7412959521184436,0.7296641258702158,-0.042659113365043355,0.006463896937805136,True,True,11,11,1.4299725076329892,1.3730018211514123,0.8587338338424119,0.11696551623833806,-0.7417683176040738,0.9756993500807499,-1.6005021514464857,1.8344331839231618,0.36091031376108196,0.3611728110527824
ZS,0.4199819768877075,0.4130255175983326,0.20832584047687286,0.2512077212291217,True,True,12,11,0.7004959968941976,0.701929383609274,0.7891842918897576,0.18574789778234602,-0.6034363941074116,0.9749321896721036,-1.3926206859971693,1.764116481561861,0.43071963307059935,0.41948601574943867
ZM,0.8281582945549857,0.719716108692586,-0.22570160583784848,-0.016582661824465772,False,False,7,9,2.3013002650379453,1.704140027837513,0.8625762141875718,-0.03489095525453356,-0.8974671694421054,0.8276852589330382,-1.7600433836296772,1.69026147312061,0.398414514302626,0.3763368908645629
PD,0.47069648956206467,0.4369355492578582,-0.019649518192782933,0.3227551907481637,True,True,11,10,0.8396559495702122,0.7895411985857951,0.8682479948479637,0.07252545743706322,-0.7957225374109005,0.9407734522850268,-1.663970532258864,1.8090214471329906,0.5846703661454768,0.5287378403457625
UBER,1.169707156109131,1.0135146786834244,-0.5399529813406097,-0.03753300221825673,False,False,5,6,4.4944532317826535,3.082332466903551,0.8563018345010163,-0.05584819775818685,-0.9121500322592031,0.8004536367428294,-1.7684518667602194,1.6567554712438457,0.5005320238430084,0.3372893439370177
