,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
SPOT,1.0264551367029724,0.9510319032334664,-0.005718237192539943,0.03937298393529576,False,False,10,11,2.094544628805044,1.9571786016586463,0.8944096365282433,0.004985190101414558,-0.8894244464268288,0.8993948266296579,-1.783834082955072,1.7938044631579013,0.2759907686687776,0.24110553007190094
COUP,0.6680117590036975,0.6243385459863566,0.004007274258000737,0.08481816328195801,True,True,12,12,1.2086229129340433,1.1308147489870406,0.7616217142854895,0.12414415713996776,-0.6374775571455218,0.8857658714254573,-1.3990992714310113,1.6473875857109468,0.4077334060023131,0.3947863006824007
ANGI,0.7004164856985329,0.5251821154676516,-1.146825453456291,0.313471872017248,False,True,6,12,1.9557173463654338,0.9088501111019518,1.0679045418257347,-0.00408964782921775,-1.0719941896549525,1.0638148939965169,-2.139898731480687,2.1317194358222515,0.49091811401051455,0.4995793798406931
PD,0.4608715793032586,0.4357087557386014,-0.024698709170996258,0.38279354596876536,True,True,12,12,0.8455461117530304,0.7205344945586738,0.8650250394198455,0.04216927874651915,-0.8228557606733264,0.9071943181663646,-1.687880800093172,1.7722193575862102,0.5812745414155183,0.5334771051479176
ADBE,0.3889295863251303,0.41968238074396425,0.2224527772948327,0.22826408304566492,True,True,10,12,0.8382130573966513,0.7765645971856898,0.6064613571621278,0.14581489394779226,-0.46064646321433556,0.75227625110992,-1.0671078203764632,1.358737608272048,0.5798481566458562,0.4694483087762714
AMZN,0.6932116097486114,0.4676334854875624,-0.23836568030039307,0.2866955851181694,True,True,12,11,1.2345209616261297,0.9432208303089552,0.85929161514545,0.03239876109977472,-0.8268928540456754,0.8916903762452247,-1.6861844691911254,1.7509819913906748,0.4607933358744105,0.3996666854589275
DOCN,1.2919837097802527,1.2630413995940089,0.18569748233773364,0.17711388216346802,True,True,11,9,2.569783616530729,2.8258194888608026,1.7102204924055264,0.28905080444219894,-1.4211696879633275,1.9992712968477253,-3.1313901803688537,3.709491789253252,0.3522563438799742,0.2605879523716278
NET,1.1568260716806686,1.045441757898566,-0.15486710481278654,0.08722159060349688,False,False,8,10,2.8977137056169004,2.1101949273268277,1.074352870240976,-0.09739191502060407,-1.17174478526158,0.9769609552203719,-2.246097655502556,2.0513138254613477,0.34366855106402083,0.2913552603744274
U,1.1592697894605586,1.083705342368191,0.0969335167244385,0.20912465892947785,False,False,10,10,2.7591723349092225,2.5342170030152853,1.1117242268707557,-0.11723085539304928,-1.228955082263805,0.9944933714777064,-2.340679309134561,2.106217598348462,0.4719999010314676,0.4913278206308117
AKAM,0.41128443925546937,0.3977934675396348,-0.1378436591264498,-0.058907964611585095,True,True,11,10,0.8357364994414366,0.8285251955197213,0.4002814034431034,0.11138216803016639,-0.28889923541293705,0.5116635714732698,-0.6891806388560404,0.9119449749163733,0.4305791700638152,0.37748381467090464
