,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.6191742706411745,0.5631850403146637,0.03050418020191359,0.06150737461357514,True,True,8,8,1.4402973209954837,1.358576408609379,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.37411263370658554,0.3453035126677153
NUAN,0.12601062421167725,0.11811618644253315,-0.034449878237157394,-0.017960759886057387,True,True,10,9,0.24365840176415468,0.26111634322499183,0.08474254946352269,-0.0011611492387237693,-0.08590369870224646,0.08358140022479893,-0.17064624816576915,0.16832394968832162,0.0698388360150759,0.057275740657350194
CRWD,1.323096223346536,1.2754309347036583,-0.03712507291810341,0.05133904577697368,True,True,10,9,2.7604354924123404,2.7729079673459354,1.0020986895284603,0.24180202978533477,-0.7602966597431255,1.243900719313795,-1.7623953492715858,2.2459994088422555,0.2451415008987956,0.30003873319375995
PD,1.0222442664319293,0.9299667505576306,0.09821402059980455,0.1265186856184488,False,False,5,5,4.113496973653954,3.8225897098860626,1.0623822594971166,0.14442486456387169,-0.9179573949332449,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.6336514543859494,0.6258862034754771
ASAN,2.39463811627042,2.2764603844677587,0.021134417570051633,0.023535986972650802,False,False,7,8,6.340852397745832,5.860435080474012,1.4971233363269065,0.1993263469177555,-1.297796989409151,1.696449683244662,-2.7949203257360575,3.1935730195715686,0.5154766743964292,0.5483210974602961
DOCN,1.8397162200845916,1.6802779169542348,0.16009636385254877,0.24567718086605017,True,True,13,13,2.9386769292716814,2.7928822853351343,1.9358975944318833,0.2981450858420933,-1.63775250858979,2.2340426802739763,-3.573650103021673,4.16994027470586,0.41264129336078936,0.36870588856928743
S,1.4256797580295488,1.193019450681969,0.1519819187215321,0.2090420334527845,False,False,8,7,3.3507537408942625,3.438368853223054,1.5670261925903703,0.23299851738111935,-1.334027675209251,1.8000247099714897,-2.901053867799621,3.3670509025618602,0.6107381042016056,0.5829908842474578
SPLK,0.9907312909248767,0.9577060882270365,0.03844566086703338,0.02740975046729055,False,False,7,7,2.971714097511767,2.960311170045941,0.7813731337963625,-0.012862435773018528,-0.794235569569381,0.768510698023344,-1.5756087033657435,1.5498838318197066,0.4251328874808925,0.5436790742140409
NTNX,0.5969007004751268,0.6028383130280021,0.24843532402179602,0.2322071190098549,True,True,9,10,1.2320188727264219,1.2329145785593454,0.7934411774876541,0.07934469192425683,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.6428275027583084,0.5609794413220497
NET,1.3696345464697643,1.307546216710518,0.18418705300139582,0.10487988602564124,True,False,9,9,2.863216697799836,3.017699641027221,1.487354006319649,0.08467183726667706,-1.402682169052972,1.5720258435863261,-2.890036175372621,3.0593798499059752,0.39277380905515935,0.36040024128084347
TWLO,1.0584547363752097,0.699250767058657,-0.6795453111858445,0.09899860599800547,True,True,8,9,2.4271961443635224,1.69039632258002,1.0109644053702571,0.021463120507547246,-0.9895012848627098,1.0324275258778044,-2.000465690232967,2.0433919312480615,0.38450333205023113,0.3849248386816624
PANW,0.6784707501711041,0.6834893317032525,0.22073290080076968,0.16065278915844472,True,True,11,9,1.2769824937181549,1.4914119767467575,0.6290840109315294,0.11882000393913085,-0.5102640069923986,0.7479040148706603,-1.139348017923928,1.3769880258021898,0.43628172951889965,0.3935687674567998
CDAY,0.47558734247206624,0.4632234958746713,0.269697533317808,0.2640905860717193,True,True,7,9,1.3019221375181171,1.1351939625620473,0.6152579309600689,0.09854585308957026,-0.5167120778704986,0.7138037840496392,-1.1319700088305675,1.329061715009708,0.6474650856031083,0.6045448948146424
EBAY,0.43152447882095796,0.3177313767568493,-0.5486448387721024,0.31804097929432185,True,True,8,10,0.9981560381270764,0.6405883558676838,0.5695859479318559,0.07630990680075674,-0.4932760411310992,0.6458958547326127,-1.0628619890629551,1.2154818026644685,0.5587701611113032,0.4651109207377313
BOX,0.7274945863142076,0.7789805550593684,0.08006618430234869,0.011669652982375434,False,False,2,3,6.578375314207062,4.802781304126512,1.4416700825498965,0.2356976398080903,-1.2059724427418061,1.6773677223579868,-2.647642525291703,3.119037804907883,0.2517940745942566,0.37123130241956703
U,1.45792493592735,1.4126274726190509,0.20288354279287413,0.22146114928128158,False,False,10,10,2.9225691989262046,2.973965193021693,1.238264494016418,0.013655817893115691,-1.2246086761233024,1.2519203119095337,-2.46287317013972,2.490184805925952,0.5338594645470143,0.4874919505235863
NOW,0.531954085636099,0.5276053691187282,0.33262096256587736,0.37333254497880275,True,True,13,10,0.8359969514199096,0.9265146776957287,0.6299165261322238,0.15089673573188347,-0.4790197904003404,0.7808132618641073,-1.108936316532564,1.4107297879963312,0.5884838514400123,0.503276731027714
PLAN,1.2634422734485236,1.2321830813213623,0.03432783772441317,0.025729900141124196,False,False,2,2,11.814417727103079,11.76387031563708,0.7150793529416155,0.01450532808549055,-0.700574024856125,0.729584681027106,-1.4156533777977405,1.4446640339687216,0.5192001990003448,0.5240556429243668
ETSY,1.1936199345711322,1.1009092928747497,-0.20030102971650332,0.06373151156496626,True,True,10,9,2.5719213086483736,2.4260011095199223,1.1446623945591157,0.11104014298958745,-1.0336222515695281,1.2557025375487032,-2.178284646128644,2.4003649321078186,0.3281899534908921,0.4132753489210318
DBX,0.44468577380785224,0.42476884357912287,0.3843554608183536,0.3719889542668813,True,True,13,11,0.735710315690451,0.7958294891290199,0.648092340601161,0.010772179094350253,-0.6373201615068108,0.6588645196955113,-1.2854125021079719,1.3069568602966724,0.5283752215787362,0.47988749619368365
DOCS,1.8682202641553083,1.681567600943406,-0.05592544121902199,0.033546187775753133,False,False,8,8,4.5193450276560085,3.954769737606848,1.4644158755717451,0.12177688755250694,-1.3426389880192382,1.586192763124252,-2.807054863590983,3.0506086386959974,0.3471410593424292,0.33186892236987187
DASH,2.1078232114189284,1.763827517415366,-0.364231042055295,-0.05407747895841908,False,False,10,7,4.8691361961171555,4.50246785110167,1.1970015696625118,0.04693399283751466,-1.150067576824997,1.2439355625000266,-2.347069146487509,2.440937132162538,0.18100386724270212,0.17754732735586232
RNG,2.3309944602704173,2.2244239785003836,-0.05631111007658518,-0.040217580192935865,False,False,5,5,9.299439661352299,9.128090646829687,0.8587538268341727,-0.02796591344411343,-0.8867197402782862,0.8307879133900592,-1.7454735671124588,1.6895417402242319,0.29644673629031393,0.26652438225613195
DDOG,1.7356515150519738,1.6235471669329335,0.09375538279892548,0.06291315778416162,False,False,8,8,4.5955794743062555,4.470913414643796,1.9578832475109484,0.2976774298270405,-1.660205817683908,2.255560677337989,-3.6180890651948565,4.213443924848938,0.245535235122472,0.5167452796052984
UBER,0.8510930706310239,1.4977730082114804,0.721834649358424,0.09781171975614966,True,False,9,8,1.8456859656177318,3.7152007824152395,1.5597520604125468,0.17996069426553302,-1.3797913661470138,1.7397127546780797,-2.9395434265595606,3.2994648150906265,0.7273509796633617,0.32765037145370746
