,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
U,1.007390504482203,1.0062998033609971,0.19552340457843131,0.20813537870329724,False,False,6,7,3.2905624755970897,2.967942540310752,1.0615812428963363,-0.1445955468616295,-1.2061767897579658,0.9169856960347067,-2.267758032654302,1.978566938931043,0.45948181454388837,0.4342876590910144
ETSY,0.7218520624632805,0.7320613757130209,0.09271949144127911,0.0812298847131715,True,True,8,8,1.6862874757773367,1.679908556934547,1.0207582066296261,-0.05949833582352647,-1.0802565424531525,0.9612598708060996,-2.1010147490827786,1.982018077435726,0.33928590547980264,0.48677553711146726
VMW,0.4055342719715983,0.3994753877077051,0.029270394096801322,0.05895460860016932,True,True,11,8,0.7186854456011647,0.8459944561666028,0.547484054046532,0.031667133505447,-0.515816920541085,0.579151187551979,-1.063300974587617,1.126635241598511,0.41999760213459814,0.3231237757278145
EBAY,0.4371266849948099,0.46856492704882485,0.06173025605294424,0.0211362679379814,False,False,6,6,1.3600820241954266,1.358714530385118,0.7988659946605118,-0.000371367668917728,-0.7992373623294295,0.798494626991594,-1.5981033569899412,1.597360621652106,0.3251173188089068,0.5646857254441049
DBX,0.3969169812337429,0.3736640006897525,0.3583484401664847,0.3576814602521373,True,True,13,10,0.6383037668183835,0.7558428744208865,0.6446570831248426,-0.005182448392834063,-0.6498395315176767,0.6394746347320085,-1.2944966146425192,1.2841317178568512,0.5599532418662801,0.49830412067840957
ZM,0.7497706901488624,0.739067919755805,0.0036541290766168855,-0.01128620456535434,False,False,8,10,1.8164949670149555,1.611336802016401,1.032041415804434,-0.09359048296882082,-1.1256318987732548,0.9384509328356132,-2.1576733145776887,1.9704923486400472,0.2371303302180453,0.37725367442515734
CRM,0.24909522585519803,0.24265130931359363,0.4812155903268035,0.44922564339331794,True,True,11,12,0.4399827140113881,0.4365647484538157,0.5088563745348905,0.054671874642579756,-0.45418449989231074,0.5635282491774702,-0.9630408744272013,1.0723846237123609,0.5044743506451448,0.4910322299515918
INTU,0.2810452212293389,0.30016045243566003,0.31478107404732747,0.17699100783380894,True,True,11,10,0.5053550271201728,0.5976354803975337,0.5022982043960481,0.11589175956635941,-0.38640644482968867,0.6181899639624076,-0.8887046492257368,1.1204881683584555,0.553034602101593,0.5241288576363309
DDOG,1.1466119640029209,1.1915292221435794,-0.017657482339228814,-0.019107287572830423,False,False,4,5,5.164977357013034,4.345767493020849,1.9010380154692252,0.21380578174149917,-1.6872322337277261,2.1148437972107246,-3.588270249196951,4.015881812679949,0.16640924279816172,0.4751625225817747
FTCH,1.2976263081757125,1.2787871874169154,0.041142684594678625,0.009973615294444071,False,False,2,4,9.656642736577927,5.673101001939487,1.1407319736666348,-0.054659986636314835,-1.1953919603029497,1.08607198703032,-2.3361239339695845,2.2268039606969547,0.491049330790718,0.4253933515867453
