,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ASAN,1.1754266694468414,1.0474151525809547,0.14913087705631267,0.23222126616670602,True,False,11,10,2.3404283764519622,2.2717056836365632,1.3030812038520831,0.2816401381043448,-1.0214410657477384,1.5847213419564279,-2.3245222695998216,2.887802545808511,0.4412541695054808,0.42295524905872517
RNG,1.7339927828752444,1.6212174138797237,-0.11828569343171136,-0.08988923016863737,False,False,4,3,9.014909518381053,11.121985384506127,1.0164962949786376,-0.013704094570613138,-1.0302003895492506,1.0027922004080245,-2.0466966845278884,2.019288495386662,0.34556074077498855,0.2908561360756833
DOCU,0.5623537394973457,0.49148651653024233,-0.35324427736030795,0.04260641586564884,True,True,9,12,1.194322837766807,0.9111732869317309,0.7134158476972435,0.08291112137307495,-0.6305047263241685,0.7963269690703185,-1.3439205740214122,1.509742816767562,0.37213260636717993,0.3745646981502845
ANGI,0.49035787240118245,0.42396284378700894,0.19159009003228056,0.526572497221536,True,True,14,14,0.8111936335357658,0.6379345259729963,0.8969930043728515,-0.013565131635762754,-0.9105581360086142,0.8834278727370887,-1.8075511403814657,1.7804208771099401,0.5620480198163817,0.5303074079951726
TEAM,1.372219505882599,0.8334843730111513,-0.5109426799512771,-0.07234244740527984,False,False,11,8,2.6090250155253374,2.1293483363582784,1.8468638306137681,0.2076183185959199,-1.6392455120178482,2.054482149209688,-3.4861093426316163,3.901345979823456,0.05974940647234006,-0.012779248818157063
SPOT,0.9343606466224036,0.9362189614296476,-0.019209380099588946,0.02259734010653003,False,False,11,9,1.870568591561783,2.115644115433819,0.8966074172054092,0.026802691201553652,-0.8698047260038555,0.9234101084069628,-1.7664121432092648,1.8200175256123718,0.33165870613284953,0.2588213985182827
U,1.0741182835303886,0.9909316697807062,0.14822021221605275,0.20499898878183498,False,False,7,7,3.170070293152058,2.9621551681275595,1.0394486676982788,-0.10037792817432992,-1.1398265958726088,0.9390707395239489,-2.1792752635708874,1.9785194072222276,0.5168783429239519,0.42939762118518165
FSLY,1.0958386372603386,1.0550466094412243,-0.20267328120079142,0.02328513817046829,False,False,5,5,4.11341824054678,3.779166531574474,1.1620216084445751,-0.18447614388025318,-1.3464977523248283,0.977545464564322,-2.5085193607694034,2.139567073008897,0.31873691595944165,0.37106992911109316
GDDY,1.0377099631117512,0.9649760633100126,-0.05992012297550997,-0.04095895501825808,False,False,2,2,9.926628559870109,9.870855111491785,0.5482060506645242,0.06183887943966765,-0.48636717122485656,0.6100449301041919,-1.0345732218893808,1.158250980768716,0.5970214655663753,0.5695913087085918
AMZN,0.5930226266192324,0.43281509778117494,0.2612784311644267,0.39030046537292906,True,True,13,10,0.9966445795578986,0.9060421450272111,0.877094468850741,0.024220232047283866,-0.8528742368034572,0.9013147008980249,-1.7299687056541981,1.778409169748766,0.4759319700146657,0.4325942905617557
ETSY,0.7994377220121861,0.7175804865617877,-0.2515744280051253,0.08154531992904535,True,True,10,8,1.6821464680794325,1.6800265645735522,0.9987638832828629,-0.02121625995034161,-1.0199801432332045,0.9775476233325213,-2.0187440265160674,1.9763115066153842,0.426156579771802,0.4926605935854663
DBX,0.4390751876831427,0.3822405633662077,0.09994172702622528,0.3165009761290217,True,True,12,11,0.7655823218954453,0.7399437125770554,0.716383056756096,0.03669851309719194,-0.6796845436589041,0.753081569853288,-1.396067600415,1.469464626609384,0.4512036120098213,0.49239798820696923
XM,1.1877617649087864,1.125904665983882,-0.06886924809400674,-0.018379118683525375,False,False,5,6,4.776077393737518,3.9710438651277378,0.8310901521847285,-0.0812539734394903,-0.9123441256242187,0.7498361787452382,-1.7434342778089473,1.5809263309299666,0.5454629266043265,0.5161693698119637
