,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.505849698681918,0.5631850403146635,0.10812897391446785,0.06150737461357514,True,True,6,8,1.5512345260207896,1.358576408609379,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.47587939060651796,0.3453035126677151
NUAN,0.12515163093226417,0.11811618644253334,-0.03474904672796031,-0.01796075988605872,True,True,10,9,0.2447755623759517,0.26111634322499383,0.08474254946352268,-0.001161149238723768,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.0668039842303444,0.057275740657350416
CRWD,1.2530583986383839,1.275430934703658,0.02910634032144188,0.05133904577697368,True,True,9,9,2.784146372024052,2.772907967345935,1.0306281737817422,0.1649179349409419,-0.8657102388408003,1.1955461087226842,-1.8963384126225424,2.2261742825044264,0.4629800915951101,0.3000387331937595
PD,0.9070174393223692,0.9299667505576305,0.14904942153819378,0.12651868561844903,False,False,5,5,3.6844569859561043,3.8225897098860626,1.101408742653541,0.11197959844507668,-0.9894291442084644,1.2133883410986177,-2.0908378868620052,2.314797083752159,0.6317793191951389,0.6258862034754763
ASAN,2.2071822807185026,2.2764603844677587,0.021599007631665446,0.023535986972650802,False,False,7,8,6.259396167852189,5.860435080474012,1.4971233363269065,0.1993263469177555,-1.297796989409151,1.696449683244662,-2.7949203257360575,3.1935730195715686,0.6124574030543901,0.5483210974602952
DOCN,1.7082267704064116,1.6802779169542348,0.26356787802521964,0.2456771808660504,True,True,14,13,2.65599741068799,2.7928822853351343,1.9358975944318835,0.29814508584209326,-1.6377525085897902,2.234042680273977,-3.5736501030216736,4.16994027470586,0.47372280076915696,0.36870588856928765
S,1.3398282570618067,1.1930194506819685,0.19844037922764268,0.2090420334527846,False,False,6,7,3.859022139308486,3.438368853223054,1.5670261925903703,0.23299851738111932,-1.334027675209251,1.8000247099714897,-2.9010538677996216,3.36705090256186,0.6689147049979086,0.5829908842474583
LYFT,1.4162909461324134,1.5402868457305423,0.12716113647212057,0.07117758751569292,False,False,7,5,3.994408826254393,5.545534648302674,1.2391088078597359,-0.05807240910034194,-1.2971812169600778,1.181036398759394,-2.5362900248198135,2.42014520661913,0.5762184418014695,0.3603981883214762
SPLK,0.8942961258273285,0.9577060882270365,0.08460056836227825,0.02740975046729055,False,False,6,7,3.0948673225899572,2.960311170045941,0.7090216763462937,-0.06974342462636844,-0.778765100972662,0.6392782517199253,-1.4877867773189557,1.348299928066219,0.6195723385870512,0.543679074214041
NTNX,0.5856267442314778,0.6028383130280022,0.2713254590923754,0.2322071190098547,True,True,8,10,1.2791830595091773,1.2329145785593456,0.7934411774876541,0.07934469192425683,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.641258206270438,0.5609794413220497
NET,1.3026768591588136,1.307546216710518,0.2291421221233486,0.10487988602564147,False,False,9,9,2.769526872941313,3.017699641027221,1.3261095330704091,-0.042849779460775596,-1.3689593125311847,1.2832597536096335,-2.6950688456015937,2.609369286680043,0.4559625367277099,0.3604002412808436
TWLO,0.7897811128392409,0.699250767058657,-0.10635807113658302,0.09899860599800525,True,True,10,9,1.7588582826192405,1.6903963225800203,1.0423193165251428,-0.007205116097883308,-1.049524432623026,1.0351142004272595,-2.0918437491481687,2.0774335169524023,0.46456955759023155,0.38492483868166216
PANW,0.6150206770639313,0.6834893317032524,0.3084534287898767,0.16065278915844472,True,True,9,9,1.3306865144698348,1.4914119767467575,0.6290840109315294,0.11882000393913082,-0.5102640069923986,0.7479040148706603,-1.1393480179239281,1.3769880258021896,0.5228988414320543,0.3935687674567995
CDAY,0.4092563632287109,0.4632234958746713,0.3649979076094627,0.2640905860717192,True,True,8,9,1.034720786330234,1.1351939625620473,0.615257930960069,0.09854585308957024,-0.5167120778704988,0.7138037840496392,-1.1319700088305678,1.3290617150097082,0.6917643286053361,0.6045448948146419
EBAY,0.3625899853416495,0.3177313767568493,0.05793001044632884,0.31804097929432196,True,True,9,10,0.7727903645854182,0.6405883558676837,0.6009454163953666,0.05526260302664953,-0.545682813368717,0.6562080194220161,-1.1466282297640837,1.2571534358173826,0.5809166792313312,0.46511092073773086
BOX,0.6785124951361526,0.7789805550593684,0.08366172023821516,0.011669652982375434,False,False,2,3,6.530700477632108,4.802781304126512,1.4416700825498965,0.23569763980809033,-1.2059724427418061,1.6773677223579868,-2.647642525291703,3.119037804907883,0.25226161559745686,0.37123130241956737
U,1.331882270060703,1.4126274726190513,0.27587912632291856,0.22146114928128136,False,False,12,10,2.5249436619780226,2.9739651930216935,1.2761236841742833,-0.0219160040498609,-1.2980396882241443,1.2542076801244224,-2.5741633723984276,2.5303313642987058,0.5852974400633039,0.48749195052358607
PLAN,1.182164063891047,1.232183081321362,0.04583322905650822,0.025729900141124196,False,False,1,2,21.946190211242165,11.76387031563708,0.7150793529416154,0.014505328085490533,-0.7005740248561249,0.7295846810271059,-1.4156533777977403,1.4446640339687213,0.5653554439529744,0.5240556429243663
ETSY,1.1237253994269862,1.1009092928747497,-0.001790943773198661,0.06373151156496626,True,True,10,9,2.3729605873651005,2.4260011095199228,1.0978747702019003,0.14797825509785276,-0.9498965151040475,1.245853025299753,-2.0477712853059478,2.3437277955016533,0.5197109696144598,0.41327534892103135
DBX,0.4309312244843197,0.424768843579123,0.3765919105827049,0.37198895426688106,True,True,11,11,0.7938097875875123,0.7958294891290201,0.648092340601161,0.010772179094350262,-0.6373201615068108,0.6588645196955113,-1.2854125021079719,1.3069568602966724,0.5164515469883078,0.47988749619368376
DOCS,1.9024421449515105,1.681567600943406,-0.05287208282747602,0.03354618777575291,False,False,8,8,4.5064281382277045,3.954769737606848,1.4644158755717451,0.12177688755250693,-1.3426389880192382,1.586192763124252,-2.8070548635909836,3.050608638695997,0.3668814149270542,0.33186892236987187
DASH,1.8391847717365977,1.7638275174153655,-0.13209197017113672,-0.05407747895841908,False,False,8,7,4.699462999511068,4.50246785110167,1.1344408335613563,0.08992842680375132,-1.044512406757605,1.2243692603651075,-2.178953240318961,2.358810093926464,0.2090889922841962,0.17754732735586198
RNG,2.2617604099587187,2.224423978500383,-0.04428344621896896,-0.040217580192935865,False,False,5,5,9.217436452979996,9.128090646829687,0.8587538268341727,-0.02796591344411341,-0.886719740278286,0.8307879133900593,-1.7454735671124588,1.6895417402242319,0.2877846560035454,0.26652438225613173
DDOG,1.4932363819051577,1.6235471669329335,0.11561416961300885,0.06291315778416162,False,False,7,8,4.613311947788434,4.470913414643797,0.9010451855110653,0.11943781307993862,-0.7816073724311267,1.020482998591004,-1.682652557942192,1.921528184102069,0.542430342606776,0.5167452796052984
UBER,1.3462536945567296,1.4977730082114804,0.28105800757029153,0.09781171975614988,False,False,8,8,3.211742049859978,3.7152007824152387,1.1684727119050797,0.018032760833394234,-1.1504399510716854,1.186505472738474,-2.318912662976765,2.354978184643554,0.5924297402275255,0.32765037145370746
ADBE,0.4931094574016827,0.5567284574228155,0.45434661162862655,0.3247815208039023,True,True,10,10,1.087798593667134,1.214474960058324,0.6902454120155194,0.23159931135256412,-0.45864610066295525,0.9218447233680835,-1.1488915126784747,1.6120901353836028,0.6577056891645209,0.5497404345839048
AKAM,0.4142344166378539,0.40742401339385487,-0.04115218420607447,-0.045880605502238714,True,True,7,7,1.0028060846699702,1.0046442812351613,0.40701026687859276,0.13012219978644649,-0.2768880670921463,0.5371324666650392,-0.6838983339707391,0.944142733543632,0.4522497385176619,0.38262870416119055
