,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
S,1.3960434606128609,1.1930194506819685,0.16599124524723263,0.2090420334527846,False,False,7,7,3.5706642560134076,3.438368853223054,1.5670261925903706,0.23299851738111918,-1.3340276752092515,1.8000247099714897,-2.901053867799622,3.3670509025618602,0.6229349117197559,0.5829908842474576
PD,0.9227213068274223,0.9299667505576307,0.13726317629985318,0.1265186856184488,False,False,6,5,3.3448557838280504,3.8225897098860626,1.0623822594971166,0.14442486456387169,-0.9179573949332449,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.6446276147609462,0.625886203475477
DBX,0.4364657738615992,0.424768843579123,0.36962461544203973,0.37198895426688106,True,True,12,11,0.769628820165286,0.7958294891290199,0.648092340601161,0.010772179094350267,-0.6373201615068108,0.6588645196955113,-1.2854125021079719,1.3069568602966724,0.5218324462177312,0.47988749619368354
SQ,0.8394326021871065,0.8299642609567518,0.4763395822894251,0.48537167521495694,True,True,8,9,1.8611073377131984,1.7414927728217644,1.2680482615045394,0.0529591338574861,-1.2150891276470532,1.3210073953620256,-2.483137389151593,2.589055656866565,0.6424477857445572,0.577578759082213
SPLK,0.9545245392798353,0.9577060882270365,0.03265164041257873,0.02740975046729055,False,False,7,7,2.9876651116848585,2.960311170045941,0.6922658041701238,-0.05183488461340336,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.5523525078592249,0.5436790742140407
NUAN,0.12542970683800744,0.1181161864425334,-0.02698499616083172,-0.01796075988605872,True,True,9,9,0.2561401496818634,0.2611163432249943,0.08474254946352269,-0.0011611492387237677,-0.08590369870224646,0.08358140022479893,-0.17064624816576915,0.16832394968832162,0.06816852694389308,0.05727574065735064
TEAM,0.560138298714562,0.5738368000737124,0.38187545055296224,0.39424692263939587,True,True,8,10,1.3382500473046741,1.1633400512214165,0.8752168722007321,0.04478786202470791,-0.8304290101760242,0.9200047342254399,-1.7056458823767562,1.7952216064261721,0.43165355644928793,0.4043225018522806
DOCS,1.8615584563313916,1.681567600943406,-0.025284725268415187,0.033546187775753133,False,False,9,8,4.130659386318588,3.954769737606848,1.4644158755717451,0.12177688755250693,-1.3426389880192382,1.586192763124252,-2.8070548635909836,3.050608638695997,0.3739881782298392,0.33186892236987187
GDDY,1.081563640804793,1.0722851031920817,-0.01759699650290547,-0.008939010535767178,False,False,2,2,10.075520779502227,9.979555057754098,0.5748270363822383,0.020682097321576574,-0.5541449390606618,0.5955091337038149,-1.1289719754429,1.1703361700860533,0.49382708486516835,0.46820229006341596
BIGC,1.4245513818543611,1.3428594883549978,-0.014540776955170198,0.003063956735140927,False,False,8,6,3.9350773393258343,4.544429191267963,1.1258057844956326,-0.0465492272204811,-1.1723550117161137,1.0792565572751516,-2.2981607962117465,2.205062341770784,0.38043174476197783,0.3278880318248698
