,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
DBX,0.3892480770743036,0.3683212788926538,0.29221925287377026,0.2978381282181858,True,True,13,11,0.6613719618049871,0.7374938447055676,0.6330888268332575,0.010767748532300914,-0.6223210783009566,0.6438565753655584,-1.255409905134214,1.276945402198816,0.5554898392884726,0.4910649200278473
FTCH,2.0169172875089347,1.9747097473260666,0.02979328080790067,0.001258367270834948,False,False,3,3,13.610257352278431,13.909689042833255,2.2941531019215815,-0.26093697456339277,-2.555090076484974,2.033216127358189,-4.849243178406556,4.32736922927977,0.1699053016545583,0.41375646998838256
DOCU,0.5782301380999647,0.5804851007080212,0.11045592409795002,0.11791946466141912,True,True,11,11,1.1429349829459567,1.1386265845243566,0.7376970466389161,0.10830054586570195,-0.6293965007732142,0.845997592504618,-1.3670935474121302,1.5836946391435343,0.36634358615029605,0.35592421472952207
COUP,0.6009161782795814,0.5985089304316924,0.004342304295625876,0.014561893605085974,True,True,11,11,1.1524032608559782,1.1411480577283646,0.7499245523354071,0.1449618491493601,-0.604962703186047,0.8948864014847673,-1.3548872555214542,1.6448109538201743,0.4615174640245485,0.3983986046881486
VMW,0.45310910772966506,0.4349585319231761,0.048561126020174816,0.06268049086857597,True,True,10,10,0.8897442016933355,0.8848380500742898,0.561398876749005,0.037975935142655674,-0.5234229416063494,0.5993748118916606,-1.0848218183553544,1.1607736886406657,0.4386471019858209,0.32132858673358866
PLTR,0.6733959926145492,0.6875746795159929,0.19026696815644706,0.17296868904667928,True,True,9,10,1.5222741290553827,1.4693905638501035,0.7778573114769333,0.0770314387440389,-0.7008258727328944,0.8548887502209721,-1.4786831842098276,1.6327460616979055,0.5541167511913399,0.4781720570410264
WDAY,0.582442720404083,0.6010164243150927,-0.023610755385598203,-0.058149496980311355,True,True,8,8,1.4094486758639309,1.428646862978564,0.7283276433975954,0.04303821429015945,-0.685289429107436,0.7713658576877548,-1.4136170725050312,1.4996935010853503,0.3006682168103648,0.30358126389987106
DOCN,1.2743576990349446,1.3113376827554453,0.1546729985161115,0.14591729723969693,True,True,11,11,2.6099605737174705,2.5723244012148383,1.7038095022219129,0.32955448877447097,-1.3742550134474418,2.0333639909963837,-3.0780645156693547,3.7371734932182967,0.3027653988263248,0.2410623797296768
SQ,0.582633151998796,0.5846435151645133,0.3946121480780026,0.43535976270886056,True,True,15,12,0.9068508101924287,0.9773564344528309,1.0507029166048276,0.0660183470442783,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.5911308916960774,0.5624541892764818
BIGC,1.0936696301177262,1.0723064280314438,0.07573317920028177,0.038041446770410325,False,False,5,6,3.9750714498758137,3.6013521123228585,1.1313303622443283,0.0005596999328189023,-1.1307706623115092,1.1318900621771473,-2.2621010245558377,2.2632204244214753,0.5220778786517679,0.42146252648838967
SPOT,0.9316515422093515,0.9443802475884008,0.04677726866560217,0.04834641972864562,False,False,11,10,1.9347667392789296,2.0493129791689304,0.8745627125493449,-0.0200075726911086,-0.8945702852404536,0.8545551398582363,-1.7691329977897985,1.7291178524075812,0.30739719656780917,0.25464742406957663
INTU,0.7592248626049455,0.7696282318335514,-0.033348477903794915,-0.016956179528638593,False,False,3,3,5.241377696821752,5.236505603674533,1.5117971357698312,0.27644950875074553,-1.2353476270190857,1.7882466445205767,-2.747144762788917,3.300043780290408,0.19894044705153413,0.4849175088787938
GDDY,0.967940111314519,0.9729190715946714,-0.037658975819743645,-0.027922455277477276,False,False,2,2,9.90247571099147,9.869252779639309,0.5524935588140675,0.04559441059907593,-0.5068991482149916,0.5980879694131433,-1.059392707029059,1.150581528227211,0.5703160928214439,0.5472385785332889
EBAY,0.43303022500360233,0.4451580337020352,-0.036676624318094486,-0.012543122285312513,False,False,6,6,1.37131566818387,1.32835298100131,0.5861566545292656,0.023085989080434927,-0.5630706654488307,0.6092426436097005,-1.1492273199780962,1.195399298138966,0.6347858557234085,0.5532861509623419
BMBL,1.1493785200387183,1.276465784998742,-0.03387077668748506,-0.07062919311777449,False,False,4,4,6.1223429179404345,6.254488779256002,1.0162803903312998,0.13615484309349177,-0.880125547237808,1.1524352334247916,-1.8964059375691078,2.1687156237560914,0.5099605795368439,0.3612271493272591
CHWY,0.5388168030061526,0.5017167299209333,0.1258838256158228,0.18511311739708813,True,True,16,15,0.8209609581530954,0.7996443436400947,0.6734417498048223,-0.05146131414543564,-0.7249030639502579,0.6219804356593867,-1.3983448137550802,1.295422185464209,0.330777934339999,0.2849488099046903
ADBE,0.39202343081373325,0.4079589847275856,0.23361856871346742,0.20136393766135807,True,True,11,12,0.7605175420982697,0.7518805523533544,0.5654622519732632,0.17913188257102897,-0.3863303694022342,0.7445941345442921,-0.9517926213754974,1.3100563865175552,0.5110792014348161,0.49339343407153446
NOW,0.4121433202900975,0.41205435117703976,0.2549864616414035,0.24519266925792327,True,True,12,12,0.6646720687190263,0.6696374703077993,0.5698923880491703,0.1205994330889802,-0.4492929549601901,0.6904918211381506,-1.0191853430093605,1.2603842091873207,0.47782483701452694,0.46572536959726385
CDAY,0.38106913071168924,0.3920300715902857,0.14002530606619323,0.09130883314416438,True,True,7,7,1.058323666356505,1.0918068040528977,0.5749020078797794,0.09680166568584504,-0.4781003421939344,0.6717036735656244,-1.0530023500737138,1.2466056814454038,0.5695865005037767,0.5304350997407414
SPLK,0.7034669569922573,0.696391231174938,-0.04672068714135169,-0.04680905650741063,False,False,6,4,2.5149364842392496,3.4348755641031916,0.6274976031558986,-0.07504132867434911,-0.7025389318302477,0.5524562744815495,-1.3300365349861465,1.179953877637448,0.48462952345692967,0.4578701868552384
