,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
DBX,0.4190425489430606,0.36832127889265387,0.16057050737522915,0.29783812821818567,True,True,13,11,0.7106242383545781,0.7374938447055677,0.7066097024026848,0.04330176310429399,-0.6633079392983908,0.7499114655069788,-1.3699176417010757,1.4565211679096637,0.45650002613935337,0.4910649200278474
FTCH,2.0256234473483694,1.9747097473260666,0.01922657252689497,0.001258367270834948,False,False,3,3,13.712746523598609,13.909689042833255,2.312298580585614,-0.22288715413243818,-2.535185734718052,2.089411426453176,-4.847484315303666,4.40171000703879,0.1412555634906778,0.41375646998838234
DOCU,0.530607614079307,0.5804851007080212,0.24154618615120804,0.11791946466141912,True,True,12,11,1.0086321095364938,1.1386265845243566,0.7825314628233556,0.08055787670392525,-0.7019735861194304,0.8630893395272808,-1.484505048942786,1.6456208023506365,0.4508656136171407,0.3559242147295222
COUP,0.6024973316887409,0.5985089304316924,0.011029326986284782,0.014561893605085974,True,True,11,11,1.1460207544965633,1.1411480577283646,0.7499245523354071,0.14496184914936008,-0.6049627031860471,0.8948864014847672,-1.3548872555214542,1.6448109538201743,0.40080108585819507,0.39839860468814836
VMW,0.43971602203733123,0.43495853192317613,0.06846948054886526,0.06268049086857597,True,True,10,10,0.8612679478910936,0.8848380500742898,0.561398876749005,0.03797593514265566,-0.5234229416063494,0.5993748118916606,-1.0848218183553544,1.1607736886406657,0.42168966240079964,0.32132858673358844
PLTR,0.6600575721919758,0.6875746795159929,0.20758594036001887,0.17296868904667928,True,True,9,10,1.5065882102960604,1.4693905638501035,0.7778573114769332,0.0770314387440389,-0.7008258727328942,0.8548887502209721,-1.4786831842098274,1.6327460616979053,0.5602335759949997,0.4781720570410263
WDAY,0.5722549797396594,0.6010164243150927,-0.0971640516793717,-0.058149496980311355,True,True,7,8,1.5640082948238163,1.428646862978564,0.7283276433975954,0.04303821429015943,-0.685289429107436,0.7713658576877548,-1.4136170725050312,1.4996935010853503,0.23174978463782359,0.30358126389987095
DOCN,1.317172190383211,1.311337682755445,0.14864188443647275,0.14591729723969693,True,True,11,11,2.597597681562547,2.5723244012148383,1.7038095022219129,0.329554488774471,-1.3742550134474418,2.033363990996384,-3.0780645156693547,3.7371734932182967,0.3157147593161046,0.2410623797296768
SQ,0.5956682158464502,0.5846435151645134,0.3835774575632114,0.43535976270886045,True,True,13,12,0.9827677848952506,0.9773564344528313,1.0507029166048276,0.0660183470442783,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.5915034207616028,0.5624541892764818
BIGC,1.06163560116974,1.072306428031444,0.09132180950843616,0.038041446770410325,False,False,5,6,3.9946862216196957,3.6013521123228585,1.2846616259423367,-0.06267925039582961,-1.3473408763381662,1.2219823755465071,-2.632002502280503,2.506644001488844,0.41300337765953776,0.4214625264883901
SPOT,0.9263794897123014,0.9443802475884008,0.06262838959797545,0.04834641972864562,False,False,12,10,1.834993603465956,2.0493129791689304,0.8745627125493449,-0.020007572691108543,-0.8945702852404535,0.8545551398582364,-1.7691329977897985,1.7291178524075812,0.3213585996069398,0.25464742406957663
INTU,0.7438732881631114,0.7696282318335514,-0.004654488774379351,-0.016956179528638593,False,False,3,3,5.139499762748467,5.236505603674533,1.5104283172317037,0.2725272520087326,-1.237901065222971,1.7829555692404364,-2.7483293824546746,3.29338388647214,0.1774501982512926,0.4849175088787938
GDDY,0.9639369238495232,0.9729190715946712,-0.03467802824828614,-0.027922455277477276,False,False,2,2,9.884561412590442,9.869252779639309,0.5524935588140675,0.04559441059907595,-0.5068991482149915,0.5980879694131435,-1.059392707029059,1.150581528227211,0.5831343378504316,0.547238578533289
EBAY,0.4136177903629138,0.4451580337020352,-0.015583303692318085,-0.012543122285312513,False,False,7,6,1.2219904228979444,1.32835298100131,0.5861566545292656,0.023085989080434913,-0.5630706654488307,0.6092426436097005,-1.1492273199780962,1.195399298138966,0.5837580951238408,0.5532861509623421
BMBL,1.1859289661533379,1.276465784998742,-0.07940802679204051,-0.07062919311777405,False,False,4,4,6.174602605322829,6.254488779256001,1.0604192076365486,0.10248891700454078,-0.9579302906320079,1.1629081246410895,-2.0183494982685564,2.223327332277638,0.4342505482260207,0.3612271493272592
CHWY,0.5268703984022488,0.5017167299209333,0.15796840088017072,0.18511311739708836,True,True,15,15,0.8224797560303736,0.7996443436400946,0.6734417498048221,-0.05146131414543565,-0.7249030639502577,0.6219804356593864,-1.3983448137550798,1.2954221854642085,0.33761343936652843,0.28494880990469007
ADBE,0.37974914339714333,0.4079589847275855,0.2992040137976799,0.2013639376613584,True,True,11,12,0.7327831806148368,0.7518805523533542,0.5914954183781285,0.16045562889592258,-0.4310397894822059,0.751951047274051,-1.0225352078603342,1.3434464656521796,0.5285147277274649,0.49339343407153435
NOW,0.40168096693713357,0.41205435117703987,0.28814253310477056,0.24519266925792293,True,True,12,12,0.646205224757384,0.6696374703077995,0.5698923880491703,0.1205994330889802,-0.4492929549601901,0.6904918211381506,-1.0191853430093605,1.2603842091873207,0.4855758737708349,0.46572536959726374
CDAY,0.3768363949462627,0.3920300715902857,0.1437646306714171,0.09130883314416438,True,True,7,7,1.0464877832225186,1.0918068040528977,0.5749020078797794,0.09680166568584504,-0.4781003421939344,0.6717036735656244,-1.0530023500737138,1.2466056814454038,0.5709513039198235,0.5304350997407413
SPLK,0.6812640054105012,0.696391231174938,-0.046903270899226523,-0.04680905650741063,False,False,6,4,2.4797230187435644,3.4348755641031916,0.6274976031558986,-0.07504132867434911,-0.7025389318302477,0.5524562744815495,-1.3300365349861465,1.179953877637448,0.519622678388818,0.45787018685523817
ABNB,0.8348016910784966,0.8079836902922548,0.08481093149287611,0.10195135375500897,True,False,6,7,2.6827328453985957,2.2924913823474653,0.9462375378736102,-0.024635481259494777,-0.970873019133105,0.9216020566141154,-1.9171105570067153,1.8678395944877255,0.4205240495243021,0.36610430288850915
ANGI,0.5415860398071602,0.4722547131790344,0.23031571018044394,0.42283151744150005,True,True,13,13,0.8652459338054457,0.7577899015406716,1.030972973743632,0.0269263668237773,-1.0040466069198546,1.0578993405674093,-2.0350195806634868,2.088872314311041,0.4786454889713678,0.5102908763366468
ETSY,0.7481441183283725,0.7471740378164337,0.06339150198702193,0.05836824148285069,True,True,9,9,1.6855491942118583,1.696250479063061,0.9464976685175225,0.05005337557291326,-0.8964442929446093,0.9965510440904357,-1.8429419614621316,1.9430487126079583,0.4959940549968819,0.4791717053570623
AMZN,0.5801473415435389,0.4472459248860872,0.25744868530887866,0.35080161513389474,True,True,14,11,0.8926025582303153,0.8990914028587962,0.8647220330666239,0.031811278572041767,-0.8329107544945821,0.8965333116386657,-1.697632787561206,1.7612553447052894,0.45317484436911726,0.4239601581816781
ASAN,1.2148923396137068,1.1807824397697606,0.1983777610452182,0.21772939987653883,True,True,9,10,2.7522650568127864,2.550644869073172,1.3480696536966377,0.22957470511203482,-1.118494948584603,1.5776443588086724,-2.4665646022812404,2.9257140125053103,0.44296028979871416,0.4071798781661121
TDOC,0.6862958403429349,0.6726769311919418,-0.09187158468059087,-0.08270753208777104,False,False,6,6,2.0425596643397586,2.0240146195603383,0.7756047458370091,-0.1254558486511728,-0.9010605944881819,0.6501488971858363,-1.676665340325191,1.4257536430228455,0.42247915827246163,0.39193238297028943
TWLO,1.0350868714208608,1.0229001944152776,-0.06921281761313747,-0.06903332133006423,False,False,3,4,7.021954781595588,5.623367331736242,0.979015709188621,-0.01047037940564389,-0.9894860885942649,0.9685453297829771,-1.968501797782886,1.947561038971598,0.5318928654604588,0.49348236170026283
LYFT,1.0982668077900823,1.094631072938618,-0.04918929208214684,-0.01775665816151717,False,False,5,4,4.252549410223911,5.001015833244231,0.9089402543404405,0.00023506796033483766,-0.9087051863801057,0.9091753223007752,-1.817645440720546,1.8181155766412158,0.4558953445002901,0.3444232167329472
PLAN,0.3258584065302798,0.3393988129242197,0.41600738752139566,0.38464393004515696,True,True,11,12,0.5986393172635388,0.5959726507615916,0.6248961154441738,-0.003627460803165669,-0.6285235762473395,0.6212686546410081,-1.2534196916915132,1.246164770085182,0.5296903938381927,0.5174149490457235
XM,1.1566690650274956,1.1389996571035863,-0.008733821773094341,-0.020943519423195722,False,False,6,7,4.119779114316625,3.668720022155486,0.7980976167646137,0.010991283349149526,-0.7871063334154641,0.8090889001137632,-1.5852039501800779,1.6071865168783768,0.5750499884175284,0.4970501403897202
CARG,0.5852353486191767,0.5984612436236826,-0.09807075170310142,-0.1452919313949339,True,True,8,10,1.370811616112872,1.2423879688112165,0.877304352674973,0.19618667134116236,-0.6811176813338107,1.0734910240161353,-1.5584220340087835,1.9507953766911084,0.43747472115944164,0.3219084375456255
ZS,0.44658954850377175,0.5080630755663779,0.5387697778835201,0.27632959919737565,True,True,15,12,0.6773217421442534,0.9011389386767953,0.9308001991063595,0.24067136270235798,-0.6901288364040015,1.1714715618087175,-1.620929035510361,2.1022717609150767,0.6032818360533638,0.40641321933772634
SNOW,0.5676534919438662,0.5538326024228684,0.29300891938846463,0.2081061218026793,True,True,9,10,1.235284182846319,1.1743901695163055,1.0101860580675834,-0.13469577910278355,-1.144881837170367,0.8754902789647999,-2.1550678952379503,1.8856763370323832,0.30766920549527854,0.28188498596735856
SE,0.6899456045227692,0.6507096051863602,0.08174325357954038,0.17984495510828225,True,True,11,11,1.388415003583838,1.2655524129659126,1.223474210630967,0.3161773150158199,-0.9072968956151471,1.539651525646787,-2.1307711062461143,2.763125736277754,0.3883684363939651,0.294881151927454
NUAN,0.10817544351051545,0.10266072687901613,-0.09553271216295145,-0.013257381377453248,True,True,10,8,0.1976585091022438,0.21459286424586257,0.08702247806535975,-0.00015190756509976072,-0.08717438563045951,0.08687057050025998,-0.17419686369581924,0.17389304856561974,0.11082559029588657,0.08633963940980927
NET,1.0400132381817198,1.0621086181566863,0.1148586699574139,0.08961112193754839,False,False,9,10,2.358191062691951,2.1866121438554464,1.1234776654267637,-0.12682174493385656,-1.2502994103606202,0.9966559204929072,-2.373777075787384,2.120133585919671,0.3453380120224526,0.2986084256254856
CRWD,0.8428133538814971,0.9093998419001871,0.04702797473753095,0.008740748587303115,True,True,10,8,1.8409821804520639,2.1571309587542506,1.13688014262414,0.1375145241920641,-0.9993656184320758,1.274394666816204,-2.136245761056216,2.411274809440344,0.6282001427228707,0.322299824824712
FSLY,1.0504243271116587,1.0890221788333232,-0.01558889563360033,0.020245185729100723,False,False,6,5,3.404363668179746,3.779343176443736,0.8682252176004339,-0.1077279658134888,-0.9759531834139227,0.7604972517869452,-1.8441784010143567,1.628722469387379,0.4095681960431412,0.3617861620052878
DASH,1.564335649372799,1.5826104146427413,-0.06644116951386358,-0.05435229391844132,False,False,7,8,5.005565961661941,4.578618743219773,1.1289258678828893,0.012886533179557872,-1.1160393347033315,1.141812401062447,-2.244965202586221,2.2707382689453364,0.31070159278863163,0.21895090307706933
U,1.0803179905112943,1.0916562368119291,0.1885406368135455,0.20354772421741207,False,False,10,10,2.541575885465094,2.5365859514018774,1.1187007067282455,-0.10210571236869397,-1.2208064190969394,1.0165949943595516,-2.339507125825185,2.135295701087797,0.46489428632584084,0.4336307645436174
TEAM,1.0638687994221632,0.7906138818243533,-0.14485353814679636,-0.02818594276664599,False,False,11,7,2.104515856807422,2.2988056320576824,1.8260506559453258,0.17961990034368447,-1.6464307556016413,2.0056705562890103,-3.4724814115469673,3.831721212234336,0.05395360169957886,-0.009774364045504358
RNG,1.6489469714727698,1.7000366990510138,-0.07969490982070271,-0.1078295389222661,False,False,4,4,8.820353945136219,8.804472078097717,0.9419687002201261,-0.08696482250328527,-1.0289335227234113,0.8550038777168408,-1.9709022229435376,1.796972577936967,0.3188952437696033,0.3011644729814408
UBER,1.03317551012594,1.0465282069762911,0.0001912001621903192,-0.010534596579279798,False,False,8,6,2.6941522825396564,3.293606554630534,0.8238107055726813,-0.047345004851639866,-0.8711557104243212,0.7764657007210415,-1.6949664159970026,1.6002764062937227,0.5344486051661995,0.334159608130118
AKAM,0.37927666709517305,0.40553929473732453,-0.00175797129310018,-0.02133344885124533,True,True,10,10,0.8300876299078468,0.8507495781853347,0.4034222526435037,0.11270545728940479,-0.2907167953540989,0.5161277099329085,-0.6941390479976026,0.9195499625764121,0.4662940484066198,0.39993628333169473
CERN,0.32297749095787104,0.3480445999687478,-0.07783336066172986,-0.08939211423614002,True,True,7,9,0.9212839470474029,0.7766093536672491,0.32115026288646,0.07053726928099095,-0.250612993605469,0.39168753216745095,-0.571763256491929,0.7128377950539109,0.11426314969160267,-0.03281556676110986
ZM,1.1390916850273771,1.1520707818847284,0.006682605432122624,-0.0194705384613163,False,False,5,5,4.431466897488678,4.520993884536961,1.3615688659687302,-0.11159331181438109,-1.4731621777831112,1.2499755541543491,-2.8347310437518414,2.6115444201230793,0.34334572258318496,0.30750618757559856
DDOG,1.330980882214404,1.3531561953988436,0.04186296839810433,0.015439265942124414,False,False,5,4,5.484226356407506,6.61892124572591,1.0703551605759285,0.027052775139213687,-1.0433023854367147,1.0974079357151423,-2.1136575460126434,2.1677630962910706,0.47070687765301655,0.4775455746169277
CRM,0.29871538810212883,0.2874314981718426,0.40238758054297896,0.36382406075151574,True,True,10,10,0.5470965371485408,0.5833829712215968,0.5210274150479962,0.048282454750366716,-0.47274496029762947,0.569309869798363,-0.9937723753456257,1.090337284846359,0.4993757983915563,0.45913168504808954
BOX,0.3149347759008134,0.30556641854097466,0.25974089076648244,0.22992034141750883,True,True,12,14,0.49713275319580363,0.4915359757015862,0.534397915784208,0.08043428917999013,-0.4539636266042179,0.6148322049641981,-0.988361542388426,1.1492301207484061,0.33956699379782807,0.3224043075433678
MQ,2.232817374660982,2.2500519637087164,0.025711942369603502,0.03083719972987664,False,False,11,11,4.457232439085744,4.461030986077133,1.3498402481649583,0.23402128119248647,-1.1158189669724718,1.5838615293574447,-2.46565921513743,2.933701777522403,0.2976049912097516,0.24043189808672782
