,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CARG,0.5683010658476606,0.5984612436236825,-0.04141359268605749,-0.14529193139493368,True,True,9,10,1.2073490406094864,1.2423879688112165,0.8051459914201233,0.15943727200208727,-0.6457087194180361,0.9645832634222106,-1.4508547108381593,1.769729254842334,0.48550754817515784,0.32190843754562515
CRM,0.3150264363061213,0.28743149817184255,0.3287709284567888,0.36382406075151585,True,True,9,10,0.6042680560382488,0.5833829712215965,0.5210274150479961,0.04828245475036672,-0.47274496029762936,0.5693098697983628,-0.9937723753456255,1.0903372848463588,0.479745859409734,0.45913168504808954
PLTR,0.6307450408161962,0.6875746795159929,0.26268377896560613,0.17296868904667928,True,True,8,10,1.535637485528066,1.4693905638501035,0.7778573114769333,0.07703143874403892,-0.7008258727328943,0.8548887502209722,-1.4786831842098276,1.6327460616979055,0.5703788963260883,0.47817205704102617
PLAN,0.32118432329787716,0.33939881292421964,0.44826506302179203,0.38464393004515696,True,True,11,12,0.5806315549689102,0.5959726507615916,0.6248961154441738,-0.003627460803165691,-0.6285235762473395,0.6212686546410081,-1.2534196916915132,1.246164770085182,0.5451148035994146,0.5174149490457235
AKAM,0.37827047363664473,0.4055392947373245,0.006835817739915373,-0.02133344885124533,True,True,10,10,0.8277180094204603,0.8507495781853347,0.40342225264350373,0.11270545728940481,-0.2907167953540989,0.5161277099329086,-0.6941390479976026,0.9195499625764123,0.4648487799866444,0.3999362833316944
SQ,0.5802436899141192,0.5846435151645133,0.4123183429408851,0.43535976270886056,True,True,13,12,0.9553076716590522,0.9773564344528309,1.0507029166048276,0.06601834704427828,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.6129195014385953,0.5624541892764818
U,1.0974960639387032,1.0916562368119291,0.1950195589900281,0.20354772421741207,False,False,10,10,2.52857695886114,2.5365859514018774,1.1187007067282455,-0.10210571236869397,-1.2208064190969394,1.0165949943595516,-2.339507125825185,2.135295701087797,0.4737331471117846,0.4336307645436175
COUP,0.590507971164877,0.5985089304316924,0.0339905725347438,0.014561893605085974,True,True,11,11,1.1167465534589023,1.1411480577283646,0.7499245523354071,0.14496184914936008,-0.6049627031860471,0.8948864014847672,-1.3548872555214542,1.6448109538201743,0.47340357951231626,0.3983986046881486
INTU,0.7537484238689437,0.7696282318335514,-0.03140697474610854,-0.016956179528638593,False,False,3,3,5.239022169241272,5.236505603674533,0.4762475954424968,0.12594709234288953,-0.35030050309960725,0.6021946877853863,-0.8265480985421041,1.078442283227883,0.557138559549679,0.4849175088787939
DBX,0.38867434229977543,0.36832127889265387,0.29366348038662726,0.29783812821818567,True,True,14,11,0.6446059811786103,0.7374938447055677,0.6330888268332575,0.010767748532300924,-0.6223210783009566,0.6438565753655584,-1.255409905134214,1.276945402198816,0.562990812050032,0.4910649200278474
CHWY,0.5296827096603116,0.5017167299209333,0.13710569003056938,0.18511311739708824,True,True,16,15,0.8158758835957025,0.7996443436400947,0.6734417498048222,-0.05146131414543568,-0.7249030639502578,0.6219804356593865,-1.39834481375508,1.2954221854642087,0.33158197042846016,0.2849488099046903
BMBL,1.1560982264538522,1.276465784998742,-0.03670236875705313,-0.07062919311777405,False,False,4,4,6.123654955423207,6.254488779256001,1.0162803903312998,0.13615484309349177,-0.880125547237808,1.1524352334247916,-1.8964059375691078,2.1687156237560914,0.526422030412786,0.3612271493272591
SE,0.7078501930092332,0.6507096051863602,0.055257529674208494,0.17984495510828225,True,True,10,11,1.4849924967628136,1.2655524129659126,1.2234742106309673,0.31617731501582,-0.9072968956151473,1.5396515256467873,-2.1307711062461143,2.763125736277755,0.3700529183318225,0.29488115192745445
FTCH,2.017631960774449,1.9747097473260666,0.029245139208530446,0.001258367270834948,False,False,3,3,13.61567580845975,13.909689042833255,1.1227862034465195,-0.05533386291180861,-1.178120066358328,1.067452340534711,-2.3009062698048477,2.19023854398123,0.46374571259588315,0.41375646998838256
BOX,0.3070036361109328,0.30556641854097466,0.2877087164833845,0.22992034141750906,True,True,13,14,0.4726559112394434,0.4915359757015862,0.534397915784208,0.08043428917999017,-0.45396362660421785,0.6148322049641982,-0.9883615423884259,1.1492301207484061,0.352015198541343,0.3224043075433677
TDOC,0.6820383176758803,0.6726769311919417,-0.09028327155778437,-0.08270753208777104,False,False,6,6,2.056682825043124,2.024014619560338,0.7756047458370091,-0.1254558486511728,-0.9010605944881819,0.6501488971858363,-1.676665340325191,1.4257536430228455,0.4466157619658008,0.3919323829702891
CERN,0.32272083597774703,0.3480445999687478,-0.08033982239945892,-0.08939211423614002,True,True,7,9,0.9189247429665274,0.7766093536672493,0.32115026288646,0.07053726928099095,-0.250612993605469,0.39168753216745095,-0.571763256491929,0.7128377950539109,0.1183846885075237,-0.03281556676110986
