,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ABNB,1.0020313516640769,1.012588795492235,0.23996745223757066,0.12429927372564942,False,False,7,6,2.978677647506633,3.3830130036812953,1.1185531109899782,-0.07316495825429242,-1.1917180692442706,1.0453881527356859,-2.310271180234249,2.163941263725664,0.5832572150536199,0.37809251947468436
BILL,1.1224089813569982,1.1899638362467153,0.0790802119549715,0.014191313209792056,False,False,7,3,3.163241768490998,5.9867895221587615,1.71925345607032,0.21273695187313857,-1.5065165041971815,1.9319904079434587,-3.2257699602675016,3.6512438640137788,0.15909764670451632,0.37737025884359143
RNG,1.8395972100307971,1.8068167193875926,-0.09912533248304967,-0.11534482132079016,False,False,5,4,7.990799518605014,9.369364430727835,1.0118681100004678,-0.037140419708735696,-1.0490085297092036,0.9747276902917321,-2.0608766397096714,1.9865958002922,0.2694452614577898,0.2913646065368739
DASH,1.7163086899912758,1.686049574363237,-0.06369868268643275,-0.052870315467415496,False,False,9,8,4.503294188926797,4.626602050384999,1.0769340040699469,0.05298307402291101,-1.023950930047036,1.1299170780928578,-2.1008849341169826,2.206851082162805,0.24340134209819364,0.2009457970921218
EBAY,0.48731424150595315,0.45045763037709935,-0.16688535372144186,-0.07941117164991907,False,False,7,6,1.406614230627003,1.3843941378752722,0.583193811188237,0.022687687127575944,-0.560506124060661,0.605881498315813,-1.1436999352488981,1.1890753095040498,0.5233358648196059,0.5270558831415431
CHWY,0.6708899088260168,0.6101772001204683,-0.19680485835849026,-0.03019493163913789,True,True,10,10,1.3032312561021948,1.224563482898051,0.7534205318811809,-0.021428817455894006,-0.7748493493370748,0.7319917144252869,-1.5282698812182558,1.4854122463064676,0.30354079171122594,0.28930841641950633
BIGC,1.0842293463096948,1.1061982356055797,0.11732919264676056,0.07226120451770734,False,False,4,5,4.675203611185077,4.190463012364027,1.1548930817782335,-0.039602830764494786,-1.1944959125427284,1.1152902510137386,-2.349388994320962,2.270183332791972,0.5549766980457058,0.4407405047216967
SNOW,0.5358136661821005,0.5797443782208356,0.2589569044040856,0.22990473532691558,True,True,11,11,1.080517364362873,1.1550401542251036,0.9523163064581597,-0.12186996852066942,-1.0741862749788291,0.8304463379374902,-2.0265025814369886,1.78276264439565,0.33921201827889047,0.29730757909639816
CERN,0.3581110430088113,0.34589735575523406,-0.14297492795674027,-0.09660967893701655,True,True,9,8,0.8545992132319435,0.8317381142902598,0.31803254938099884,0.07233989972284918,-0.24569264965814966,0.39037244910384805,-0.5637251990391485,0.7084049984848468,0.07924233793230828,-0.04019024905342006
ZS,0.5350105742806429,0.5188865972328733,0.15515796799508075,0.25208793551218134,True,True,11,12,1.02215294764876,0.9117174457417616,0.8128931571349827,0.2149508124671304,-0.5979423446678522,1.027843969602113,-1.410835501802835,1.8407371267370958,0.39684951747352193,0.3868272865137564
PANW,0.6016595049474845,0.5852919150919503,0.07919485430955253,0.08477840606385012,True,True,12,9,1.0528871115305452,1.2547344399205835,0.537159841477645,0.07273459253427698,-0.46442524894336795,0.6098944340119219,-1.0015850904210128,1.147054275489567,0.4129932516221496,0.31251797035801976
U,1.097071443707182,1.083705342368191,0.18928433024568858,0.20912465892947762,False,False,10,10,2.5463187601366863,2.534217003015286,1.1117242268707557,-0.11723085539304932,-1.228955082263805,0.9944933714777063,-2.340679309134561,2.106217598348462,0.4645469289647076,0.4913278206308118
ASAN,1.2638471369908162,1.2284100286552757,0.21415818229433947,0.2321868019957144,True,True,9,11,2.781990834369121,2.497700161335256,1.3793700767456392,0.18043518265180583,-1.1989348940938334,1.559805259397445,-2.5783049708394725,2.939175336143084,0.4499431239150352,0.43227955754013914
AKAM,0.41921689113769517,0.3977934675396347,-0.13822463470226776,-0.05890796461158487,True,True,9,10,0.9275542849897964,0.8285251955197215,0.40028140344310337,0.11138216803016641,-0.28889923541293694,0.5116635714732698,-0.6891806388560403,0.9119449749163732,0.4288993249283416,0.37748381467090475
CARG,0.5877850282048606,0.5747313667129273,-0.0007898474763408103,-0.04515946606801391,True,True,9,9,1.283121654226857,1.297843445144653,0.8221382993017131,0.13275225258906131,-0.6893860467126518,0.9548905518907744,-1.5115243460143648,1.7770288511924877,0.5127094840162336,0.3465324703544872
DOCU,0.7897035088845663,0.7748502233366795,-0.18512660065170583,-0.11727311411124863,False,False,8,8,2.0588389603444477,2.012534904465234,0.9318421123990974,0.15852881642980116,-0.7733132959692963,1.0903709288288985,-1.7051554083683937,2.022213041227996,0.371120236758565,0.36353403047246136
DBX,0.419063975494179,0.3609012781183188,0.17692736427859768,0.31341705423093624,True,True,12,11,0.7563987459951848,0.7300225302244829,0.6381203372697095,-0.005264008990870641,-0.6433843462605802,0.6328563282788389,-1.2815046835302897,1.2709766655485484,0.5431444015033858,0.502932989211496
UBER,1.1440739439391021,1.2131693422156997,0.23916490258207368,0.07537917126205063,False,False,7,5,3.2352946972178662,4.5777607130258176,1.0311162703176326,-0.07894964634245344,-1.1100659166600861,0.9521666239751791,-2.141182186977719,1.9832828942928118,0.6617106223848339,0.33821440813867865
BMBL,1.108756432506506,1.3031308167005566,-0.056085061197581165,-0.1044800198003002,False,False,4,5,6.133146683955128,5.367207033190854,1.0576285574465292,0.08798955494210063,-0.9696390025044286,1.1456181123886298,-2.0272675599509578,2.203246669835159,0.5568652548081054,0.3759916932269426
ANGI,0.5126766976866055,0.5251821154676516,0.4558220887832831,0.3134718720172478,True,True,12,12,0.8539223935538162,0.9088501111019518,0.9453394179992091,-0.05519643410309074,-1.0005358521022998,0.8901429838961183,-1.945875270101509,1.8354824018953273,0.5662465971124926,0.4995793798406932
SQ,0.557231376482799,0.5957222609926,0.44210600085483287,0.4360066365425096,True,True,14,11,0.9255412996221983,1.045281314748956,1.0756067664075382,0.027013239557758313,-1.04859352684978,1.1026200059652964,-2.124200293257318,2.1782267723728346,0.6163713872799871,0.580206456859257
SE,0.8082281182280091,0.6824293476933785,-0.08200265722259004,0.2260181474782017,True,True,10,13,1.6846125588630745,1.2120176726333902,1.22813482112025,0.29347676532941736,-0.9346580557908327,1.5216115864496675,-2.162792876911083,2.7497464075699174,0.34850270875411815,0.3028248732624662
TWLO,1.112464473878757,1.051634231787049,-0.0968993473328632,-0.08370279576030493,False,False,4,5,5.8938948852276525,4.781849287729005,0.976372239189085,-0.013806445716282853,-0.9901786849053679,0.9625657934728021,-1.9665509240944528,1.9389380326618872,0.48499201168158357,0.475640619392098
CDAY,0.38301571188300704,0.41728840663033007,0.1942189722006601,0.10128359990406344,True,True,7,8,1.0480091645861664,1.08570471816912,0.5963641459948458,0.07110459934652862,-0.5252595466483172,0.6674687453413743,-1.1216236926431629,1.2638328913362202,0.6083872180843484,0.5528821231867631
FSLY,1.1599521681447305,1.083805357508136,-0.07877674097904142,0.013317898663502192,False,False,7,6,3.2360075532882293,3.332127610630916,0.8649949760377745,-0.12221475019771644,-0.987209726235491,0.7427802258400581,-1.8522047022732655,1.6077752018778326,0.407998311443469,0.37075793516756983
MQ,2.224684080137058,2.2174948138924084,0.06592637541065549,0.05805103846593962,False,False,11,11,4.432232499532636,4.453894875263803,1.357796114677372,0.1978991755580238,-1.1598969391193483,1.5556952902353958,-2.5176930537967204,2.913491404912768,0.3687479551785464,0.261678603379789
COUP,0.7023431641303588,0.6243385459863566,-0.3349929801934475,0.08481816328195801,True,True,9,12,1.538203587678363,1.1308147489870408,0.8136077491045941,0.15476316461046088,-0.6588445844941332,0.968370913715055,-1.4724523335987274,1.781978662819649,0.5229345983118769,0.39478630068240084
TEAM,1.104093782851197,0.7951759054430052,-0.16465597482281358,-0.013751068469208816,False,False,12,7,2.0805833260427806,2.248485171661723,1.8135958682306594,0.15686943756347865,-1.6567264306671807,1.9704653057941381,-3.47032229889784,3.7840611740247976,0.05857929360247638,-0.007256296948707108
VMW,0.46464519227085327,0.575459795346594,0.4444851273507411,-0.04690469057158064,True,True,11,8,0.8792297866831086,1.3447287178438927,0.8835788443959699,-0.010267926416103891,-0.8938467708120738,0.873310917979866,-1.7774256152080437,1.756889762375836,0.3198677246246281,0.33627627645615754
NET,1.0615319642266094,1.0454417578985662,0.0861551233352903,0.08722159060349688,False,False,11,10,2.1226462572446327,2.1101949273268277,1.0743528702409757,-0.09739191502060407,-1.1717447852615797,0.9769609552203716,-2.2460976555025556,2.051313825461347,0.34488292155172184,0.2913552603744274
ADBE,0.41444130548216895,0.41968238074396425,0.21605708405981416,0.22826408304566503,True,True,11,12,0.8134738913687459,0.7765645971856898,0.5822730961121942,0.16395513481569926,-0.418317961296495,0.7462282309278935,-1.0005910574086891,1.3285013270400878,0.5124297511202058,0.4694483087762714
NUAN,0.11008578585682545,0.10361208112976637,-0.07401685780766121,0.015773760503460355,True,True,10,9,0.19999702697010005,0.2032146657974062,0.08368744549998622,0.0007862615900737653,-0.08290118390991245,0.08447370709005998,-0.16658862940989866,0.16816115259004621,0.12413380619527403,0.0977642276468148
GDDY,0.973010927541946,0.9995947265079205,-0.017815360991724427,-0.009492895918294275,False,False,2,2,9.913056996643963,9.864909760282321,0.5697946246532808,0.022427538096932147,-0.5473670865563487,0.5922221627502129,-1.1171617112096295,1.1620167874034937,0.6115802486151718,0.5664234971187001
XM,1.1665389422915742,1.1448846213783295,-0.0035390335400660167,-0.009358885740732958,False,False,6,7,4.1420819990142155,3.6693064284402985,0.7878127915190538,-0.04905423325765634,-0.8368670247767102,0.7387585582613975,-1.6246798162957639,1.5265713497804514,0.626270405108157,0.5144465316495224
DOCN,1.357667510168929,1.2630413995940089,0.1014732330414706,0.17711388216346802,True,True,12,9,2.5778043657486243,2.8258194888608026,1.7102204924055264,0.289050804442199,-1.4211696879633275,1.9992712968477253,-3.1313901803688537,3.709491789253252,0.3098553162877824,0.2605879523716277
DDOG,1.427056784586581,1.4334396479103315,0.050171284411744566,0.03632492767851514,False,False,5,5,5.632368725064211,5.73506991522254,0.8343144973713597,0.038170195558715134,-0.7961443018126445,0.8724846929300748,-1.6304587991840043,1.7067991903014343,0.5334042159453414,0.473664762421361
BOX,0.3184109075836435,0.31008025382581184,0.3888606666673139,0.37213009255339247,True,True,13,15,0.4866330945784465,0.47698863202365716,0.5450929179410999,0.06162091941642314,-0.4834719985246768,0.606713837357523,-1.0285649164657766,1.151806755298623,0.37848498146060416,0.3499622458983256
PLTR,0.7238884807099487,0.7714864263592044,0.2870216514957299,0.1884238460041079,True,True,8,10,1.8034897113479436,1.6944088620702131,0.8567763776429097,0.026090299738665976,-0.8306860779042438,0.8828666773815756,-1.6874624555471534,1.7396430550244855,0.6107506457308037,0.48998477335305823
SPLK,0.6821952813651793,0.7080416923282257,-0.025980000883888188,-0.042583035446894124,False,False,5,5,2.865715300278028,2.934546086534385,0.6346205188013473,-0.0893217231812203,-0.7239422419825676,0.545298795620127,-1.3585627607839148,1.1799193144214744,0.5040800608193565,0.4607037378673272
INTU,0.7654521155120464,0.7828748219900092,-0.017809855928899276,-0.001074987842647701,False,False,3,3,5.255723451609017,5.241469114666306,0.49598434030203825,0.10841120819518713,-0.3875731321068511,0.6043955484972254,-0.8835574724088894,1.1003798887992637,0.5467238498130911,0.4747111604229669
ETSY,0.9669898099298844,0.8984218629525904,-0.3168755745889935,-0.12923876919204202,True,True,9,9,2.220531079540917,2.0896598903736123,0.9836419175659078,0.09099844414263022,-0.8926434734232775,1.074640361708538,-1.8762853909891855,2.058282279274446,0.37997885148398935,0.43708881846691083
NTNX,0.4961985164682978,0.5067614241974823,-0.3614379606488205,0.05519928668159235,True,True,7,9,1.363167993585607,1.1371689210610036,0.7713545542072165,0.03983918924936939,-0.7315153649578472,0.8111937434565859,-1.5028699191650636,1.5825482976638026,0.5707198979303894,0.487691337874377
PD,0.43231445276232844,0.4357087557386014,0.16941638186388208,0.38279354596876536,True,True,12,12,0.8017617485485079,0.7205344945586738,0.8650250394198454,0.04216927874651915,-0.8228557606733263,0.9071943181663645,-1.6878808000931718,1.77221935758621,0.6033311319865811,0.5334771051479175
NOW,0.39237477694387907,0.3985684380860991,0.35222658803129336,0.34664476657134324,True,True,12,12,0.6321316239266807,0.6404694208207663,0.5834067707958382,0.09947596345810089,-0.48393080733773736,0.6828827342539392,-1.0673375781335757,1.2662895050497773,0.5069209380826274,0.49191126930366447
CRM,0.3406290636265589,0.3576116828772966,0.5449553941354867,0.34183815456085487,True,True,9,9,0.6818199126505604,0.8059336845344381,0.5750261166239927,0.011605436478714277,-0.5634206801452785,0.586631553102707,-1.138446796769271,1.1616576697266998,0.5541768650515606,0.45913168504808965
FTCH,2.089485048260656,1.9971285743402993,0.03468569544648581,0.0024544520278525495,False,False,3,3,13.579312158283521,13.911501174095951,1.1272317837124821,-0.08114834183421163,-1.2083801255466937,1.0460834418782705,-2.335611909259176,2.1733152255907524,0.48925035998316735,0.4255021682416076
AMZN,0.5848174507067819,0.46763348548755534,0.23567341596519054,0.2866955851181726,True,True,13,11,0.9400644662591632,0.9432208303089463,0.85929161514545,0.03239876109977472,-0.8268928540456754,0.8916903762452247,-1.6861844691911254,1.7509819913906748,0.45345349968172965,0.3996666854589277
LYFT,1.2118847105735973,1.3173579715329928,0.12314805910442439,0.051360196296066474,False,False,4,4,5.6042372586961156,6.300127487515209,1.1594047954293578,-0.1180703035568723,-1.27747509898623,1.0413344918724856,-2.436879894415588,2.200739287301843,0.5647398841883774,0.33153283522017307
TDOC,1.073995241106957,1.0317210758545143,-0.17881016431998353,-0.08113895147669115,False,False,6,6,3.912459746803009,3.7534824007559577,1.3387928149301511,-0.01963949233089214,-1.3584323072610434,1.3191533225992589,-2.6972251221911945,2.65794613752941,0.33298380551062357,0.3952607465000343
CRWD,1.102435377170561,0.9613387326386251,-0.22275467692810702,-0.004861999228253477,True,True,7,8,2.9221518904462465,2.366897785039746,0.9473240989987929,0.09991011666212314,-0.8474139823366698,1.047234215660916,-1.7947380813354625,1.994558314659709,0.28117372103838256,0.2582617685552614
