,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.1701135371601898,1.155448432539763,0.0023722286300179585,-0.01828194804296368,False,False,5,5,4.51029794854603,4.5358309508823975,0.8111508180833036,-0.05944122238198397,-0.8705920404652876,0.7517095957013196,-1.6817428585485912,1.5628604137846231,0.6426764104904057,0.5207922553529217
BOX,0.30212172507018104,0.31206971398268046,0.2328099949598581,0.1953883282346791,True,True,13,14,0.48392392411304136,0.49235295178425487,0.5433975462177068,0.07838550682146968,-0.4650120393962371,0.6217830530391765,-1.008409585613944,1.165180599256883,0.34071333803162684,0.319159195166958
NOW,0.3949686459277273,0.40298575159391475,0.173843386290352,0.12837694043983194,True,True,10,10,0.676783846548799,0.6984949836867484,0.5654594219225281,0.13354096868671841,-0.4319184532358097,0.6990003906092465,-0.9973778751583378,1.2644598125317745,0.4873541172154955,0.4804006615379296
AMZN,0.5984212124251984,0.43900314650082745,0.2549686963398241,0.3870099078862549,True,True,12,10,0.9802862636793188,0.9060421450272136,0.880577738080563,0.019114159257582447,-0.8614635788229806,0.8996918973381455,-1.7420413169035436,1.7802696354187086,0.46869615992039926,0.43126691417878793
GDDY,0.9866961596738931,0.9990519751473782,-0.05021179391903785,-0.042100690835793486,False,False,2,2,9.901751647455537,9.870855111491785,0.5504399761273536,0.05875455192808851,-0.4916854241992651,0.6091945280554422,-1.0421254003266187,1.1596345041827958,0.5920237624228937,0.5682508801680899
BIGC,1.0848044578493359,1.0623070377791894,0.05259900278452567,0.024910384053729695,False,False,3,4,5.688654807763386,4.585175095040285,1.103168306604173,0.055678066482976324,-1.0474902401211967,1.1588463730871494,-2.15065854672537,2.2620146796913225,0.6004792271484658,0.5089832747574607
AKAM,0.3778238822984437,0.40050571608595503,-0.044438952822816846,-0.05074635677749151,True,True,9,9,0.8873304813760428,0.9001919816562389,0.4025253959072423,0.10841037252614723,-0.2941150233810951,0.5109357684333895,-0.6966404192883373,0.9134611643406318,0.4602256175893906,0.3869009033713052
SNOW,0.40215920432482555,0.4318530073972806,0.39303523054042744,0.2969315913663907,True,True,11,12,0.7514286250414831,0.7845844258523266,0.9233789635075547,-0.10335089586493656,-1.0267298593724912,0.8200280676426182,-1.9501088228800458,1.7434070311501728,0.3997668892469045,0.2989584890271375
ANGI,0.42940559621370733,0.41475465459822863,0.48342445907339593,0.5200297124271227,True,True,10,13,0.6995095637651183,0.6352691855182978,0.8933497926258845,-0.026457933907567163,-0.9198077265334517,0.8668918587183174,-1.8131575191593363,1.7602416513442019,0.5434841262912717,0.5239262205268833
DASH,1.534210590778713,1.5181683827812402,-0.10192726790537132,-0.08202250006035983,False,False,7,6,4.993404411646216,5.442524219226393,2.032123742297315,0.2166343633034246,-1.8154893789938904,2.2487581056007397,-3.8476131212912055,4.280881847898055,0.028268696258736403,0.23225913904372197
