,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BOX,0.727172916868213,0.8004647956652337,0.0807221120903161,0.013727452597179335,False,False,3,3,4.771118346487465,4.805487766273036,1.4657816874939567,0.2345879174038233,-1.2311937700901334,1.7003696048977799,-2.69697545758409,3.1661512923917368,0.2662841315929999,0.36841432069728763
TWLO,0.9558845576139466,0.6792571298749708,-1.3381379662525839,0.09736850555329113,False,True,9,9,2.1890216149928126,1.6064242999713436,1.0221236815115449,0.021122499147236747,-1.0010011823643081,1.0432461806587816,-2.0231248638758528,2.0653698621703267,0.40181454438092656,0.38272863251169
TEAM,1.0654835338878836,0.9111693696245572,-0.2434916318132656,-0.02180467023018484,False,False,5,7,3.817107741249798,2.559979721803105,0.9007961861264182,0.0508817346041837,-0.8499144515222345,0.9516779207306019,-1.7507106376486528,1.85247410685702,0.440875710660527,0.4221483763806634
PLTR,1.0540027913997008,0.8400061589748462,-1.549208145187468,0.19695476443069415,False,True,7,9,3.1846036985877615,1.9049976901461916,0.9949520380501549,0.007520783571011294,-0.9874312544791436,1.0024728216211662,-1.9823832925292983,1.997424859671321,0.574823516947357,0.49696234780386006
UBER,1.59415419487992,1.5021856439606087,-0.23739045056066654,0.0963614853267507,False,False,8,8,4.171118432513455,3.71451263458086,1.247214349480708,6.807584361863696e-05,-1.2471462736370893,1.2472824253243266,-2.4943606231177973,2.4944967748050346,0.5403597251411416,0.23754020891035554
ANGI,0.9600338391248554,0.6705437331679941,-1.1509725155227346,0.3671663261702547,False,True,6,11,2.4935541764439257,1.1471769177258067,0.9870368509828481,-0.04661965713703969,-1.0336565081198879,0.9404171938458085,-2.020693359102736,1.9274540448286566,0.5066392770210302,0.4950823947369396
CARG,0.7783935916221177,0.7338268582697355,0.3451396955014492,0.11653203895433673,True,True,10,8,1.4345019251227769,1.6577436265301615,1.0031816962631912,0.2139266373702748,-0.7892550588929164,1.217108333633466,-1.7924367551561076,2.220290029896657,0.6125831836783704,0.42160343070077166
COUP,0.7325941180708989,0.5542878972738168,-1.7592390062737544,-0.07419934529704153,True,True,8,9,1.7329604235526306,1.09651518845204,0.7961538297646712,0.09626342751866526,-0.699890402246006,0.8924172572833364,-1.496044232010677,1.6885710870480077,0.266437149787062,0.2332399475694229
CERN,0.46978487013387027,0.4374514165205421,-0.30384811954331625,-0.21863185403496765,True,True,8,11,1.0128479635886292,0.8218180917824701,0.2822901535931106,0.10042944242897893,-0.18186071116413166,0.38271959602208955,-0.46415086475724227,0.6650097496152001,0.08178123649539693,0.03184093240861541
NTNX,0.7991386414669519,0.5971704792900613,-0.9606259243027091,0.2401453003523325,False,True,5,9,2.6315688304216756,1.2938348926732404,0.7963961002115287,0.07032619364444001,-0.7260699065670887,0.8667222938559688,-1.5224660067786175,1.6631183940674974,0.5916262052176651,0.5983208492187779
PANW,0.6872138661861413,0.6928487840406768,0.2692376751611041,0.15665784824438667,True,True,11,9,1.2346290508266866,1.4861480526986948,0.6378135306756542,0.1274383492902923,-0.5103751813853619,0.7652518799659465,-1.1481887120610161,1.4030654106416005,0.41458006634862754,0.4120853195144639
SPOT,1.006678234065632,0.79121208496306,-0.9419291320405909,0.2000695872056386,False,True,10,11,2.0280149170375568,1.4941186083687235,0.9652291929467202,0.04831081593248934,-0.9169183770142308,1.0135400088792095,-1.882147569960951,1.9787692018259297,0.29070653013163206,0.27126670945969267
U,1.5119635275919572,1.4291340872693323,-0.2180621596813357,0.23024697156413976,False,False,7,10,4.047931263653511,2.9398957978581626,1.4367201400744745,-0.06872503099194058,-1.505445171066415,1.367995109082534,-2.9421653111408896,2.804715249157008,0.5942785040470697,0.5203693174205708
PLAN,1.3848970057198358,1.2147006775540534,-0.07257678704705328,0.020864677129937226,False,False,2,2,14.720546224886803,11.75808883026142,0.7049403850222031,0.0026211305213531635,-0.70231925450085,0.7075615155435563,-1.407259639523053,1.4125019005657595,0.5176834475299373,0.5130727628376168
DOCU,2.1896120170008304,2.003322478151951,-0.041203520647585146,-0.029085355699077775,False,False,4,3,11.801029067706438,14.186693887824262,0.9614617636299688,0.20738998422329227,-0.7540717794066766,1.1688517478532612,-1.7155335430366454,2.13031351148323,0.29146121581271933,0.42636549153175096
