,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CDAY,0.4437437966269461,0.4536463209001424,0.25362709770629677,0.18249382100876743,True,True,8,8,1.0637497184635774,1.1489622793980834,0.5916448448216702,0.07300069523807559,-0.5186441495835946,0.6646455400597459,-1.110288994405265,1.256290384881416,0.6315542620645374,0.5541188919118628
TWLO,1.2931391198075497,1.248094782715174,-0.10848006685684264,-0.13062369823303843,False,False,6,7,4.475087391703563,3.977870908227977,0.9234813409216007,-0.026472485067372285,-0.949953825988973,0.8970088558542284,-1.8734351669105738,1.8204901967758291,0.45125106115377844,0.3052689104056193
ETSY,1.1281166986637532,1.1093557118286186,-0.07632091325280599,-0.03232037127071585,True,True,11,9,2.1417683941311427,2.344054079829641,0.9551341426966508,0.09323131580336363,-0.8619028268932871,1.0483654585000144,-1.817036969589938,2.003499601196665,0.3319291287259567,0.2956867365253941
BOX,0.6784349811070177,0.7747025774704049,0.08307403784383494,0.013490641362630118,False,False,2,2,6.522474624947396,6.775488706759286,1.4673892582353139,0.21969004146303012,-1.2476992167722838,1.687079299698344,-2.7150884750075974,3.154468557933658,0.26593285126694766,0.31843606539170255
INTU,0.9984862624256643,1.0125649148712572,0.024450553746724446,0.025945457333227173,False,False,4,5,4.957368568598153,4.237975310577248,0.7094438259852539,0.13726293205083967,-0.5721808939344142,0.8467067580360936,-1.2816247199196682,1.5561505840213474,0.4689957978728658,0.4728998018681476
COUP,0.5797454370627633,0.5742992119923283,0.17253077558959118,0.10675188197976926,True,True,8,9,1.2066192192195357,1.156549132607574,0.7558276548478029,0.1385612636423115,-0.6172663912054914,0.8943889184901144,-1.3730940460532943,1.6502165733379173,0.48340679315644697,0.4072769097523632
DOCN,1.5725212523581413,1.5134789765294756,0.20714172539720122,0.20715952483839017,True,True,12,11,2.559434348543845,2.7221384875809664,1.8521918849137124,0.20806525902585474,-1.6441266258878577,2.0602571439395674,-3.49631851080157,3.91244902885328,0.44821332985587636,0.31969952058723095
PLTR,0.8368789685042493,0.821847183344458,0.16112967417046464,0.10660291314069215,True,True,8,8,1.9252922553342344,2.0127784475440453,0.9614337082614494,-0.0766051240274814,-1.0380388322889307,0.8848285842339679,-1.9994725405503802,1.8462622924954173,0.48749627774251925,0.4441623715886963
SPOT,0.7252962324351266,0.7101052769659941,-0.017476402518166623,0.03815666170481091,True,True,11,11,1.4256171082068767,1.3513367367903373,0.8990380388790763,0.009480115159019016,-0.8895579237200573,0.9085181540380953,-1.7885959625991337,1.8075561929171715,0.27582161219165835,0.2043811736233172
AMZN,0.4484053232245177,0.446804671829896,0.2021313537044238,0.24554690057091477,True,True,6,10,1.2493285007071884,0.9306951071738089,0.48309693030882506,0.1408100566864896,-0.34228687362233545,0.6239069869953147,-0.8253838039311605,1.1070039173041397,0.6192578041710675,0.5425664459518525
ZS,0.8008677222865077,0.9073033634895338,0.2832447842549535,0.15623669291685882,False,False,8,5,1.9743391035055624,2.9490379843536907,1.1784947509652324,0.2626446466888757,-0.9158501042763567,1.441139397654108,-2.094344855241589,2.6196341486193404,0.42572210211241734,0.3762039683626561
