,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
DBX,0.3891572614966366,0.36832127889265387,0.28485506564046115,0.29783812821818567,True,True,13,11,0.6666539033685764,0.7374938447055677,0.6330888268332575,0.010767748532300905,-0.6223210783009566,0.6438565753655584,-1.255409905134214,1.276945402198816,0.554807606048827,0.4910649200278472
FTCH,2.033470677866243,1.9747097473260666,0.03597929315801962,0.001258367270834948,False,False,4,3,10.75373827145894,13.909689042833255,1.1227862034465195,-0.05533386291180861,-1.178120066358328,1.067452340534711,-2.3009062698048477,2.19023854398123,0.48522621014901446,0.41375646998838245
DOCU,0.5672360545749645,0.5804851007080212,0.17038764005706364,0.11791946466141912,True,True,12,11,1.0472368139548134,1.1386265845243566,0.7376970466389161,0.10830054586570195,-0.6293965007732142,0.845997592504618,-1.3670935474121302,1.5836946391435343,0.3856621579571444,0.3559242147295223
COUP,0.5821358392871816,0.5985089304316924,0.0058045646148159324,0.014561893605085974,True,True,10,11,1.1687543904050501,1.1411480577283646,0.7499245523354072,0.14496184914936008,-0.6049627031860472,0.8948864014847673,-1.3548872555214544,1.6448109538201745,0.414182377425689,0.3983986046881486
VMW,0.4469427904071714,0.4349585319231761,0.0705179065119308,0.06268049086857597,True,True,10,10,0.8767534981451799,0.8848380500742898,0.561398876749005,0.03797593514265566,-0.5234229416063494,0.5993748118916606,-1.0848218183553544,1.1607736886406657,0.44035863290189603,0.3213285867335882
PLTR,0.6698867545296366,0.6875746795159929,0.16957404939354714,0.17296868904667928,True,True,9,10,1.5427327507564197,1.4693905638501035,0.7778573114769332,0.0770314387440389,-0.7008258727328942,0.8548887502209721,-1.4786831842098274,1.6327460616979053,0.5910381513384451,0.47817205704102583
WDAY,0.569357928034503,0.6010164243150927,-0.032732448634736455,-0.058149496980311355,True,True,7,8,1.530554153650105,1.428646862978564,0.6065100634575276,0.08513260206631852,-0.521377461391209,0.6916426655238461,-1.1278875248487366,1.2981527289813737,0.34511488094897813,0.3035812638998707
DOCN,1.2316942318765314,1.311337682755445,0.2057584969961742,0.14591729723969693,True,True,11,11,2.5032093661044112,2.5723244012148383,1.7038095022219129,0.3295544887744711,-1.3742550134474418,2.033363990996384,-3.0780645156693547,3.7371734932182967,0.33096353075484475,0.2410623797296768
SQ,0.5674768664258778,0.5846435151645134,0.42460213891189,0.43535976270886045,True,True,12,12,0.9899956042640206,0.9773564344528313,1.0507029166048276,0.0660183470442783,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.5988813146010383,0.562454189276482
BIGC,1.0779200788934842,1.072306428031444,0.0900063375986303,0.038041446770410325,False,False,4,6,4.749027665121347,3.6013521123228585,1.1313303622443283,0.000559699932818883,-1.1307706623115095,1.131890062177147,-2.2621010245558377,2.2632204244214753,0.5350127721083748,0.4214625264883901
