,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CARG,0.6307381437203528,0.5984612436236826,-0.22971265436467947,-0.1452919313949339,True,True,10,10,1.2267157073370138,1.2423879688112165,0.9605110087823282,0.21384486765882382,-0.7466661411235044,1.174355876441152,-1.7071771499058326,2.13486688522348,0.5151937231491228,0.3219084375456258
CRM,0.27873464167068096,0.2874314981718425,0.429598519838995,0.36382406075151585,True,True,12,10,0.4955075976226882,0.5833829712215965,0.6227467270924587,0.0835199663183978,-0.539226760774061,0.7062666934108565,-1.1619734878665195,1.3290134205033153,0.46425022250402936,0.45913168504808965
PLTR,0.6812175394334368,0.6875746795159929,0.22730960100813813,0.17296868904667928,True,True,9,10,1.4741935529693948,1.4693905638501035,0.8180224044603753,0.04896463221514959,-0.7690577722452258,0.8669870366755249,-1.587080176705601,1.6850094411359002,0.604981579999157,0.4781720570410266
PLAN,0.29747284380872546,0.3393988129242197,0.5104518251519516,0.38464393004515673,True,True,12,12,0.5213537943013999,0.5959726507615918,0.6248961154441738,-0.00362746080316567,-0.6285235762473395,0.6212686546410081,-1.2534196916915132,1.246164770085182,0.5528476919689123,0.5174149490457237
AKAM,0.37925010089098177,0.4055392947373245,0.0013842603349534244,-0.02133344885124533,True,True,9,10,0.8805445025789316,0.8507495781853347,0.4034222526435037,0.11270545728940481,-0.2907167953540989,0.5161277099329085,-0.6941390479976025,0.9195499625764122,0.4624980168166871,0.3999362833316946
SQ,0.5763935615597047,0.5846435151645132,0.40790289549009573,0.4353597627088607,True,True,14,12,0.9317073011098881,0.9773564344528308,1.0507029166048276,0.0660183470442783,-0.9846845695605493,1.116721263649106,-2.035387486165377,2.1674241802539336,0.5995319180886431,0.5624541892764818
PD,0.4106888759811771,0.44500905226157933,0.35880703903125033,0.25564281013353907,True,True,15,11,0.6596115114186781,0.786794876560067,0.8519779006720787,0.06976892927602225,-0.7822089713960564,0.921746829948101,-1.6341868720681352,1.7737247306201795,0.5729451008884079,0.5145025808421781
U,1.0531988115547923,1.0916562368119291,0.2313320112965478,0.20354772421741207,False,False,10,10,2.4423195211887525,2.5365859514018774,1.1187007067282455,-0.10210571236869397,-1.2208064190969394,1.0165949943595516,-2.339507125825185,2.135295701087797,0.5129878046142415,0.4336307645436174
COUP,0.6189032727477761,0.5985089304316924,0.010301303479560708,0.014561893605085974,True,True,12,11,1.095366348474919,1.1411480577283646,0.7927413486092151,0.11694165326893009,-0.675799695340285,0.9096830018781452,-1.4685410439495001,1.7024243504873602,0.49303136779627965,0.39839860468814836
INTU,0.7690170327339921,0.7696282318335514,-0.02664350032698448,-0.016956179528638593,False,False,3,3,5.263617146313795,5.236505603674532,0.5205107185808623,0.09310694421922155,-0.42740377436164073,0.6136176628000838,-0.947914492942503,1.1341283813809462,0.49140174653535196,0.4849175088787937
