,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ASAN,1.2645024464734689,1.0474151525809547,0.051337734892658915,0.2322212661667059,True,False,8,10,2.996251640677449,2.2717056836365632,1.253954439055288,0.24173938291330221,-1.0122150561419856,1.4956938219685902,-2.2661694951972735,2.749648261023878,0.4532010817688764,0.42295524905872517
RNG,1.704597975184692,1.6212174138797237,-0.11603077713327958,-0.08988923016863737,False,False,3,3,11.292990522537622,11.121985384506127,0.9651920930563515,-0.048580624836565674,-1.0137727178929172,0.9166114682197858,-1.9789648109492686,1.8818035612761372,0.4006076731969648,0.2908561360756833
DOCU,0.6050257641426786,0.49148651653024233,-0.4681698041346274,0.04260641586564884,True,True,11,12,1.1415455488574708,0.9111732869317309,0.7134158476972435,0.08291112137307494,-0.6305047263241685,0.7963269690703185,-1.3439205740214122,1.509742816767562,0.37875819544168465,0.3745646981502848
NET,1.0725592980189897,1.0340628925336062,0.0913369207619329,0.08301266734550061,False,False,10,9,2.2212911677415192,2.310665516940983,1.0820648143906588,-0.06912439684865511,-1.1511892112393138,1.0129404175420038,-2.233254025629973,2.0950052319326624,0.3705348966924318,0.31130264869000845
ANGI,0.6033545594961364,0.42396284378700877,-0.5557914257944965,0.5265724972215362,True,True,8,14,1.2985116396426026,0.637934525972996,0.8969930043728517,-0.013565131635762727,-0.9105581360086143,0.883427872737089,-1.8075511403814661,1.7804208771099406,0.5565255614957985,0.5303074079951728
TEAM,1.438764672521534,0.8334843730111452,-0.5716177915571965,-0.07234244740528206,False,False,9,8,2.969653865415144,2.1293483363582677,1.8468638306137681,0.20761831859591998,-1.6392455120178482,2.0544821492096883,-3.4861093426316163,3.901345979823456,0.044516063037923104,-0.012779248818156397
SPOT,0.9309595025067002,0.9362189614296478,0.014807518994687352,0.02259734010653003,False,False,9,9,2.1116655840407077,2.115644115433819,0.8966074172054092,0.026802691201553628,-0.8698047260038555,0.9234101084069628,-1.7664121432092648,1.8200175256123718,0.3190838550942803,0.2588213985182827
U,1.4502578320404609,0.9909316697807063,-0.6476509952308911,0.20499898878183487,False,False,6,7,4.684376899708134,2.9621551681275595,1.236252714336002,-0.10604773339372921,-1.3423004477297313,1.1302049809422727,-2.578553162065733,2.366457695278275,0.37848131582531763,0.42939762118518177
FSLY,1.0785749638011857,1.0550466094412243,-0.0578814648794872,0.02328513817046829,False,False,6,5,3.5557684647179246,3.779166531574474,0.8705428818059284,-0.10366656662130672,-0.9742094484272351,0.7668763151846217,-1.8447523302331637,1.63741919699055,0.4152860906635736,0.37106992911109304
GDDY,0.960852440168725,0.9649760633100126,-0.05196046485782069,-0.04095895501825808,False,False,2,2,9.942950984225178,9.870855111491785,0.5482060506645242,0.06183887943966764,-0.48636717122485656,0.6100449301041918,-1.0345732218893808,1.158250980768716,0.5948993128594638,0.5695913087085914
