,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.5098108181938147,0.5631850403146637,0.14948392946632694,0.06150737461357514,True,True,6,8,1.5957086884299596,1.358576408609379,0.6155114880458975,0.10750621446304029,-0.5080052735828572,0.7230177025089378,-1.1235167616287547,1.3385291905548353,0.39994883386214186,0.3453035126677153
NUAN,0.12859013518556137,0.11811618644253322,-0.04072912319650612,-0.01796075988605783,True,True,9,9,0.2583939906715967,0.2611163432249926,0.08474254946352268,-0.0011611492387237675,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.066150014147908,0.05727574065734986
CRWD,1.2806721238786987,1.275430934703658,0.05253210218326965,0.05133904577697368,True,True,8,9,2.9375453124233752,2.7729079673459354,0.9549969357044886,0.20764570216491243,-0.7473512335395762,1.162642637869401,-1.7023481692440647,2.1176395735738898,0.3951764861185012,0.3000387331937596
PD,0.8987977592087424,0.9299667505576305,0.21535422798669868,0.12651868561844903,False,False,6,5,3.0515249274097065,3.8225897098860626,1.0623822594971166,0.14442486456387163,-0.917957394933245,1.2068071240609883,-1.9803396544303615,2.2691893835581047,0.6809749203606693,0.6258862034754769
ASAN,2.1700958856851873,2.2764603844677587,0.002718641782490705,0.023535986972650802,False,False,6,8,6.847701369384186,5.860435080474012,1.4971233363269065,0.1993263469177555,-1.297796989409151,1.696449683244662,-2.7949203257360575,3.1935730195715686,0.6107069137515946,0.5483210974602956
DOCN,1.7382624191589624,1.6802779169542348,0.263200830404697,0.24567718086605017,True,True,13,13,2.7825011898936705,2.7928822853351343,1.9358975944318833,0.2981450858420932,-1.6377525085897902,2.2340426802739763,-3.573650103021673,4.169940274705859,0.4565076286681692,0.36870588856928777
S,1.3753903235874734,1.193019450681969,0.17421810626661205,0.2090420334527845,False,False,7,7,3.555169630049901,3.438368853223054,1.5670261925903706,0.23299851738111926,-1.3340276752092513,1.80002470997149,-2.901053867799622,3.3670509025618602,0.6547569324371236,0.5829908842474578
LYFT,1.3353326880343648,1.5402868457305434,0.15019130921584023,0.07117758751569248,False,False,6,5,4.358936063937988,5.545534648302677,1.2391088078597359,-0.05807240910034197,-1.2971812169600778,1.181036398759394,-2.536290024819814,2.4201452066191296,0.626410699416293,0.3603981883214763
SPLK,0.9174264630907862,0.9577060882270365,0.026873302111474873,0.02740975046729066,False,False,5,7,3.6255846769410796,2.960311170045941,0.6922658041701238,-0.051834884613403354,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.5941598178943204,0.5436790742140413
NTNX,0.5586939137170507,0.6028383130280022,0.3001899506409208,0.2322071190098547,True,True,8,10,1.231127287612902,1.2329145785593456,0.7934411774876542,0.07934469192425683,-0.7140964855633973,0.872785869411911,-1.5075376630510515,1.6662270468995652,0.6609252361786226,0.5609794413220499
