,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
XM,1.1790372494600976,1.155448432539763,0.0025854489328616115,-0.01828194804296368,False,False,5,5,4.503163763901812,4.5358309508823975,0.8111508180833037,-0.05944122238198397,-0.8705920404652877,0.7517095957013197,-1.6817428585485914,1.5628604137846234,0.6408681864400771,0.5207922553529222
BOX,0.3015661606920532,0.31206971398268046,0.23378427766873167,0.1953883282346791,True,True,13,14,0.4894857840173633,0.4923529517842549,0.5433975462177068,0.07838550682146966,-0.4650120393962371,0.6217830530391764,-1.008409585613944,1.165180599256883,0.34262805360914494,0.3191591951669579
NOW,0.39726012611215117,0.40298575159391475,0.13140109070087214,0.12837694043983217,True,True,10,10,0.6946274400210695,0.6984949836867484,0.5654594219225281,0.13354096868671841,-0.4319184532358097,0.6990003906092465,-0.9973778751583378,1.2644598125317745,0.4899283408048227,0.4804006615379295
AMZN,0.5574392594582843,0.4390031465008139,0.3087138130353684,0.38700990788625944,True,True,12,10,0.9286935770904011,0.9060421450271934,0.8805777380805632,0.019114159257582416,-0.8614635788229807,0.8996918973381456,-1.742041316903544,1.7802696354187086,0.46671168477170877,0.43126691417878793
GDDY,0.9884009381178619,0.9990519751473782,-0.05052274998241946,-0.042100690835793486,False,False,2,2,9.908673939057095,9.870855111491785,0.5504399761273536,0.05875455192808853,-0.4916854241992651,0.6091945280554422,-1.0421254003266187,1.1596345041827958,0.5924706296659827,0.5682508801680899
BIGC,1.0940786425341722,1.0623070377791892,0.0492154450341411,0.024910384053729806,False,False,5,4,3.819972217106924,4.585175095040285,1.103168306604173,0.055678066482976324,-1.0474902401211967,1.1588463730871494,-2.15065854672537,2.2620146796913225,0.6047697049250844,0.5089832747574602
AKAM,0.3897613427315389,0.4005057160859551,-0.07133165098709737,-0.05074635677749151,True,True,9,9,0.919353383267905,0.9001919816562389,0.4025253959072423,0.10841037252614723,-0.2941150233810951,0.5109357684333895,-0.6966404192883373,0.9134611643406318,0.4599199426383478,0.3869009033713049
SNOW,0.39445881856274206,0.4318530073972806,0.43732941812392057,0.2969315913663907,True,True,11,12,0.7188792612425,0.7845844258523265,0.8839017808735613,-0.07294539299772079,-0.956847173871282,0.8109563878758406,-1.8407489547448435,1.6948581687494018,0.36394106605294163,0.2989584890271375
PLTR,0.6191525353039963,0.6597374010798435,0.31250888969127355,0.2593591843063574,True,True,7,8,1.6318545082820484,1.554287939017339,1.10993307044387,0.1558222338782743,-0.9541108365655956,1.2657553043221441,-2.0640439070094656,2.375688374766014,0.11123790028588854,0.09465145378292827
ANGI,0.4365789231967291,0.41475465459822863,0.4695745387931387,0.5200297124271226,True,True,12,13,0.6710412435547563,0.6352691855182978,0.8933497926258845,-0.026457933907567156,-0.9198077265334517,0.8668918587183174,-1.8131575191593363,1.7602416513442019,0.5427565500814134,0.5239262205268835
DASH,1.5086956873131665,1.5181683827812402,-0.09982227717283898,-0.08202250006035983,False,False,5,6,6.184871654133254,5.442524219226393,1.0222256586076728,0.02796899227491756,-0.9942566663327552,1.0501946508825903,-2.0164823249404282,2.072420309490263,0.2978115903121008,0.23225913904372197
SE,0.7226952816317481,0.6730878956553793,-0.053433670893849206,0.08625873135907625,True,True,10,10,1.430763414413735,1.2833529308592546,1.2352574564613241,0.34061807234361213,-0.894639384117712,1.5758755288049362,-2.129896840579036,2.8111329852662603,0.3793811030789501,0.2907977661313823
CERN,0.3224251874138615,0.3515511287838937,-0.05475728579424244,-0.08070326825317187,True,True,5,8,1.0956118775397392,0.8171146285749659,0.32379405251725324,0.06541172318281935,-0.2583823293344339,0.3892057757000726,-0.5821763818516872,0.7129998282173258,0.15060666576099158,-0.030846932300675922
FSLY,1.034919637472686,1.0843976232096222,0.004125673038395172,0.023773472603950685,False,False,5,5,3.823605236364373,3.779166531574474,0.8750761544349898,-0.10622373343396109,-0.9812998878689508,0.7688524210010287,-1.8563760423039406,1.6439285754360184,0.47182476483621216,0.3731791359918655
DOCN,1.1878521632271632,1.1932032683844833,0.16986571894136193,0.09607878000263603,True,True,10,11,2.2990475902463006,2.247584132310888,1.6511256622035713,0.3806173490758398,-1.2705083131277315,2.031743011279411,-2.9216339753313028,3.6828686734829823,0.3517682559414229,0.24570574066160444
SPLK,0.6670977802934169,0.6868799331613116,-0.025984418513659513,-0.037725091239342756,False,False,4,3,3.264041099239752,4.157399111564645,0.6175951363658218,-0.08699588421176016,-0.7045910205775819,0.5305992521540616,-1.3221861569434037,1.1481943885198833,0.5241717171586515,0.47249236645347936
TEAM,1.199025321911238,0.8523603432714668,-0.2590255274065647,-0.07254313494836628,False,False,9,8,2.4681428921882618,2.129348336358312,1.8573239462198425,0.2080113858689875,-1.6493125603508552,2.06533533208883,-3.5066365065706977,3.9226592783086724,0.0464561709783029,-0.012684969258307754
COUP,0.6165925250276194,0.616609460589846,0.061655960930436016,0.02389393802877926,True,True,10,11,1.1567354438340405,1.1194749478897934,0.8106689549442262,0.10011884009074064,-0.7105501148534855,0.9107877950349669,-1.5212190697977117,1.721456749979193,0.39031984705516376,0.41336192089293555
ADBE,0.3107786623513929,0.33772212997415957,0.25280452848142765,0.12257582518687316,True,True,12,11,0.5394478349415658,0.604579282179669,0.5466400357473274,0.15587797775440548,-0.39076205799292196,0.7025180135017329,-0.9374020937402494,1.2491580492490604,0.5469250333332907,0.5218100351257231
RNG,1.6597336710807098,1.6471576339931469,-0.10107332045845441,-0.0930979954578326,False,False,4,3,8.83325793781097,11.121985384506127,0.9694009885182697,-0.04355428065102913,-1.012955269169299,0.9258467078672405,-1.9823562576875686,1.8952476963855103,0.31093495499214485,0.30367083504715386
CRWD,0.7483204749771688,0.7296641258702158,-0.040195581878894604,0.006463896937805136,True,True,10,11,1.4975272203476435,1.3730018211514123,0.8587338338424119,0.11696551623833806,-0.7417683176040738,0.9756993500807499,-1.6005021514464857,1.8344331839231618,0.3629037626620756,0.3611728110527823
ZS,0.4050313524999936,0.41302551759833256,0.2629613406282719,0.2512077212291217,True,True,11,11,0.6968635665536925,0.701929383609274,0.7891842918897577,0.18574789778234607,-0.6034363941074117,0.9749321896721037,-1.3926206859971693,1.7641164815618615,0.42974903066453085,0.41948601574943845
ZM,0.6847973563082179,0.7197161086925857,0.017167296702544355,-0.016582661824465994,False,False,8,9,1.7572379299914562,1.704140027837513,0.8625762141875719,-0.034890955254533534,-0.8974671694421055,0.8276852589330383,-1.7600433836296774,1.6902614731206103,0.4169462854301885,0.376336890864563
PD,0.41983808346872803,0.4369355492578582,0.4253994883719363,0.3227551907481637,True,True,12,10,0.6829868676289305,0.7895411985857951,0.8682479948479637,0.07252545743706319,-0.7957225374109005,0.9407734522850268,-1.663970532258864,1.8090214471329906,0.5898826318617338,0.5287378403457625
UBER,0.9754843655588805,1.0135146786834244,-0.027931476175743875,-0.03753300221825673,False,False,7,6,2.7791862407234746,3.08233246690355,0.791599337831889,-0.019212760838902845,-0.8108120986707918,0.7723865769929861,-1.6024114365026807,1.5639859148248751,0.5890829985099064,0.33728934393701726
ASAN,1.071628238384125,1.0317388525727718,0.21627976275910832,0.22856862095826835,True,False,8,9,2.5386473671581804,2.3607090648404148,1.2453025144045375,0.2207402218489282,-1.0245622925556093,1.4660427362534658,-2.269864806960147,2.7113452506580034,0.44056379892564324,0.41829729715751673
SPOT,1.051726633071573,0.9139716891769187,-0.14891961834293244,0.017012053015269202,False,False,10,8,2.184440174852247,2.18798771583138,1.148425195393091,-0.03615871230668196,-1.184583907699773,1.112266483086409,-2.333009103092864,2.2606916784795,0.5257702017141055,0.2844146652945646
WDAY,0.49793300730603157,0.5247487204264815,-0.07259944895938464,-0.1261088612215231,True,True,8,10,1.1147049433298304,1.0194103905468779,0.5915374111250782,0.08279579877461758,-0.5087416123504606,0.6743332098996958,-1.1002790234755389,1.2658706210247739,0.38669215273323354,0.36672608270037776
LYFT,1.1108276711230085,1.1045865500888523,-0.053129930493266864,-0.030039142356192094,False,False,3,3,6.269800183085073,6.2218679490595585,0.9524602454538771,-0.008223290914712331,-0.9606835363685894,0.9442369545391648,-1.9131437818224666,1.8966971999930418,0.4784780749055382,0.31275936463253484
CARG,0.5791878313082365,0.6293211121004547,-0.08765337195450984,-0.21938241279372583,True,True,9,9,1.1880194194734228,1.3096074275003906,0.8156771406871972,0.17194190515832236,-0.6437352355288748,0.9876190458455196,-1.459412376216072,1.8032961865327168,0.5021893428016229,0.3204104754352597
TWLO,1.0094823752184352,1.0318697646311878,0.027726423252911858,-0.055730575606366406,False,False,3,3,6.824633551885661,7.119616601447727,2.0376729399028455,-0.18299350305183992,-2.2206664429546854,1.8546794368510056,-4.258339382857531,3.892352376753851,0.27740619208658446,0.5131463717229752
ETSY,0.7209860774901251,0.7231917074538322,0.1262984875619344,0.06724156853802388,True,True,11,8,1.3975307958495449,1.6800265645735522,0.9562390010847581,-0.018172707732331785,-0.9744117088170899,0.9380662933524263,-1.930650709901848,1.8943052944371845,0.45796006957956503,0.48689869967194255
EBAY,0.4297657668311498,0.467188068898233,0.08278564138204147,0.014135834290519456,False,False,6,6,1.332466514592547,1.3577766096653496,0.7703138487375879,-0.023640268996869527,-0.7939541177344575,0.7466735797407184,-1.5642679664720454,1.5169874284783063,0.3906702499361471,0.5637958569724553
VMW,0.38415505067171113,0.3920313985153704,-0.005063884197176627,0.00908387187527826,True,True,10,8,0.7502531499575459,0.84630956153784,0.5445614717869494,0.0329023231882027,-0.5116591485987466,0.5774637949751521,-1.056220620385696,1.1220252667621013,0.45412815945953366,0.32312605246465487
MQ,2.2864562578309555,2.3240650206574958,-0.007820747646627213,-0.0074685674236461,False,False,10,11,4.652560882311908,4.465471595604556,1.3013623477497878,0.3209131345202015,-0.9804492132295863,1.6222754822699892,-2.281811560979374,2.923637830019777,0.3998714104407053,0.27455999020275557
PLAN,0.3375448453504767,0.34766087552524766,0.3846105422470848,0.3684290950659138,True,True,10,10,0.6424968737941319,0.6641730889885287,0.6265961311228623,-0.001527148865878861,-0.6281232799887412,0.6250689822569834,-1.2547194111116033,1.2516651133798458,0.543549395541362,0.5309282429418091
BMBL,1.1485170002807346,1.2460955006696053,-0.04787044397135509,-0.07738824589664861,False,False,3,3,7.403835793098877,7.471048107860433,1.0744403610086812,0.14460583645387487,-0.9298345245548063,1.2190461974625562,-2.0042748855634875,2.2934865584712374,0.5145684368635818,0.41662488410849197
ABNB,0.7471503308792626,0.7368482488169048,0.12246784182133807,0.18103662094628425,True,True,6,6,2.1532442880364417,2.0704256883187635,0.8712229364231799,0.020383793125812007,-0.850839143297368,0.8916067295489919,-1.722062079720548,1.7628296659721718,0.48497866074960194,0.3675107938392822
NTNX,0.3177637873884936,0.2999469676120975,0.4046009890077532,0.44802698692063936,True,True,12,12,0.526145937399591,0.5014948648018486,0.6940913814248907,0.04272743287827782,-0.6513639485466128,0.7368188143031685,-1.3454553299715035,1.4309101957280592,0.5974182428455441,0.5040488019303591
BILL,1.2303344939372596,1.2710858824680502,0.0028616077998486755,-0.02864884489207009,False,False,5,5,4.113000216015903,4.169664743728511,1.023045278904044,0.08853926601915357,-0.9345060128848905,1.1115845449231976,-1.9575512917889346,2.134629823827242,0.3719043939962924,0.3478785693214359
DOCU,0.4772650784904934,0.5054886976321359,0.18973479625094436,0.043104440521737564,True,True,13,11,0.8108588716597054,0.9492351428186283,0.7171851614092868,0.08123046458748036,-0.6359546968218064,0.7984156259967672,-1.3531398582310932,1.515600787406054,0.43195027718898793,0.3751264059352106
CRM,0.2514184022192112,0.24766294257811625,0.46589499767780607,0.4250260506612461,True,True,12,12,0.41828953108376304,0.43644578481365565,0.5063352732631569,0.056540212591954124,-0.44979506067120273,0.5628754858551109,-0.9561303339343596,1.0692107591182678,0.5151459511537754,0.4904893105229653
SQ,0.5715104075311712,0.5619283170518725,0.4147100402783255,0.4676470167891047,True,True,11,10,1.014023438000306,1.0240393705342665,1.0152060035148178,0.08059800108039131,-0.9346080024344265,1.095804004595209,-1.9498140059492444,2.111010008110027,0.6454185275764841,0.6056455554148714
CDAY,0.3821585808297441,0.3993615086033644,0.1532288888438913,0.09535696270290783,True,True,6,6,1.0978019712446094,1.1576366844466017,0.5780518463850868,0.1068339495632531,-0.4712178968218337,0.6848857959483399,-1.0492697432069205,1.2629376423334266,0.579816326256982,0.5354431860780506
INTU,0.2750210674334672,0.30816766398949486,0.2852732139884677,0.12000345510138177,True,True,11,10,0.5229180331861877,0.6089829976411268,0.5017439406138696,0.11079650855754959,-0.39094743205632004,0.6125404491714193,-0.8926913726701896,1.1142843897852888,0.5709409634042122,0.5212421266332712
