,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CARG,0.5745215266280826,0.5984612436236825,-0.044422872880868436,-0.1452919313949339,True,True,9,10,1.2168197131905132,1.2423879688112165,0.8051459914201236,0.15943727200208724,-0.6457087194180363,0.9645832634222108,-1.45085471083816,1.7697292548423342,0.48428495772877544,0.3219084375456258
CRM,0.30142581248074873,0.28743149817184255,0.3525789082499211,0.36382406075151585,True,True,9,10,0.6044142635934722,0.5833829712215965,0.5210274150479962,0.048282454750366716,-0.47274496029762947,0.569309869798363,-0.9937723753456257,1.090337284846359,0.49029423333218003,0.45913168504808954
PLTR,0.625004376269797,0.6875746795159929,0.2827667771081419,0.17296868904667928,True,True,8,10,1.521974696855415,1.4693905638501035,0.7778573114769333,0.0770314387440389,-0.7008258727328944,0.8548887502209721,-1.4786831842098276,1.6327460616979055,0.5516620737443008,0.4781720570410264
PLAN,0.3322634501858405,0.33939881292421964,0.41139830070502825,0.38464393004515673,True,True,12,12,0.577958896378297,0.5959726507615918,0.6248961154441738,-0.0036274608031656714,-0.6285235762473395,0.6212686546410081,-1.2534196916915132,1.246164770085182,0.5337674052564275,0.5174149490457235
AKAM,0.383271171647129,0.4055392947373245,-0.00021727563195939048,-0.021333448851245107,True,True,10,10,0.8314475407954355,0.8507495781853347,0.4034222526435037,0.11270545728940483,-0.29071679535409883,0.5161277099329085,-0.6941390479976025,0.9195499625764122,0.46431209240328863,0.3999362833316944
SQ,0.5895645926343401,0.5846435151645133,0.3796984443455762,0.43535976270886056,True,True,15,12,0.9274649522508367,0.977356434452831,1.0507029166048278,0.0660183470442783,-0.9846845695605495,1.1167212636491062,-2.0353874861653773,2.167424180253934,0.591083574376361,0.5624541892764818
PD,0.42623114094217623,0.44500905226157933,0.32590542480900686,0.25564281013353907,True,True,12,11,0.7455451837779895,0.786794876560067,0.8519779006720787,0.06976892927602225,-0.7822089713960564,0.921746829948101,-1.6341868720681352,1.7737247306201795,0.5747041150861828,0.5145025808421786
U,1.0657545743563777,1.0916562368119291,0.19716504823497938,0.20354772421741207,False,False,10,10,2.5316032746673844,2.5365859514018774,1.1187007067282455,-0.10210571236869394,-1.2208064190969394,1.0165949943595516,-2.339507125825185,2.135295701087797,0.47677535405704874,0.4336307645436175
COUP,0.5941423155071363,0.5985089304316925,0.020497486116899166,0.014561893605086196,True,True,12,11,1.0966134167887873,1.1411480577283646,0.7499245523354071,0.14496184914936008,-0.6049627031860471,0.8948864014847672,-1.3548872555214542,1.6448109538201743,0.4215459079858149,0.39839860468814836
INTU,0.7576972411642622,0.7696282318335514,-0.02895493232928481,-0.016956179528638593,False,False,2,3,7.4203118604107,5.236505603674532,0.47624759544249673,0.12594709234288953,-0.3503005030996072,0.6021946877853863,-0.8265480985421039,1.078442283227883,0.5705736831664192,0.4849175088787938
