,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
WDAY,0.5596313960918187,0.5631850403146637,0.0880597928099921,0.06150737461357514,True,True,8,8,1.3392189764706137,1.3585764086093788,0.6155114880458976,0.10750621446304029,-0.5080052735828573,0.7230177025089379,-1.123516761628755,1.3385291905548355,0.39867606242511233,0.3453035126677154
NUAN,0.1255498572578316,0.1181161864425334,-0.0282776016030879,-0.01796075988605894,True,True,9,9,0.25567278114343023,0.26111634322499416,0.08474254946352268,-0.0011611492387237682,-0.08590369870224644,0.08358140022479892,-0.17064624816576912,0.1683239496883216,0.11725316731187185,0.057275740657350305
CRWD,1.2891697341030925,1.275430934703658,0.009529082413974654,0.05133904577697368,True,True,10,9,2.690559528953026,2.7729079673459354,0.9549969357044887,0.2076457021649124,-0.7473512335395763,1.1626426378694013,-1.7023481692440652,2.1176395735738898,0.37940434042879767,0.30003873319375973
PD,0.8904034909042189,0.9299667505576305,0.13015916614194112,0.12651868561844914,False,False,5,5,3.8346805788837486,3.8225897098860626,1.0623822594971164,0.14442486456387166,-0.9179573949332447,1.2068071240609881,-1.980339654430361,2.2691893835581043,0.654876365533783,0.6258862034754767
ASAN,2.3305618947873508,2.2764603844677582,0.02027140665618765,0.023535986972650802,False,False,7,8,6.38990014268317,5.860435080474012,1.4971233363269063,0.19932634691775544,-1.2977969894091508,1.6964496832446618,-2.794920325736057,3.193573019571568,0.5215343111115984,0.5483210974602957
DOCN,1.8293194388984304,1.6802779169542348,0.1778137491386249,0.24567718086605028,True,True,13,13,2.8664411357391253,2.7928822853351343,1.9358975944318833,0.2981450858420932,-1.6377525085897902,2.2340426802739763,-3.573650103021673,4.169940274705859,0.41735280566403143,0.3687058885692872
S,1.3682497352812715,1.193019450681969,0.16379578673697237,0.2090420334527845,False,False,8,7,3.3510257507276036,3.438368853223054,1.6154228383392508,0.1886427231861883,-1.4267801151530626,1.804065561525439,-3.042202953492313,3.41948839986469,0.6197317193103125,0.5829908842474578
LYFT,1.335998764233919,1.5402868457305434,0.14917498631658166,0.07117758751569248,False,False,5,5,4.949206947399638,5.545534648302677,1.2391088078597359,-0.05807240910034196,-1.2971812169600778,1.181036398759394,-2.536290024819814,2.4201452066191296,0.5797000771491271,0.3603981883214763
SPLK,0.9385891453983255,0.9577060882270365,0.04615873315657648,0.02740975046729055,False,False,8,7,2.6612959883345364,2.960311170045941,0.6922658041701238,-0.05183488461340336,-0.7441006887835272,0.6404309195567205,-1.436366492953651,1.3326967237268443,0.5893472501948297,0.5436790742140405
NTNX,0.577394661015858,0.6028383130280022,0.27323822606573633,0.2322071190098548,True,True,8,10,1.3408394983772711,1.2329145785593454,0.7934411774876541,0.07934469192425683,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.61656093503175,0.5609794413220497
NET,1.3132892636744908,1.307546216710518,0.24902125936219366,0.10487988602564124,True,False,8,9,2.893730702947703,3.017699641027221,1.3064808479725,0.03747157783239206,-1.2690092701401081,1.343952425804892,-2.575490118112608,2.6504332737773924,0.4487124748712502,0.360400241280844
PANW,0.6856808833112451,0.6834893317032525,0.15747961790813847,0.16065278915844472,True,True,10,9,1.3916246560333045,1.4914119767467575,0.6290840109315294,0.11882000393913082,-0.5102640069923986,0.7479040148706603,-1.1393480179239281,1.3769880258021896,0.4499806031449426,0.39356876745680036
CDAY,0.4376201822872804,0.4632234958746713,0.32586542950710684,0.2640905860717193,True,True,8,9,1.1298201747944177,1.1351939625620473,0.615257930960069,0.09854585308957024,-0.5167120778704988,0.7138037840496392,-1.1319700088305678,1.3290617150097082,0.6530669036082695,0.6045448948146422
EBAY,0.378007245019165,0.3177313767568493,0.09303083184685501,0.31804097929432185,True,True,11,10,0.7043488981305148,0.6405883558676838,0.774789062998517,0.003855107013542093,-0.7709339559849749,0.7786441700120591,-1.5457230189834918,1.5534332330105762,0.7143826163201223,0.4651109207377311
BOX,0.7119710581987638,0.7789805550593684,0.05677915000787348,0.011669652982375434,False,False,3,3,4.600740663978893,4.802781304126512,1.4416700825498965,0.2356976398080903,-1.2059724427418061,1.6773677223579868,-2.647642525291703,3.119037804907883,0.24982297229483508,0.37123130241956714
U,1.3949216984957162,1.4126274726190513,0.21115580964633274,0.22146114928128147,False,False,11,10,2.791317699060332,2.9739651930216935,1.238264494016418,0.013655817893115672,-1.2246086761233024,1.2519203119095337,-2.46287317013972,2.490184805925952,0.5386459244856053,0.48749195052358607
NOW,0.5663787119208123,0.5276053691187282,0.2605076694192745,0.37333254497880286,True,True,10,10,0.9678691867535333,0.9265146776957287,0.6408696673827183,0.13680099037362775,-0.5040686770090905,0.7776706577563461,-1.1449383443918089,1.4185403251390645,0.5499318349487416,0.5032767310277144
PLAN,1.226658370434844,1.232183081321362,0.030222280281902436,0.025729900141124196,False,False,2,2,11.802107926111763,11.76387031563708,0.7150793529416155,0.014505328085490553,-0.700574024856125,0.729584681027106,-1.4156533777977405,1.4446640339687216,0.5550551325470081,0.5240556429243666
ETSY,1.126714366772607,1.1009092928747497,0.015245052202818354,0.06373151156496604,True,True,9,9,2.4693653723194644,2.4260011095199223,1.117003031664972,0.12305397325176624,-0.9939490584132057,1.240057004916738,-2.1109520900781775,2.3570600365817103,0.4785981727819161,0.41327534892103146
DBX,0.4433637758198784,0.424768843579123,0.3840833084225538,0.37198895426688106,True,True,12,11,0.758848120197757,0.7958294891290199,0.648092340601161,0.010772179094350243,-0.6373201615068108,0.6588645196955113,-1.2854125021079719,1.3069568602966724,0.5219304484955473,0.479887496193683
DOCS,1.8469556492989951,1.681567600943406,-0.02572493101460349,0.033546187775753133,False,False,10,8,3.868351809785069,3.954769737606848,1.4644158755717451,0.12177688755250694,-1.3426389880192382,1.586192763124252,-2.807054863590983,3.0506086386959974,0.39023701664973554,0.33186892236987175
DASH,1.8333239850747531,1.7638275174153655,-0.1233658830269504,-0.05407747895841908,False,False,8,7,4.637730604463856,4.50246785110167,1.1344408335613563,0.08992842680375134,-1.044512406757605,1.2243692603651075,-2.178953240318961,2.358810093926464,0.2171847590545921,0.17754732735586232
RNG,2.2440524497726537,2.224423978500383,-0.04457310167449302,-0.040217580192935865,False,False,5,5,9.204797096954707,9.128090646829687,1.2178302093459474,-0.11949237168039989,-1.3373225810263474,1.0983378376655475,-2.555152790372295,2.316168047011495,0.14993012300966024,0.26652438225613173
