,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ABNB,0.9919760655453548,1.0125887954922346,0.24659692757728768,0.12429927372564997,False,False,7,6,2.9328335901612497,3.3830130036812935,1.1360575673651876,-0.09721534849853838,-1.233272915863726,1.0388422188666493,-2.3693304832289135,2.174899786231837,0.6069748265107324,0.37809251947468425
BILL,1.146361288927856,1.1899638362467153,0.048910475490552274,0.014191313209792056,False,False,6,3,3.5693686228349417,5.9867895221587615,1.0276702092384171,0.0723865989438889,-0.9552836102945282,1.1000568081823061,-1.9829538195329452,2.1277270174207232,0.4184203077612254,0.3773702588435912
RNG,1.8750558250188205,1.8068167193876266,-0.14721590351826763,-0.1153448213208037,False,False,5,4,8.134026866113745,9.369364430727883,3.058037261224647,0.25605351359739564,-2.801983747627251,3.3140907748220427,-5.8600210088518985,6.372128036046689,0.15498138661033833,0.2913646065368741
DASH,1.676172406794004,1.686049574363237,-0.16943272813836097,-0.052870315467415496,False,False,7,8,5.323057357270309,4.626602050384999,2.0165700083014015,0.23112300008521663,-1.7854470082161848,2.247693008386618,-3.8020170165175866,4.2642630166880195,0.10595427984200156,0.20094579709212146
EBAY,0.5047941113625878,0.45045763037709935,-0.22400125685373928,-0.07941117164991907,False,False,6,6,1.6639148009793203,1.3843941378752722,0.583193811188237,0.022687687127575948,-0.560506124060661,0.605881498315813,-1.1436999352488981,1.1890753095040498,0.5189813219650595,0.5270558831415432
CHWY,0.6463432290620234,0.6101772001204683,-0.1413299005141191,-0.03019493163913789,True,True,9,10,1.4040452552441864,1.224563482898051,0.7534205318811809,-0.021428817455893992,-0.7748493493370748,0.7319917144252869,-1.5282698812182558,1.4854122463064676,0.43304691632619574,0.28930841641950633
BIGC,1.1783548765042853,1.1061982356055797,0.09121407562865413,0.07226120451770734,False,False,5,5,4.200094674365141,4.190463012364027,1.1548930817782335,-0.03960283076449475,-1.1944959125427281,1.1152902510137388,-2.349388994320962,2.270183332791972,0.5534552486895582,0.4407405047216968
SNOW,0.5657838676081424,0.5797443782208355,0.24107710655129333,0.22990473532691547,True,True,9,11,1.3498364752089478,1.1550401542251036,0.9523163064581598,-0.12186996852066945,-1.0741862749788291,0.8304463379374903,-2.026502581436989,1.7827626443956501,0.385427440146051,0.2973075790963986
CERN,0.3667164199186605,0.34589735575523406,-0.1362193241906411,-0.09660967893701655,True,True,10,8,0.8064270536468638,0.8317381142902598,0.3180325493809988,0.07233989972284918,-0.2456926496581496,0.39037244910384794,-0.5637251990391484,0.7084049984848467,0.08088994822397977,-0.040190249053420724
ZS,0.5144247086035733,0.5188865972328733,0.15241479060034324,0.25208793551218156,True,True,11,12,1.0499279631617586,0.9117174457417616,0.8128931571349828,0.21495081246713044,-0.5979423446678523,1.027843969602113,-1.4108355018028351,1.840737126737096,0.48085427853576745,0.3868272865137564
