,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BOX,0.6964836890392645,0.8004647956652337,0.11009561772509269,0.013727452597179335,False,False,2,3,6.434158187381383,4.805487766273036,1.4657816874939567,0.2345879174038233,-1.2311937700901334,1.7003696048977799,-2.69697545758409,3.1661512923917368,0.28891054370281344,0.3684143206972875
TWLO,0.8933780876533896,0.6792571298749708,-0.40369756844376115,0.09736850555329135,True,True,9,9,1.902280989351406,1.6064242999713434,1.022123681511545,0.021122499147236753,-1.0010011823643084,1.0432461806587818,-2.023124863875853,2.065369862170327,0.4049421043555923,0.3827286325116902
TEAM,0.9610702207015658,0.911169369624557,-0.03524580901118135,-0.02180467023018484,False,False,7,7,2.6038785594396208,2.559979721803105,0.9007961861264182,0.05088173460418372,-0.8499144515222344,0.951677920730602,-1.7507106376486528,1.85247410685702,0.4948649337696165,0.4221483763806634
PLTR,0.9146860623653024,0.8400061589748462,0.18587323258880906,0.19695476443069404,True,True,10,9,1.7706916394902925,1.904997690146192,0.9280862973684343,0.01217610603942151,-0.9159101913290127,0.9402624034078558,-1.8439964886974471,1.86834870077629,0.5687009635228835,0.49696234780386006
ANGI,0.7564728213148755,0.6705437331679941,0.2854486112314957,0.3671663261702548,True,True,12,11,1.2162672875895484,1.1471769177258067,1.067017041265881,-0.09074449992763883,-1.1577615411935198,0.9762725413382423,-2.224778582459401,2.0432895826041233,0.4098338503604113,0.4950823947369394
CARG,0.8889767861371459,0.7338268582697357,-0.11678921714711366,0.11653203895433695,True,True,8,8,1.9639664363436786,1.6577436265301615,0.9059096572170264,0.16711515429458926,-0.7387945029224372,1.0730248115116157,-1.6447041601394636,1.978934468728642,0.48368304727008427,0.42160343070077144
COUP,0.5314433529910073,0.5542878972738168,-0.02260595290509393,-0.07419934529704197,True,True,9,9,1.034923938484637,1.0965151884520399,0.7961538297646712,0.09626342751866526,-0.699890402246006,0.8924172572833364,-1.496044232010677,1.6885710870480077,0.27578485048887247,0.23323994756942268
CERN,0.4433020493623974,0.4374514165205421,-0.26754367230234966,-0.21863185403496765,True,True,8,11,0.9620573297738292,0.8218180917824701,0.2822901535931106,0.1004294424289789,-0.18186071116413172,0.3827195960220895,-0.4641508647572423,0.6650097496152001,0.07480741331031127,0.0318409324086153
NTNX,0.6513012840962839,0.5971704792900613,0.1969569008993799,0.2401453003523326,True,True,8,9,1.4174542240508314,1.2938348926732404,0.7963961002115287,0.07032619364444002,-0.7260699065670887,0.8667222938559688,-1.5224660067786175,1.6631183940674974,0.6306567426712117,0.5983208492187775
PANW,0.6800863949142193,0.6928487840406768,0.2804630292980914,0.15665784824438667,True,True,11,9,1.2352287851756363,1.4861480526986948,0.6378135306756542,0.12743834929029232,-0.5103751813853619,0.7652518799659465,-1.148188712061016,1.4030654106416007,0.45625094870977523,0.4120853195144637
SPOT,0.8171142660341864,0.79121208496306,0.1835646553110345,0.2000695872056386,True,True,14,11,1.3742102157327658,1.4941186083687235,0.96522919294672,0.048310815932489364,-0.9169183770142307,1.0135400088792095,-1.8821475699609507,1.9787692018259295,0.3172679951020486,0.27126670945969256
