,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NUAN,0.10083213848525159,0.09096123499575332,-0.06794438801000302,0.02028582901739151,True,True,10,9,0.18218151147642556,0.1834706045498942,0.08321384357627554,-0.00016881606757966272,-0.0833826596438552,0.08304502750869587,-0.16659650322013073,0.16625887108497142,0.15183085556917875,0.13098834365334366
ZS,0.7611098690931577,0.7988993044376128,0.284165287858946,0.15274880739514618,False,False,8,7,1.7249830121800032,1.9377772789411094,1.066191705956691,0.2732438539554865,-0.7929478520012045,1.3394355599121774,-1.8591395579578955,2.4056272658688687,0.4289354775077653,0.37620396836265635
SNOW,1.2057135814289255,1.2077732912638377,-0.037401543145527016,-0.010431324352452531,False,False,4,4,4.82989657012252,4.974712789368265,1.0067773141913432,-0.0957246916110287,-1.1025020058023718,0.9110526225803145,-2.109279319993715,1.9178299367716578,0.40055480037268454,0.2904321565838699
FSLY,1.3938961076559535,1.3804339593998938,-0.023663055284415258,0.027768016510128612,False,False,7,6,3.940691490867061,4.224123499292246,1.152544574122389,-0.05392777693369814,-1.206472351056087,1.0986167971886909,-2.359016925178476,2.25116137131108,0.3838544731334482,0.33784718523954504
ABNB,1.1846785630301646,1.2312881816609784,0.26120104577291825,0.09805293726829034,True,False,8,7,2.752937643984944,3.2657039524626557,1.2029922304317366,-0.18573310100506477,-1.3887253314368013,1.017259129426672,-2.591717561868538,2.2202513598584086,0.6083690016407782,0.43497333195378574
WDAY,0.9794148032960059,0.61769103486717,-0.8201797114913219,-0.011620193160427617,True,True,9,6,2.0039008668642566,1.6869474055200675,0.9927136143047421,0.16471511426393168,-0.8279985000408104,1.1574287285686737,-1.8207121143455527,2.150142342873416,0.530809534505345,0.36115203722243316
NET,1.1372194691814703,1.0115995981132675,0.06111372464720588,0.059968591805243165,True,False,11,9,2.0087813958315137,2.1365181691712443,1.1406357283061346,-0.0771530726385325,-1.2177888009446671,1.063482655667602,-2.3584245292508017,2.2041183839737366,0.29863392667949573,0.2653625453188593
GDDY,1.0872255389993406,1.0996316953482475,0.004741895264219531,-0.00931414616882642,False,False,2,2,10.00949656981098,9.979272774349743,2.0849882367023174,0.22685121328075028,-1.858137023421567,2.3118394499830677,-3.9431252601238844,4.396827686685385,0.15671257568016073,0.4589927970456188
BIGC,1.1820276387025592,1.161255729992287,0.08612009673638732,0.048427384514671545,False,False,6,6,3.6561226232206345,3.6945900700496535,1.1301882606375389,-0.021739336101783503,-1.1519275967393223,1.1084489245357554,-2.282115857376861,2.2386371851732942,0.49749098829173455,0.4337298504738035
SQ,0.745581895900203,0.6810067403498358,0.4208051671244588,0.4944303863786208,True,True,10,9,1.3329167730720202,1.3251856203199486,1.091365377780691,-0.0018075662527762934,-1.0931729440334674,1.0895578115279148,-2.1845383218141583,2.180923189308606,0.5781410043848718,0.5594951586867654
XM,0.9053845140522453,0.8869199768961789,0.05013330651925407,0.03023507173998341,False,False,5,5,3.3739814965374597,3.319835411887099,0.7635643259420603,0.002860743563748719,-0.7607035823783115,0.766425069505809,-1.5242679083203718,1.5299893954478692,0.6316469221344094,0.5239710129725825
FTCH,2.3602457720779495,2.228833944398974,0.03163979839951292,0.007181743705536592,False,False,3,3,13.51258075217089,13.902648926685112,1.168247915794044,-0.07048627745771016,-1.2387341932517542,1.0977616383363338,-2.406982109045798,2.266009554130378,0.47329231533287963,0.42606106875636274
LYFT,1.3609425558416117,1.6045588954226402,0.1267029666317352,0.03682586874939309,False,False,6,6,4.433193144992798,5.056241320048836,1.2279332397471323,-0.1072221425871265,-1.3351553823342588,1.1207110971600058,-2.5630886220813913,2.348644336907138,0.614006985232785,0.31187298377628414
U,1.2453826273041604,1.2737032031320747,0.2028981142652937,0.19820723986306887,False,False,11,10,2.4050275426563132,2.603784196090686,1.1116935247416135,-0.08047917902361172,-1.1921727037652252,1.0312143457180019,-2.303866228506839,2.142907870459615,0.43723845597258804,0.4524900653140438
NOW,0.4207185875143787,0.44365400977877373,0.43471223591508934,0.3678714083161776,True,True,15,10,0.5857513469165182,0.7076474964976682,0.5734055860689838,0.11085635896998226,-0.4625492270990016,0.6842619450389661,-1.0359548131679854,1.25766753110795,0.4620562545496808,0.4230729366938406
MQ,1.959513548790873,2.037023386383829,0.09556921969096255,0.0867001465198034,False,False,9,8,4.548298628755024,4.768938546978621,1.7292558797299833,0.3700207031841674,-1.359235176545816,2.099276582914151,-3.088491056275799,3.828532462644134,0.2805574399231624,0.18977181484833772
TEAM,0.784178450567294,0.806999182487462,-0.08170746187757327,-0.08949314534250208,False,False,7,6,2.1668924632622786,2.3834328163261165,0.7737957211269402,0.006189787999778436,-0.7676059331271617,0.7799855091267186,-1.5414016542541018,1.5537812302536589,0.43135897047995087,0.3350621836442994
CHWY,0.870146113128431,0.7844936318594716,-0.2939920966007161,-0.04655426390500694,True,True,9,7,1.772161063740943,1.8492915926055054,0.7532172484506322,-0.02907511544147525,-0.7822923638921074,0.724142133009157,-1.5355096123427396,1.4773593814597892,0.21994715677489585,0.191341961550904
RNG,1.9203088694318293,1.8959556453237394,-0.07724269853072196,-0.07433292467167307,False,False,3,3,11.824113365058992,11.680521620874922,0.7784045890396327,-0.04180775671299287,-0.8202123457526256,0.7365968323266399,-1.5986169347922583,1.5150014213662726,0.21258760764705775,0.181246385754672
