,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BOX,0.7268835839145104,0.8004647956652337,0.06196655361069936,0.013727452597179335,False,False,4,3,3.645451878651522,4.805487766273036,1.4657816874939567,0.23458791740382323,-1.2311937700901334,1.7003696048977799,-2.69697545758409,3.1661512923917368,0.27013716349979755,0.36841432069728763
TWLO,0.827798974124614,0.6792571298749708,-0.2183680272917845,0.09736850555329135,True,True,10,9,1.7196908766972583,1.6064242999713434,1.0221236815115449,0.021122499147236788,-1.0010011823643081,1.0432461806587816,-2.0231248638758528,2.0653698621703267,0.3979150183340928,0.38272863251168976
TEAM,0.8864528428034703,0.9111693696245569,-0.03392015708888563,-0.02180467023018484,False,False,7,7,2.350185292196809,2.559979721803105,0.9007961861264182,0.05088173460418372,-0.8499144515222344,0.951677920730602,-1.7507106376486528,1.85247410685702,0.4909287606896787,0.42214837638066327
PLTR,0.8500101200644222,0.8400061589748462,0.22986091996186908,0.19695476443069415,True,True,9,9,1.8575013125497013,1.9049976901461916,0.9280862973684343,0.01217610603942149,-0.9159101913290127,0.9402624034078558,-1.8439964886974471,1.86834870077629,0.5653075090994599,0.49696234780386017
UBER,1.3460313658977656,1.5021856439606087,0.2594563609998298,0.0963614853267507,False,False,8,8,3.3028945425811655,3.7145126345808595,1.247214349480708,6.807584361861243e-05,-1.2471462736370893,1.2472824253243266,-2.4943606231177973,2.4944967748050346,0.5379806738047768,0.23754020891035532
ANGI,0.6838678996528332,0.6705437331679939,0.39121902808398257,0.3671663261702547,True,True,11,11,1.1344578759766337,1.1471769177258067,0.987036850982848,-0.0466196571370397,-1.0336565081198876,0.9404171938458082,-2.0206933591027356,1.9274540448286563,0.5079834833481652,0.4950823947369394
CARG,0.9138876497239578,0.7338268582697358,-0.11293635696909221,0.11653203895433695,True,True,9,8,1.8287502371990527,1.657743626530162,0.9059096572170264,0.16711515429458929,-0.7387945029224372,1.0730248115116157,-1.6447041601394636,1.978934468728642,0.4884332663714053,0.42160343070077155
COUP,0.5248882508231943,0.5542878972738168,-0.020981054391872034,-0.07419934529704175,True,True,10,9,1.0026244625485634,1.09651518845204,0.7961538297646713,0.09626342751866526,-0.6998904022460061,0.8924172572833365,-1.4960442320106773,1.688571087048008,0.3124992442401947,0.23323994756942323
CERN,0.44681805157835214,0.4374514165205421,-0.2570670207302499,-0.21863185403496765,True,True,8,11,0.9585333580257875,0.8218180917824701,0.2822901535931106,0.10042944242897893,-0.18186071116413166,0.38271959602208955,-0.46415086475724227,0.6650097496152001,0.06778430576012329,0.03184093240861563
NTNX,0.5987313085771178,0.5971704792900613,0.24015636092589043,0.24014530035233272,True,True,8,9,1.3645642216254064,1.2938348926732404,0.7963961002115287,0.07032619364444004,-0.7260699065670887,0.8667222938559688,-1.5224660067786173,1.6631183940674976,0.6344100154449627,0.5983208492187773
PANW,0.6753493178016888,0.6928487840406768,0.26314898907562345,0.15665784824438667,True,True,11,9,1.2336483457699519,1.4861480526986948,0.7209523384589838,0.16444119778736296,-0.5565111406716208,0.8853935362463468,-1.2774634791306045,1.6063458747053305,0.4056652375601736,0.4120853195144639
SPOT,0.8214538014572014,0.79121208496306,0.17956467988516422,0.2000695872056386,True,True,13,11,1.4279399166835323,1.4941186083687235,0.9652291929467202,0.048310815932489364,-0.9169183770142308,1.0135400088792095,-1.882147569960951,1.9787692018259297,0.3156233980038936,0.2712667094596928
U,1.4056626757555943,1.4291340872693326,0.21188454126175627,0.23024697156413976,False,False,11,10,2.761813180402738,2.9398957978581626,1.2474823147073184,0.009501013958250148,-1.2379813007490683,1.2569833286655685,-2.4854636154563865,2.504465643372887,0.5358805828662931,0.5203693174205704
