,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
ABNB,1.147551499889061,1.0125887954922375,0.10235688955481004,0.12429927372564398,False,False,9,6,2.726773479608182,3.3830130036813117,1.2580977796172272,-0.06587282289903232,-1.3239706025162596,1.1922249567181948,-2.5820683821334867,2.4503227363354223,0.5324700263992679,0.37809251947468425
BILL,1.2719926178356364,1.1899638362467153,-0.07156243527502926,0.014191313209792056,False,False,5,3,4.716251218280015,5.9867895221587615,1.8429892841117792,0.22808603670567135,-1.6149032474061078,2.0710753208174504,-3.4578925315178872,3.9140646049292296,0.30094361405725634,0.3773702588435913
RNG,1.843532616618016,1.8068167193876101,-0.12476510079073777,-0.11534482132079726,False,False,4,4,9.568361599592139,9.36936443072786,1.0118681100004678,-0.03714041970873569,-1.0490085297092036,0.9747276902917321,-2.0608766397096714,1.9865958002922,0.3022621767324867,0.29136460653687446
DASH,1.9268163076896017,1.686049574363237,-0.17070953832520308,-0.052870315467415496,False,False,9,8,4.83313788670611,4.626602050384999,1.1802741978539222,0.001272629843272728,-1.1790015680106494,1.181546827697195,-2.3592757658645716,2.361821025551117,0.2445788268893122,0.20094579709212124
EBAY,0.5446567096754411,0.45045763037709935,-0.26430784319722633,-0.07941117164991907,False,False,6,6,1.654714150650878,1.3843941378752722,0.583193811188237,0.02268768712757595,-0.560506124060661,0.605881498315813,-1.1436999352488981,1.1890753095040498,0.5257636543680894,0.5270558831415431
CHWY,0.7289501472544732,0.6101772001204683,-0.3226443994878434,-0.03019493163913789,True,True,10,10,1.4605895738674588,1.224563482898051,0.7534205318811807,-0.021428817455893985,-0.7748493493370747,0.7319917144252868,-1.5282698812182556,1.4854122463064674,0.3116268188168093,0.28930841641950644
BIGC,1.4407957794350283,1.1061982356055797,-0.13949540809676964,0.07226120451770734,False,False,7,5,4.224368745102244,4.190463012364027,1.9087098283460264,0.1143632888672931,-1.7943465394787332,2.0230731172133196,-3.7030563678247597,3.931782945559346,0.35457181430810025,0.44074050472169657
SNOW,0.641082744251438,0.5797443782208356,0.10897895609606456,0.22990473532691547,True,True,10,11,1.3105257657384304,1.1550401542251036,0.9523163064581596,-0.12186996852066942,-1.074186274978829,0.8304463379374901,-2.0265025814369886,1.7827626443956497,0.36166158940630766,0.29730757909639827
CERN,0.3621398709260385,0.34589735575523406,-0.1346365813157373,-0.09660967893701655,True,True,9,8,0.8406409368676983,0.8317381142902598,0.31803254938099884,0.07233989972284917,-0.2456926496581497,0.390372449103848,-0.5637251990391485,0.7084049984848468,0.11051908188029413,-0.0401902490534205
ZS,0.6341113440364968,0.5188865972328733,-0.09101521828458892,0.252087935512181,True,True,12,12,1.0901492668578858,0.911717445741762,0.8128931571349828,0.2149508124671305,-0.5979423446678522,1.0278439696021133,-1.4108355018028351,1.840737126737096,0.4059810095067522,0.38682728651375653
PANW,0.6014632433934566,0.5852919150919503,0.11387572179418526,0.08477840606385012,True,True,9,9,1.2669610096374178,1.2547344399205835,0.6300035388192042,0.10717021729495883,-0.5228333215242454,0.737173756114163,-1.1528368603434496,1.3671772949333674,0.341583857721217,0.3125179703580192
U,1.5429873610729474,1.083705342368191,-0.31513220790697183,0.20912465892947785,False,False,10,10,3.358503783402459,2.5342170030152853,1.2099931428813635,-0.1676293567019029,-1.3776224995832664,1.0423637861794606,-2.58761564246463,2.252356929060824,0.3940754899694844,0.4913278206308118
ASAN,1.2380887873492523,1.2284100286552757,0.25588938548660645,0.2321868019957144,True,True,10,11,2.5630023071793673,2.497700161335256,1.3793700767456392,0.18043518265180583,-1.1989348940938334,1.559805259397445,-2.5783049708394725,2.939175336143084,0.5308643299445186,0.43227955754013925
AKAM,0.39528696075333636,0.3977934675396348,-0.23248528878548624,-0.058907964611585095,True,True,9,10,0.945947652166656,0.8285251955197213,0.43301068542204313,0.12875061188328116,-0.30426007353876194,0.5617612973053243,-0.7372707589608051,0.9947719827273674,0.3654694521804638,0.3774838146709045
CARG,0.5493393640908882,0.5747313667129275,-0.011180644625953917,-0.04515946606801369,True,True,10,9,1.1725141707702886,1.2978434451446528,0.8221382993017131,0.13275225258906131,-0.6893860467126518,0.9548905518907744,-1.5115243460143648,1.7770288511924877,0.5105362096327672,0.3465324703544872
DOCU,0.8546657658418618,0.7748502233366795,-0.19549498301449653,-0.11727311411124863,False,False,8,8,2.0579741554125475,2.012534904465234,0.9318421123990974,0.15852881642980113,-0.7733132959692963,1.0903709288288985,-1.7051554083683937,2.022213041227996,0.3793755567263135,0.3635340304724616
DBX,0.5239137871524767,0.3609012781183187,-0.4626891376917093,0.31341705423093635,True,True,13,11,0.9722800796555048,0.7300225302244829,0.6381203372697095,-0.0052640089908706205,-0.6433843462605802,0.6328563282788389,-1.2815046835302897,1.2709766655485484,0.5450517461067229,0.5029329892114958
UBER,1.201113542711176,1.2131693422157,0.14816543356724943,0.07537917126205063,False,False,6,5,3.7527082812479438,4.5777607130258176,1.378509785031323,0.059120445606721264,-1.3193893394246017,1.4376302306380444,-2.6978991244559247,2.8161400156693674,0.45387262890088353,0.33821440813867865
BMBL,1.5787645213327333,1.3031308167005564,-0.1826981029901691,-0.1044800198003002,False,False,7,5,4.7876592641096405,5.367207033190854,1.0576285574465292,0.08798955494210063,-0.9696390025044286,1.1456181123886298,-2.0272675599509578,2.203246669835159,0.5534107565731117,0.3759916932269429
ANGI,0.6596227934096958,0.5251821154676516,0.0899801418637689,0.313471872017248,True,True,9,12,1.293709653276514,0.9088501111019518,0.9453394179992091,-0.055196434103090754,-1.0005358521022998,0.8901429838961183,-1.945875270101509,1.8354824018953273,0.5575258454922805,0.4995793798406931
SQ,0.7753596815609547,0.5957222609925997,-0.08906026618522556,0.4360066365425097,True,True,12,11,1.4231013285940766,1.0452813147489557,1.075606766407538,0.027013239557758296,-1.0485935268497797,1.1026200059652962,-2.1242002932573176,2.178226772372834,0.6190856517675288,0.5802064568592569
SE,0.8367438844226642,0.6824293476933785,-0.08474970397623283,0.2260181474782016,True,True,13,13,1.4930683578084538,1.2120176726333902,1.22813482112025,0.29347676532941736,-0.9346580557908327,1.5216115864496675,-2.162792876911083,2.7497464075699174,0.34842144322687474,0.3028248732624662
TWLO,1.227778761897315,1.051634231787049,-0.15175194417871807,-0.08370279576030493,False,False,5,5,5.479326135746921,4.781849287729005,0.976372239189085,-0.013806445716282851,-0.9901786849053679,0.9625657934728021,-1.9665509240944528,1.9389380326618872,0.5029783386802151,0.47564061939209845
CDAY,0.5000077620933292,0.41728840663033007,0.015546956947917301,0.10128359990406333,True,True,10,8,1.105124577721107,1.08570471816912,0.5963641459948458,0.0711045993465286,-0.5252595466483172,0.6674687453413743,-1.1216236926431629,1.2638328913362202,0.5904068917528242,0.5528821231867631
FSLY,1.2201385547247938,1.083805357508136,-0.10008480491291083,0.013317898663502192,False,False,7,6,3.5042581223517124,3.332127610630916,1.1434124763759483,-0.1986676669425273,-1.3420801433184757,0.944744809433421,-2.485492619694424,2.0881572858093693,0.246923503627142,0.37075793516756983
MQ,2.2376084114117503,2.2174948138924084,0.051826150976364116,0.05805103846593962,False,False,11,11,4.420235844299495,4.453894875263803,1.4544011901569942,0.115396070526046,-1.3390051196309483,1.5697972606830402,-2.7934063097879425,3.0241984508400344,0.35376653277610093,0.2616786033797889
COUP,0.8980346733453509,0.6243385459863566,-0.8431474587919285,0.08481816328195813,True,True,9,12,1.9083844862307506,1.1308147489870408,0.7464082035194023,0.1418022413265413,-0.604605962192861,0.8882104448459436,-1.3510141657122632,1.634618648365346,0.45709293199372814,0.3947863006824005
TEAM,1.505400456633228,0.7951759054430005,-1.0955127766831865,-0.013751068469214145,False,False,8,7,3.8480617588522747,2.248485171661718,1.8135958682306597,0.1568694375634786,-1.656726430667181,1.9704653057941384,-3.4703222988978406,3.784061174024798,0.06438140953095328,-0.007256296948706664
VMW,0.5395889483063672,0.575459795346594,-0.05134122152908249,-0.04690469057158064,True,True,10,8,1.1619145640356188,1.3447287178438927,0.5760719823758205,0.023539365795288866,-0.5525326165805317,0.5996113481711093,-1.128604598956352,1.1756833305469299,0.4672038301318482,0.33627627645615743
NET,1.312047901324229,1.045441757898566,-0.25698053834054213,0.08722159060349688,False,False,12,10,2.3843498884941936,2.1101949273268277,1.3199478937750344,-0.017899615588999013,-1.3378475093640334,1.3020482781860354,-2.657795403139068,2.6219961719610696,0.3106484994906078,0.29135526037442727
ADBE,0.45232647528560693,0.4196823807439643,0.11927901701796628,0.22826408304566492,True,True,11,12,0.8653375618807729,0.7765645971856898,0.5625895816664503,0.18027407876358317,-0.3823155029028672,0.7428636604300335,-0.9449050845693175,1.305453242096484,0.4806665011861806,0.4694483087762714
NUAN,0.1082459224477333,0.10361208112976637,-0.08026691967686506,0.015773760503460355,True,True,12,9,0.18540095999952047,0.2032146657974062,0.08713289493568249,-0.001825186033099404,-0.0889580809687819,0.08530770890258309,-0.17609097590446438,0.1724406038382656,0.10482991618955495,0.0977642276468148
GDDY,0.9888197721260286,0.9995947265079205,-0.019902344738400135,-0.009492895918294275,False,False,1,2,18.755347556119496,9.864909760282321,0.5697946246532808,0.022427538096932147,-0.5473670865563487,0.5922221627502129,-1.1171617112096295,1.1620167874034937,0.6068822863805938,0.5664234971187003
DOCN,1.3727075629024816,1.2630413995940089,0.0953985036486038,0.17711388216346813,True,True,13,9,2.472709093055594,2.8258194888608026,1.7102204924055264,0.2890508044421989,-1.4211696879633275,1.9992712968477253,-3.1313901803688537,3.709491789253252,0.3101927038750326,0.2605879523716279
DDOG,1.6599306571824863,1.4334396479103315,-0.08221798576715034,0.03632492767851514,False,False,8,5,4.481886915330443,5.73506991522254,1.874048585494509,0.28036939151338897,-1.5936791939811201,2.154417977007898,-3.467727779475629,4.028466562502407,0.21750169395385344,0.4736647624213608
BOX,0.3217629533317244,0.31008025382581184,0.266151828412441,0.37213009255339247,True,True,14,15,0.5063335799793797,0.47698863202365716,0.5450929179410999,0.06162091941642313,-0.4834719985246768,0.606713837357523,-1.0285649164657766,1.151806755298623,0.37675335904897833,0.3499622458983256
PLTR,0.83300635100071,0.7714864263592046,0.17916815571183775,0.18842384600410778,True,True,10,10,1.7809297939181916,1.6944088620702131,0.8567763776429095,0.02609029973866599,-0.8306860779042435,0.8828666773815754,-1.687462455547153,1.739643055024485,0.6143237062009118,0.48998477335305846
SPLK,0.8174761762085858,0.7080416923282257,-0.06636510443001398,-0.042583035446894124,False,False,6,5,2.7417287805042014,2.934546086534385,0.6711610423558271,-0.06618849550826453,-0.7373495378640916,0.6049725468475625,-1.4085105802199187,1.2761335892033896,0.49282471929324034,0.46070373786732766
INTU,0.8715687671589871,0.7828748219900092,0.010987973024226827,-0.001074987842647701,False,False,5,3,3.5196664174447263,5.241469114666306,1.5037438473072366,0.2734446227860636,-1.230299224521173,1.7771884700933003,-2.7340430718284097,3.280932317400537,0.1478011590377626,0.4747111604229668
ETSY,0.9864300795787709,0.8984218629525904,-0.2584854523444309,-0.1292387691920418,True,True,9,9,2.1873275210684318,2.0896598903736123,1.0421672319870454,0.054377373641645944,-0.9877898583453995,1.0965446056286914,-2.029957090332445,2.1387118376157366,0.32308013265306434,0.4370888184669107
NTNX,0.7074177756434683,0.5067614241974823,-0.6728502815410358,0.05519928668159213,True,True,9,9,1.7111694418048784,1.1371689210610036,0.7810826637756156,-0.023018230367067086,-0.8041008941426827,0.7580644334085486,-1.5851835579182985,1.539147097184164,0.5904487878368787,0.4876913378743769
PLAN,1.246399427915052,1.1143125384009767,0.0006796192945969226,0.017819329443583998,False,False,2,1,11.919671229578627,22.123362822314785,0.6215421903813584,-0.004070035022119154,-0.6256122254034775,0.6174721553592393,-1.247154415784836,1.2390143457405975,0.5114757104690117,0.5096410905286006
PD,0.5442327205834769,0.43570875573860135,-0.08298995941912168,0.38279354596876536,True,True,12,12,0.9726652884958081,0.7205344945586738,0.8650250394198454,0.042169278746519136,-0.8228557606733263,0.9071943181663645,-1.6878808000931718,1.77221935758621,0.5979014440658403,0.5334771051479175
NOW,0.4147489309441344,0.3985684380860991,0.2638523822025417,0.34664476657134324,True,True,12,12,0.6823866436857914,0.6404694208207663,0.5834067707958381,0.0994759634581009,-0.48393080733773725,0.6828827342539391,-1.0673375781335754,1.266289505049777,0.5055749715503357,0.4919112693036639
CRM,0.37405920795668635,0.3576116828772967,0.36276898984502415,0.34183815456085476,True,True,11,9,0.747860956159419,0.8059336845344381,0.5453703364613393,0.03095689227384656,-0.5144134441874927,0.5763272287351858,-1.059783780648832,1.121697565196525,0.5029501819890165,0.45913168504808954
FTCH,2.316575094540693,1.9971285743402993,-0.042526162138487145,0.0024544520278525495,False,False,6,3,8.486754452330509,13.911501174095951,2.2759887700323946,-0.28224608542161456,-2.558234855454009,1.9937426846107802,-4.834223625486404,4.269731454643175,0.11959569265723313,0.42550216824160747
AMZN,0.6719165367570349,0.46763348548755124,0.016832089700063335,0.2866955851181743,True,True,9,11,1.3178965730076133,0.9432208303089411,0.8592916151454503,0.03239876109977473,-0.8268928540456756,0.891690376245225,-1.6861844691911259,1.7509819913906752,0.45342305095603685,0.3996666854589278
LYFT,1.4517164738465151,1.3173579715329928,-0.1486009817727474,0.051360196296066474,False,False,6,4,4.854967149292656,6.300127487515209,1.8622668711533739,0.06825122614420616,-1.7940156450091678,1.93051809729758,-3.6562825161625416,3.792784968450954,0.3903505911953482,0.3315328352201732
TDOC,1.2197793577891591,1.0317210758545143,-0.24061479155120402,-0.08113895147669115,False,False,9,6,3.266407385377579,3.7534824007559577,1.338792814930151,-0.01963949233089211,-1.358432307261043,1.3191533225992589,-2.697225122191194,2.6579461375294096,0.3461588588963769,0.39526074650003407
CRWD,1.146983240293784,0.961338732638625,-0.22745773881390097,-0.004861999228253477,True,True,8,8,2.73629269064366,2.366897785039746,0.9042396610961774,0.13042706300541626,-0.7738125980907611,1.0346667241015937,-1.6780522591869385,1.938906385197771,0.3108323687912974,0.25826176855526106
WDAY,0.6461612269264883,0.6126454738178309,-0.1255147667519907,-0.04004163920593529,True,True,9,9,1.4286790085965033,1.3854854907467664,0.73694704808283,0.022650722365979353,-0.7142963257168506,0.7595977704488093,-1.4512433737996806,1.4965448185316392,0.2238558491159225,0.327467592741696
ZM,1.8266860261165863,1.6174289003058036,-0.07075938565032347,-0.03832661748704269,False,False,7,5,5.612538760240489,6.962206108446577,1.7161604264030346,0.06797515550910099,-1.6481852708939335,1.7841355819121356,-3.3643456972969683,3.50029600831517,0.3745338338903328,0.3178233755900173
SPOT,1.1926992644295662,0.9510319032334664,-0.1595321380478365,0.03937298393529576,True,False,11,11,2.245474974430131,1.9571786016586463,0.8944096365282433,0.004985190101414559,-0.8894244464268288,0.8993948266296579,-1.783834082955072,1.7938044631579013,0.3090952242370364,0.24110553007190083
