,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
GDDY,1.0818416301195282,1.072285103192082,-0.01996215247212385,-0.008939010535767178,False,False,2,2,10.097466937681524,9.979555057754098,0.5748270363822382,0.020682097321576574,-0.5541449390606616,0.5955091337038148,-1.1289719754428997,1.170336170086053,0.495744587327658,0.46820229006341574
DOCU,1.819718415135444,2.0489004615476163,0.02470766158963189,-0.026586395514218486,False,False,3,3,13.098835482977087,14.195908709912311,1.0475810127202487,0.15955288070854715,-0.8880281320117016,1.2071338934287958,-1.9356091447319503,2.2547149061490446,0.6704385215925017,0.3653323501421939
NTNX,0.5928111983298442,0.6028383130280022,0.24629082783894574,0.23220711900985447,True,True,11,10,1.0974992454554295,1.2329145785593458,0.7934411774876541,0.07934469192425683,-0.7140964855633972,0.8727858694119109,-1.5075376630510513,1.666227046899565,0.6412583256543444,0.5609794413220497
CARG,0.7831473316549923,0.7365598183255688,0.017088262416672384,0.11316955339896784,True,True,9,8,1.70299889142819,1.6553233810315082,1.0439867942941592,0.20661769627210375,-0.8373690980220554,1.250604490566263,-1.8813558923162146,2.294591284860422,0.36719775949919453,0.41807423297179536
ADBE,0.5845032374041595,0.5567284574228155,0.2883648567885606,0.32478152080390243,True,True,9,10,1.3477715247015116,1.2144749600583238,0.7128947784697872,0.21154074850917554,-0.5013540299606116,0.9244355269789628,-1.2142488084303988,1.63733030544875,0.6274783286931764,0.5497404345839052
AMZN,0.35752641907813026,0.3304898016087324,0.241180673046535,0.36251296427817525,True,True,12,10,0.6119403205704149,0.644042724014418,0.5117614241332212,0.16057155888480729,-0.35118986524841395,0.6723329830180285,-0.8629512893816351,1.1840944071512498,0.612481671068928,0.6081419047708465
FTCH,2.3454527831513596,2.230580594162993,0.03909505719017381,0.016579760293442658,False,False,3,3,13.617876624894114,13.90456932718683,2.3881125744604725,-0.22102795166056405,-2.6091405261210365,2.1670846227999085,-4.997253100581509,4.555197197260381,0.11415231236487144,0.45810733547303395
DDOG,1.6384771529963724,1.6235471669329335,0.06596542658704263,0.06291315778416162,False,False,7,8,4.899116482498617,4.470913414643797,2.050539708408286,0.3070078929678668,-1.7435318154404191,2.3575476013761527,-3.794071523848705,4.408087309784438,0.24181075793155427,0.5167452796052985
TEAM,0.5510168353125278,0.5738368000737124,0.39707296519413116,0.39424692263939565,True,True,10,10,1.1404379479971998,1.1633400512214165,0.8752168722007321,0.0447878620247079,-0.8304290101760242,0.9200047342254399,-1.7056458823767562,1.7952216064261721,0.4480283836268101,0.4043225018522808
BIGC,1.4108382513543065,1.3428594883549978,-0.03226838149927458,0.003063956735140927,False,False,7,6,4.196070084563109,4.544429191267963,1.9314359338646445,0.11753366539224933,-1.813902268472395,2.048969599256894,-3.74533820233704,3.980405533121538,0.2631133960205012,0.32788803182487014
TWLO,0.7612026752522902,0.699250767058657,0.00234599686238679,0.09899860599800547,True,True,9,9,1.7396341433607527,1.6903963225800203,1.0109644053702571,0.02146312050754727,-0.9895012848627098,1.0324275258778044,-2.000465690232967,2.0433919312480615,0.4618096061440248,0.38492483868166216
ASAN,2.315908026633317,2.2764603844677587,0.02913458091900667,0.023535986972650802,False,False,6,8,7.007313053321302,5.860435080474012,1.4971233363269065,0.1993263469177555,-1.297796989409151,1.696449683244662,-2.7949203257360575,3.1935730195715686,0.5198270800628447,0.5483210974602958
TDOC,1.140657696561297,1.1115374140709693,-0.13461935973250183,-0.04121033156917586,False,False,10,10,2.597465121876914,2.474755924572757,1.4153038972838543,-0.02231390540310231,-1.4376178026869566,1.392989991880752,-2.852921699970811,2.8082938891646063,0.51723606405242,0.3288883017201206
BILL,1.3864581978659951,1.3272922878842164,-0.035928655960181244,0.037334645317743664,False,False,4,3,5.636510879971108,6.482185646303688,1.942753406293557,0.28669999590797784,-1.656053410385579,2.2294534022015347,-3.598806816679136,4.172206808495091,0.31344404864154574,0.4292568160665724
PLAN,1.2322146189226006,1.232183081321362,0.034398303483579196,0.025729900141124196,False,False,2,2,11.735150918136583,11.76387031563708,0.7150793529416156,0.01450532808549055,-0.7005740248561251,0.7295846810271062,-1.4156533777977407,1.4446640339687218,0.566016658409247,0.5240556429243668
ABNB,1.3352137232024188,1.3846521621903076,0.21816640292463463,0.11572716410774953,True,False,10,10,2.7431687482592104,2.885127727202934,1.3839671684563635,-0.16176657121038393,-1.5457337396667474,1.2222005972459795,-2.929700908123111,2.606167765702343,0.502894937975315,0.4058490462441263
PANW,0.7148912250694475,0.6834893317032524,0.07422656736517752,0.1606527891584444,True,True,10,9,1.4418928802580653,1.4914119767467577,0.7394008578133896,0.13188219417443234,-0.6075186636389572,0.871283051987822,-1.3469195214523468,1.6106839098012116,0.3716108297956314,0.39356876745680014
INTU,0.998679221271798,0.9984677425320613,0.0002881915720670536,0.022073098562055082,False,False,5,5,4.237377087217478,4.257550164859879,1.622576057121222,0.2594947260988856,-1.3630813310223364,1.8820707832201076,-2.9856573881435584,3.5046468403413296,0.13965032227322904,0.5188893720174135
EBAY,0.3377769954484783,0.3177313767568493,0.2250396939818915,0.31804097929432196,True,True,9,10,0.7083472076027215,0.6405883558676838,0.569585947931856,0.07630990680075675,-0.49327604113109924,0.6458958547326128,-1.0628619890629554,1.2154818026644687,0.5807337770935201,0.4651109207377312
CERN,0.3123871925038987,0.3195606540525288,-0.10472919421283922,-0.17551206498012384,True,True,12,12,0.5127155261600581,0.5305362816205773,0.2910859277662182,0.09296360448529255,-0.19812232328092566,0.3840495322515108,-0.4892082510471439,0.675135460017729,0.11937750543800185,0.05387822245868268
