,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
SPOT,0.9537590728934433,0.9510319032334664,0.049480717146563546,0.03937298393529576,False,False,12,11,1.8359661751748886,1.9571786016586463,1.0155298070049554,0.05523116351789016,-0.9602986434870653,1.0707609705228456,-1.9758284504920207,2.0862907775278012,0.3202022300711237,0.24110553007190139
COUP,0.6278648364017678,0.6243385459863565,0.11019495549644942,0.08481816328195801,True,True,12,12,1.0452849218486977,1.1308147489870408,0.7464082035194023,0.14180224132654126,-0.604605962192861,0.8882104448459436,-1.3510141657122634,1.6346186483653458,0.49853292532038107,0.3947863006824007
ANGI,0.5503300363577612,0.5251821154676516,0.35052382448180197,0.313471872017248,True,True,13,12,0.8750564827834697,0.9088501111019518,0.9453394179992091,-0.05519643410309075,-1.0005358521022998,0.8901429838961183,-1.945875270101509,1.8354824018953273,0.5619834735963167,0.4995793798406932
PD,0.39631420352818825,0.4357087557386014,0.4694748848264855,0.38279354596876536,True,True,14,12,0.6442532576099049,0.7205344945586738,0.8650250394198455,0.04216927874651916,-0.8228557606733264,0.9071943181663646,-1.687880800093172,1.7722193575862102,0.6299738759199798,0.5334771051479175
ADBE,0.3909556088812346,0.4196823807439643,0.3581715026988992,0.22826408304566492,True,True,10,12,0.7659058223743894,0.7765645971856898,0.5885508944681898,0.16177858856767832,-0.4267723059005114,0.7503294830358681,-1.0153232003687012,1.3388803775040579,0.5637905547837827,0.469448308776271
AMZN,0.5824007625725094,0.46763348548755,0.26799895767752424,0.2866955851181747,True,True,15,11,0.8932668024829356,0.9432208303089396,0.85929161514545,0.03239876109977471,-0.8268928540456754,0.8916903762452247,-1.6861844691911254,1.7509819913906748,0.4605121219729589,0.3996666854589275
DOCN,1.2686629734252743,1.263041399594009,0.22866919744986447,0.17711388216346802,True,True,11,9,2.4490986104355197,2.825819488860803,1.7102204924055264,0.28905080444219894,-1.4211696879633275,1.9992712968477253,-3.1313901803688537,3.709491789253252,0.39020969886549794,0.2605879523716279
NET,0.991486184152707,1.0454417578985662,0.1484401674055379,0.08722159060349688,False,False,9,10,2.222177226467165,2.1101949273268277,1.0743528702409757,-0.09739191502060407,-1.1717447852615797,0.9769609552203716,-2.2460976555025556,2.051313825461347,0.41039754371886217,0.2913552603744275
U,1.0359059126953498,1.083705342368191,0.2364941546452991,0.20912465892947762,False,False,8,10,2.8326436949267153,2.534217003015286,1.1117242268707557,-0.11723085539304931,-1.228955082263805,0.9944933714777063,-2.340679309134561,2.106217598348462,0.4976479558369874,0.49132782063081204
AKAM,0.38146048898731366,0.3977934675396347,-0.054845075755910466,-0.05890796461158487,True,True,10,10,0.8170899178553357,0.8285251955197213,0.4002814034431034,0.11138216803016643,-0.288899235412937,0.5116635714732698,-0.6891806388560404,0.9119449749163733,0.4373983677538139,0.3774838146709045
