,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
NUAN,0.10121837109491813,0.0909612349957533,-0.07228108865531069,0.02028582901739151,True,True,10,9,0.18315205556395883,0.18347060454989395,0.08321384357627554,-0.00016881606757966248,-0.0833826596438552,0.08304502750869587,-0.16659650322013073,0.16625887108497142,0.14244798365668643,0.13098834365334378
ZS,0.8219656889339857,0.7988993044376129,0.15629514173642967,0.15274880739514618,False,False,7,7,2.041312093783926,1.9377772789411094,1.066191705956691,0.27324385395548645,-0.7929478520012045,1.3394355599121774,-1.8591395579578955,2.405627265868868,0.4267570349067382,0.3762039683626559
SNOW,1.176734542431324,1.207773291263838,0.037543966032510645,-0.010431324352452531,False,False,4,4,4.830281500246087,4.974712789368265,1.0067773141913432,-0.0957246916110287,-1.1025020058023718,0.9110526225803145,-2.109279319993715,1.9178299367716578,0.3255333240689725,0.2904321565838699
FSLY,1.4077795140870608,1.3804339593998942,-0.04076774729939503,0.027768016510128612,False,False,6,6,4.396413332148055,4.224123499292246,0.9291820046483371,-0.12825711946856758,-1.0574391241169048,0.8009248851797696,-1.9866211287652418,1.7301068898281067,0.3630379758804988,0.33784718523954516
ABNB,1.1838763229848435,1.2312881816609784,0.2618233999946793,0.09805293726829023,True,False,8,7,2.7662901656350094,3.2657039524626557,1.2029922304317366,-0.1857331010050648,-1.3887253314368015,1.0172591294266717,-2.591717561868538,2.2202513598584086,0.592382971797997,0.4349733319537855
WDAY,0.6240128002593822,0.61769103486717,-0.004642241162783112,-0.011620193160427617,True,True,6,6,1.686199163163591,1.686947405520068,0.5802972083671668,0.09604013685380385,-0.48425707151336295,0.6763373452209707,-1.0645542798805299,1.2566345535881374,0.3904783760045636,0.36115203722243316
NET,1.1398302865360141,1.0115995981132675,0.06469990174311646,0.05996859180524294,True,False,11,9,2.0048973757719533,2.1365181691712447,1.1406357283061346,-0.07715307263853247,-1.2177888009446671,1.063482655667602,-2.3584245292508017,2.2041183839737366,0.29851165066256624,0.26536254531885917
GDDY,1.104591375425294,1.0996316953482475,-0.01972249057828468,-0.00931414616882642,False,False,2,2,10.105652653775598,9.979272774349743,0.5696289973018134,0.012947337897595664,-0.5566816594042178,0.582576335199409,-1.126310656706031,1.1522053325012225,0.4894068774786843,0.4589927970456187
BIGC,1.1855915352546111,1.161255729992287,0.0731434425720624,0.048427384514671545,False,False,6,6,3.715353821334324,3.6945900700496543,1.1301882606375389,-0.021739336101783465,-1.1519275967393223,1.1084489245357554,-2.282115857376861,2.2386371851732942,0.491077464600592,0.43372985047380375
SQ,0.6953226651811328,0.6810067403498359,0.4811203316531083,0.49443038637862047,True,True,9,9,1.316914128062081,1.3251856203199486,1.091365377780691,-0.0018075662527762934,-1.0931729440334674,1.0895578115279148,-2.1845383218141583,2.180923189308606,0.579043889890358,0.5594951586867647
