,U,ETSY,VMW,EBAY,DBX,ZM,CRM,INTU,DDOG,FTCH,DOCN,BILL,LYFT,TWLO,FSLY,ADBE,ASAN,BOX,NOW,MQ,SE,BIGC,COUP,CHWY,CERN,TDOC,AMZN,BMBL,PANW,TEAM,PLAN,RNG,ANGI,DASH,NUAN,AKAM,PLTR,CRWD,CARG,GDDY,DOCU,SPLK,NTNX,WDAY,ABNB,UBER,SNOW,NET,CDAY,ZS,SQ,XM,PD,SPOT
U,1,0.1552497023514553,0.31182162089179577,0.5079849252694951,0.7493231359041405,0.049595547869876584,0.8314161302893185,0.6846988107762731,0.12399438915669679,0.14020015201962552,0.2605777643238073,0.0925543975694972,0.17184238186549627,0.10964524770340114,0.07351822979820756,0.5833735855097986,0.27495464772070577,0.41123341811579045,1.0567785983057605,0.11826660679817884,0.31478942190040676,0.19929886327734092,0.5848323884626672,0.19634239212094556,-0.009373464492185207,0.12084928841358969,0.38946277630718196,0.06625131895841832,0.17391350169772704,0.052099042259810054,0.07775873369682114,-0.1621364860480252,0.40911325669234644,-0.14860346113736797,2.7428155466359225,0.2921002152052755,0.24040625121615897,0.30530902959814127,0.05267875351024724,0.10814793149969026,0.5077398875311525,0.2514596676170997,0.5462101356363244,0.2753943355150805,0.5681956137069779,0.08030966689586058,0.34392730384452935,0.36667027483199455,0.6471728813618127,0.7302888078365921,0.6398313077025377,0.15193727081003758,0.2398719901419305,0.16316615923409997
ETSY,0.25358374646641524,1,0.3330320576560958,0.8366128656702111,0.6670478757818413,0.12889225093162898,0.46104649082907645,0.5442392088889657,-0.39427671635427036,0.14532499525868428,0.30653663367090306,-0.08614335872220967,0.11465989869666711,0.2133750545780325,0.5475046631536893,0.5985081280731502,0.13928488541734596,0.36787675773186146,0.9388776230091952,0.1215364690343667,0.2863700525781543,-0.01400665188332344,0.47750679563813025,0.2520710726096165,-0.44466702529958174,0.19433342658806319,0.6796708582546334,0.05634522982591686,0.17170077477375395,-0.12694308354066977,0.09185289023138078,0.010406779301867595,0.831124634280784,0.05971827041113641,1.7832071559883842,0.31298688364012833,0.1250077402600032,0.3079025572231233,0.25784604154198015,0.2765506445883347,0.6216479655722463,0.18547657510506185,0.3520608632821277,0.10250077814565263,0.21764513007649075,0.34474636617569604,0.30765829735808914,0.10356343727767695,1.295382331961701,0.5768520697304903,0.6187479736306365,0.19353295713413066,0.1758077088637061,0.15215957940218364
VMW,0.1649769572355761,0.04514962172200954,1,0.2640902959703953,0.37255382269440834,0.027871323626461057,0.3109641719345253,0.3804291752429047,0.08385701915266681,0.061410231034626526,0.15737355007357764,-0.09967940581894891,0.08653891297643518,0.07701578836719582,0.029930109282385965,0.3541141683375963,0.05500907981812793,0.2070689850274719,0.4891899291241552,0.04621152804038874,0.16948629698827772,0.12307327540175222,0.1874282060943719,0.06656047959842831,0.16876470776371416,0.10422787545570965,0.16920979479241513,0.03808012272438451,0.0671437871691324,0.012896705333101407,-0.053475536332765514,0.003021575313434229,0.20574667226552446,0.006298949992106248,1.173153260866031,0.25136318858823875,0.03662678282452546,0.21417875744672857,0.11947426175167,0.09567482993014437,0.2864959645246961,0.17673997053163082,0.2382668979489228,-0.3214960877603836,0.22749568614485707,0.13780241855407888,0.16295709291290428,0.16805710368591625,0.1536952709004919,0.3077071985409603,0.2594648472510887,0.13991001484019375,0.10237744978073728,0.1078128745105881
EBAY,0.1688475031990968,0.18692398069820576,0.24678257781013305,1,0.4519470985770955,0.04869388758590056,0.3051825405698168,0.3814097589868654,0.047161474869173714,0.08577784345378511,0.1834959046933754,0.02698177454267116,0.0759783636639922,0.2943407165653962,0.0509724806939105,0.37691292231469004,0.08350189255354623,0.1622130712423896,0.5969814286570503,0.10251592071784561,0.2287260296417399,0.11206395443291213,0.4868952981907901,0.13368805457758307,-0.17600930680290086,0.22164850198410857,0.35714126205486824,0.032077299923567455,0.10309227217661038,-0.034584505710083556,0.08402990341902368,0.015136082255313994,0.25001495278256913,0.04831778102600021,1.3550751328248647,0.19332022434077395,0.042082680008279576,0.15443022091993058,0.18133178019673515,0.04869744314189447,0.382881642125518,0.08394117152637824,0.258437276368865,0.1301333966980881,0.2476373124455611,0.12605978209242694,0.2204927201184508,0.19583446316871977,0.3754829021088425,0.38046276636135073,0.4228466945703737,0.11483840630792887,0.10125804292328018,0.08153867238362425
DBX,0.21868350618447124,0.09092283953109266,0.2409203297518896,0.3461791482351751,1,0.04260381630601047,0.3145621004567842,0.3755387025453084,0.08046735721033231,0.10099897619851099,0.20244815855015702,0.07772319403971131,0.13164914377018436,0.06906896506987738,0.029284671729885133,0.368432358814487,0.10882956764385582,0.31927003065080106,0.529079717176642,0.05607137417527283,0.1425917339462122,0.09858035582256165,0.25970832291443674,0.06881359476050877,-0.03766283631192437,0.10013058944021763,0.26576126066898875,0.05480024902613326,0.05437631210770201,0.025860636289176172,0.049365131906911816,0.009851182284438013,0.2428527521732691,0.012680345983585115,1.6827635307884359,0.22713642267016546,0.06935960260412442,0.2088252226379629,0.2578536826617699,0.03785563079443572,0.30141944752347194,0.1095333474417629,0.3233878612744286,0.17857490999195327,0.27996498873627984,0.1461867902272315,0.17476015115015683,0.18161190869633062,0.4336258801690041,0.40117715460648845,0.3708557903125002,0.0978603787472871,0.1405379944892826,0.10073790241320175
ZM,0.24036030810156558,0.25811485668107204,0.13329748762967086,0.43800149787589737,0.40708710579229873,1,0.6898191904108396,0.44860021198103556,-0.12247691269974184,0.10947538248279143,0.17000189047358247,-0.07892355044067714,0.010036921555729954,0.14253905237640324,0.16117839807882206,0.5403807591658663,0.13350059973247075,-0.05943189258862244,0.6053043482629921,0.09465818212075952,0.2630306391648688,-0.06775834410468089,0.4561437382388392,0.1531533799085901,-0.2910724954488571,0.16965133516668107,0.44138744875620123,0.07554924653766312,0.1321265136419751,-0.03723225797929488,0.16368242237846375,0.023777525256701883,0.3801501032518527,0.01789571169339343,0.982301013106403,0.2471701746662944,0.11030900291354435,0.29567683060408856,0.31413555908777363,0.06628376493461183,1.3537823303882777,0.21732584623742385,0.3787861441615696,0.29997961041435867,0.10761529377705623,-0.018990357818122628,0.3927046116362002,0.04148170047729274,0.5101082767305019,0.4177835404404468,0.3502450477828883,0.197186382517499,0.19739854222337944,0.13366141568214632
CRM,0.2556604289390935,0.07247504843019234,0.15616017477650235,0.24622527566962993,0.28554777437799816,0.09143858836373449,1,0.24624898669446846,0.054940891900116216,0.07636390568977407,0.10871936823009799,0.03138754972860648,0.07801680110704616,0.07388287548732336,0.02734762962642419,0.3251947565332982,0.09471180027491043,-0.12927828626830914,0.5262049163817902,0.04532987980050245,0.1481869462348992,0.09113806905282575,0.23497674481323338,0.08874375417788864,0.020521284152731273,0.1021087460258432,0.2184010475175355,0.05137026631787256,0.09638660013658705,0.023545014391121624,0.08778911818895817,-0.015561137135191753,0.21939519203975438,-0.005888655315282861,1.6622659303208722,0.15913462339591483,0.0913369668692106,0.14648277396684817,0.22211905898494647,0.02622362900171385,0.29195692206516666,0.1404920924195314,0.22811669109588117,0.1514910491756712,0.1780535280658964,0.09182242654909492,0.3036237966660036,0.1509879652368727,0.25841393499978543,0.3186566614103646,0.3023663115383289,0.08239803631229663,0.1054491674371583,0.10818526129809468
INTU,0.14820862990670047,0.08192109941149178,0.14271969879793522,0.2793973576463397,0.3108696305051786,0.03391121802977851,0.1950638000843471,1,0.054094566066848704,0.07417590549799641,0.16662763932838426,0.03578946289664051,0.07649494582216797,0.06928323316252587,0.02269982193964425,0.324477503980118,0.0788169928613738,0.3107206102040127,0.5557976585982934,0.04883556877015249,0.13062123796830538,0.08985789951206555,0.20704137356161692,0.10732564784467268,0.02315080673246991,0.08690443107194773,0.20234549051839523,0.028975254576277594,0.0946328734120843,0.030085015626050628,0.0739965758856034,0.0037926441636656574,0.2693604304807092,0.02096364837252397,1.453512535239459,0.1893131982646823,0.056003872141712915,0.12600431499355738,0.015250185456850675,0.00858648751921398,0.33858480186616763,0.11954003561317063,0.2132596659463255,0.19488969441132697,0.16583644956273288,0.09626211645900434,0.0698686864891001,0.1967288979735448,0.3379663791734752,0.3114159596170803,0.2798289930231041,0.07816645905876522,0.10586220369879273,0.07777447750148718
DDOG,0.38338109205918725,-0.7783786841000094,0.21104750019808197,0.45876732993034436,0.43550191364765045,-0.1651834642435922,0.5369146064002059,0.5555479648081129,1,0.09835795051765316,0.23850219810337506,0.522668686974255,0.3155162144202854,0.15463487381622673,-0.6359747937756325,0.47509453000024154,0.18330510317263107,0.33722091123309067,0.7251951516024681,0.03260071928259275,0.19553791669105328,0.8098894243873674,0.43812601708412724,0.15903526556615888,0.13591189598199255,0.16844261681842018,0.30503969293946237,0.062156194273161956,0.1871370688076642,0.0582321213887169,0.11331727622227573,-0.006511391942765448,-0.24507899704110725,0.025379951768408588,2.524421166204417,0.22309564351408098,0.13096852617581445,0.26107544899793345,0.07794978253504861,-0.2849653230741439,0.5637345830236802,0.12522988798879353,0.4315782395443059,0.23605321099626075,0.8903496327845113,0.2534840098362038,0.24784448495265454,0.9449655914694652,-0.1516982547712698,0.6005076724059707,0.5002902908288963,-0.004933626654552857,0.20141970618255303,0.11726289288138399
FTCH,0.3772225592248145,0.2632727054920889,0.13641656081438777,0.7410837773417442,0.918551214179517,0.08672852223608081,0.6207654816552676,0.6218222885719544,0.04753000996664524,1,0.33268018685312345,0.0957155972892071,0.13429186863546352,0.15151384010786784,0.134517382492401,0.5451238740283968,0.1938009168861818,0.4618920675027042,0.9412388749296814,0.1734573021832104,0.42754469172336557,0.168119896702601,0.5620839164697761,0.3038733421860043,-0.14711991212749556,0.18742221791118255,0.536949397712229,0.05139824202977424,0.18780705114536653,-0.012247781875639425,0.22982822701557495,0.042646128995754776,0.45614529879664323,0.0877658023438759,2.481206400030554,0.37819511764554037,0.14421972355694512,0.35240572394423336,0.3449394292074427,0.11865383586988536,0.7579681567325812,0.24053650893369202,0.524851575603416,0.4058069950378005,0.4163510970510421,0.20462720542622068,0.6211138453289408,0.27391535718449844,0.7634574958065609,0.6148942198150281,0.7185942097938364,0.24881605323297645,0.1914393584389886,0.18260847765356086
