,XM,INTU,SPLK,DDOG,LYFT,S,ZM,SE,DBX,CRM,VMW,AKAM,WDAY,NUAN,TEAM,BOX,RNG,ADBE,BIGC,FSLY,PANW,BMBL,CERN,MQ,CRWD,NOW,BILL,SNOW,NET,DASH,CDAY,PLAN,GDDY,UBER,ABNB,DOCU,PD,DOCN,ETSY,EBAY,COUP,ANGI,CHWY,U,SQ,ASAN,CARG,PLTR,AMZN,SPOT,ZS,FTCH,NTNX,TDOC,TWLO,DOCS
XM,1,0.4365441326344161,0.3658868696488607,0.05447192928907918,-0.28370927428235104,0.6031094142682136,0.10112906897643581,0.4462998157473195,0.5286930663487386,0.3666297649119859,0.22559879979163894,0.09417208373737723,0.15130575219936399,0.1293928023450668,0.20598953350109883,0.31925088015315023,-0.08166478471498156,0.4800388711772717,0.11033221061897826,0.26104530654598024,0.33338189138300567,0.36325469334567284,0.15787847972693078,0.3813770416142669,0.2598121504882444,0.5796206945721564,0.02686885579065566,0.3060280654771438,0.25891949977315176,0.05082824998578382,0.5798072267999312,0.15966409159793982,0.07367482273366181,0.006485698705531944,0.3368181386085426,0.09878400452315321,0.23983704162295436,0.5840707480115496,0.35135281408232744,0.4008981706676196,0.3743296425858574,0.44487978829252933,0.11452138498300249,0.30846949084391495,0.6747606778792172,0.31732967856001343,0.31013226987817827,0.2679705630002085,0.3835719530391456,0.4718789717329697,0.510603079805692,0.14637721432561676,0.5712698486874402,0.1581894662182383,0.20803437297311236,0.3462266625896905
INTU,0.254909670404247,1,0.2626398139029675,0.26558848325912965,0.3109884242291981,0.5129493322836309,0.165043031443329,0.4764150130566988,0.45116795472502363,0.07893784331579096,0.052926411380679966,0.30565272189902354,-0.276307585564699,-0.23071626836628625,0.18077987345766444,0.5749748711083428,-0.005038177732062442,0.5262351976882731,0.3337611447945349,0.13719760507253495,0.3004224837916318,0.26686691589431105,-0.12975126008072363,0.3346573426848281,0.33038242334172246,0.6403665935820807,0.22603254195998196,0.10950800196316883,0.5551298080378199,0.14662373492680814,0.6055475831372639,0.4136038621062686,0.039549519569546054,-0.05628791575873963,-0.12845311461709286,0.18698912471500193,0.3199115235956427,0.6160168374605696,0.35275414104743713,0.5110521430507445,0.3081680725700977,0.5929616811778893,0.23959505771199419,0.4597781985619874,0.6463049281185375,0.3453261091271075,0.1236881879302333,0.18363160074573595,0.4339603138632704,0.34343775145466326,0.7002069995493971,-0.5636863257739153,0.37117694008056534,0.2734094779966043,0.31661767057580287,0.3317013476650981
SPLK,0.4780273796323999,0.4655258245160637,1,0.29536282167705113,0.3191313787935974,0.5220289920504018,0.2177818599017013,0.497955376369069,0.4431000310303189,0.4897563560179985,0.26744307673534745,0.4007509055637263,0.31429191178687466,0.16564508782649962,0.1272023329100467,0.23858383244658904,0.023416990422631918,0.5838315070823734,0.46535415556340315,0.13173600365310997,0.4413971370799966,0.3709228330425096,0.05738853158851918,0.33043364899797406,0.6408990426735254,0.729045049857529,0.36729708711633,0.7184427002136641,0.5908025801020627,0.11006801243877591,0.5081445381796492,0.348623773478542,0.10168101955429173,0.30699086615412474,0.40171776178291385,0.16270132328908374,0.39917022671559094,0.5722975570507853,0.17510217777778386,0.5460010379422017,0.5726866669706935,0.4186635766339095,0.2480620054989146,0.5001052573553112,0.6850639162072266,0.32545382040408355,0.35431454412929375,0.26130433916945306,0.5309003318684455,0.3384333950378791,0.6988604670944203,0.11361596188534545,0.4127539560498675,0.35087644264780515,0.3779322062204295,0.49413890613931843
DDOG,0.053031577484801015,0.5565035870397894,0.15211771269846752,1,0.266877770343086,0.5499811413325915,0.011495334888031304,0.4643523323079559,0.31470199553509126,0.3422614744918319,0.12615194198440996,0.1988488665195669,0.09499008499886583,0.13218627812027262,0.2433759963607202,0.43577269227884413,-0.08759569091821182,0.5563957341231495,0.8715358126799585,-0.6849065929587609,0.4264268167199845,0.2749134603855299,0.0625283522275279,0.45338490324817404,0.4011791351167577,0.6686769589848685,0.6997003738113836,0.1168735112799211,0.7250578928217409,0.15299159773964727,-0.06833088352082643,0.43515730181777945,-0.3954841190831938,0.10221343405239139,0.42063047571942713,0.1859917786914616,0.43460689884796827,0.45015679555690724,-0.47487501982774755,0.5077793020108696,0.4612710895929681,-0.13483296254647134,0.36485478038621416,0.7384071649963493,0.695500484407649,0.42189077027885297,0.14356298242012838,0.27119530942975373,0.4003098139662115,0.32605749449379473,0.7261169489396253,-0.13951012581795838,0.4354562529549104,0.3264930011703322,0.39948928792999383,0.36324606385944536
LYFT,-0.23617830260825026,0.16765735869315376,0.3056020634810576,0.38702009694771494,1,0.3347571471556236,-0.2701110381840197,0.5588438447711045,0.4778433857984195,0.2768405396807841,0.16286398341291775,0.4379087301737949,0.21525311157522348,0.17291607712208382,0.07377319640648164,0.39616501386123004,-0.12266155663497919,0.3541016263747846,0.5862037119518532,0.024773376053109877,0.22391655064050978,0.29662483786721977,-0.009239021063844551,0.26342142757099696,0.31342887119493523,0.3566208787175798,0.2556492741265347,0.5415439826369138,0.48329811332602696,0.09356827177910294,0.47674629030020776,0.3580320044508249,0.15859681745115936,0.7670373459746979,0.7119447004462801,0.022430732665130924,0.3644499921449104,0.4869123404427475,-0.04808137042008801,0.4291006474551331,0.2463638489047798,0.39751293015333966,-0.136254979289747,0.4082107315315279,0.5456240739606492,0.34287119798186905,0.3826850312466347,0.45235557883818567,0.3392543261035756,0.35995860923045564,0.4716590599751519,0.27358191324193704,0.427470567857114,-0.201910848062249,0.234640833029,0.31707484647958395
S,0.42409295785231416,0.33300460644149354,0.31147203418343383,0.2722597283148316,0.2971039773273082,1,0.20780970591284517,0.5178044659175027,0.5354863486338937,0.36527170174078377,0.2586059212352614,0.3406301622094348,0.3919025677654552,0.2731745618040148,0.19263203246026198,0.31706436975511393,-0.14326483436567486,0.586610600482793,0.11628554671850237,0.18993721163964356,0.4638141954822591,0.3088985816471536,0.08960933939230284,0.3744232557606976,0.490153245182487,0.6965274596374443,0.3504950297361109,0.4080030989468877,0.5656676540251239,0.010570637704361355,0.6186360717895543,0.20246620441178093,0.11844045843534555,0.3551640642378341,0.439262071186128,0.06873289569280161,-0.028157910661611416,0.6261960479738975,0.3424424432462107,0.5340749907463717,0.4369387819235041,0.5209922046171827,0.1719999770925128,0.5778209426407582,0.6893518460760184,0.40285066507702316,0.31838161913841256,0.39285101828523994,0.4701795908422999,0.40793385523527564,0.6423388893678929,0.2621075774460817,0.5300978472242079,0.2642427111431601,0.3750488415365782,0.41971261920730685
ZM,0.3060577729818552,0.3317065788806053,0.285697501825069,0.04980795489147613,-0.2654220492270721,0.4314635636477814,1,0.5488621453082244,0.3720843278325921,0.10656907414374128,0.11910848818626185,0.1952278115625845,0.2495213809424784,0.05949690557335691,0.008119505493985272,-0.031968081788606745,0.14840533270128758,0.5046768467286461,-0.10577519191435135,0.37752517759684556,0.14469339742327458,0.13485904850448263,-0.12703123971366545,0.3166479762121936,0.44605393459105597,0.46892657349279965,-0.1266852315256183,0.3296735847162531,0.16566116709957884,0.23685450537795003,0.41240260532146455,0.3593693410555485,0.22772576776077308,-0.3548937876578435,-0.3708015234959978,0.2899174425760202,0.35066763631621034,0.28180761697095297,0.3890571199355741,0.4252791265136984,0.48378353322709966,0.02105148558542002,0.4121110965818089,0.40794430218671485,0.5637364967683973,0.4397453130249618,0.4885482282269529,-0.06926183900671384,0.4410510889476046,0.3773726035396378,0.4518600244313884,-0.06216243235163451,0.056355934147437836,0.8501377480308093,0.3857348126543536,0.2421870297210063
SE,0.2970143530203111,0.2213523942031377,0.28621440439053325,0.22668439867749443,0.28685489545988213,0.407577119372782,0.08076805191098967,1,0.37389177482052033,0.40216981187287776,0.21899200565593066,0.2503501864893258,0.15159490305745063,0.08419999045961697,-0.015326432500148902,0.12405965464411112,0.0074364488027561255,0.5404442167177937,0.3057934967776203,0.13169513327959703,0.3051211839772084,0.2781213551730832,-0.16145207077817322,0.34684959084872763,0.3672394364745014,0.556411259381293,0.10576127535067896,0.29864813620653663,0.4330052264209157,0.13734844292077303,0.47811093124196385,0.2605336761666094,0.20573788047541022,0.3497353433687577,0.4100023967632136,0.2666414867157261,0.3647655576584369,0.5292182800382499,0.32474624956720005,0.2887022656757259,0.25802621298442535,0.35304236410147216,0.3271471819637588,0.4889430756185994,0.667288851760185,0.4099804700640651,0.32225340872755226,0.3494887459544014,0.42819663196641344,0.310231623579202,0.5055188523871341,0.28785684573815423,0.36179023601863614,0.246759916456361,0.1955052891629952,0.3882429937997806
DBX,0.22743784120191057,0.30624402984335086,0.26810177115818745,0.3646362189348306,0.3911723084484997,0.41737090247603664,0.07459256000734639,0.40379349051556623,1,0.23635277347028963,0.18804230236861755,0.25980419981038083,0.2690806280807275,0.16981970703303087,0.14518402414816545,0.4187673954404951,-0.025465568087900084,0.5122303983207619,0.27056485187264595,0.08583716354334546,0.1316745487299986,0.19999576691435048,-0.015302192988977946,0.24650125038492476,0.3019049787583594,0.461204887546195,0.36356198007313734,0.25287525312147996,0.3957155207981958,0.12757878469867154,0.5016703233209867,0.24123023426240833,0.14492526925662183,0.3928590119548687,0.49066253032740265,0.2945721046685039,0.3676460258607682,0.49283280279048763,0.26558886303548673,0.46575723139631675,0.27021082347082437,0.4023420406613656,0.15492329364106167,0.46902594815140203,0.5423063236683943,0.4087919587008541,0.416893787702877,0.18640582503700312,0.40603461067080177,0.3149107066716291,0.5531094309447722,0.2591942483830048,0.4435275297690295,0.23190459592987875,0.18835042076062883,0.3305247165259338
CRM,0.29172651733558264,0.12269282006354666,0.4129695369983229,0.19263765777866287,0.1475459094975564,0.48613798456185936,0.1569399565886041,0.5292626642203149,0.35782374955885055,1,0.1573431478931698,0.23738794293124796,0.2151145121769111,0.16917495080183972,0.08825698577538989,-0.6491873608372675,-0.0987241140796086,0.5769793267822229,0.37617029222888493,0.13647733947896606,0.4005997057693143,0.38818501569118097,0.015470892913300487,0.3269248022389693,0.4855456692415646,0.7172845100718126,0.22320932178848032,0.524178551992641,0.5220214858005022,0.02110638300811685,0.5016088194829235,0.44288653640698106,0.12214968449628813,0.030501942624056956,0.4459277882027457,0.07214956248031457,0.4096505247866513,0.4424344070174788,0.23075719387150265,0.10223730657626226,0.31264100816552604,0.45306046235390085,0.21720981238055995,0.6160714607338884,0.6825104757586442,0.2901699806881543,0.4340681300155229,0.3616472895180468,0.42524121940598963,0.4784254824951469,0.06593086039448921,0.13428536903470983,0.36324339729963045,0.11679158160074472,0.3549647957462158,0.2168195815439545
