,QQQ,DIA,XLF
BOX,0.6148076687258008,0.48675396794723935,0.38150756537274105
SPOT,0.5678923218626921,0.5061790667503183,0.39307558654124675
ANGI,0.7737592055881338,0.6168763727367463,0.456727008742535
SQ,0.8292876947866923,0.680650544084427,0.5389763770311035
SPLK,0.7567290134213305,0.4994017591830278,0.29999992274533116
ASAN,0.7118545144178149,0.5763799069019482,0.39866598942543247
ZM,0.6572446351428092,0.4055766766342356,0.1782121877213748
LYFT,0.6310607837588296,0.6996858865196598,0.5956850851698972
ABNB,0.6473604233323066,0.6714605576201198,0.5274381184050091
PANW,0.6593811945337829,0.518490909827731,0.340282166139337
INTU,0.8003104584648525,0.5768624523950197,0.41792372319893195
DOCN,0.5708866286113152,0.5811065902483974,0.493428556471914
CRM,0.7457689650794989,0.5859325140489849,0.4172443229561212
PLAN,0.7797420173241616,0.5530732669362067,0.39448364840359484
AKAM,0.7061788301100169,0.5695926671679068,0.42527574246337985
CARG,0.6258513524529952,0.7085688708948401,0.6432136011147485
TWLO,0.7764722239215152,0.6402405199528286,0.4715251207396852
NUAN,0.3248726910730743,0.23873213560668238,0.16856731044783668
MQ,0.6711438303650308,0.6180336323659485,0.46388288108148606
NET,0.6272357186395462,0.41425923976445167,0.3551517356874261
DASH,0.518412557238348,0.4382379257908923,0.34513205394343893
ETSY,0.7435751820281566,0.5773467968571946,0.4262989457830638
BILL,0.6283199699229547,0.32769304522506054,0.15561189696034622
BIGC,0.7252569507611382,0.6885120497404855,0.5866111137914021
DDOG,0.7402015193688697,0.5901043266525093,0.45415153905299005
NOW,0.7720867997540066,0.5285302690961702,0.3582187319766132
FSLY,0.6774434867277064,0.6090150226447472,0.443488350874786
RNG,0.56258323610571,0.4859663686206024,0.35545971208163896
ZS,0.7229053560319171,0.488990359261804,0.33243508525521986
SNOW,0.6019387916457785,0.5388952396209225,0.38982210343966367
SE,0.6554486664298197,0.5894427427261734,0.4770788031626489
DOCU,0.6484049863849559,0.4044844657556737,0.2320750000962132
FTCH,0.6990725277039535,0.6177216176143188,0.4751507531006104
EBAY,0.8040500628639239,0.6227208420311434,0.47290896828768264
BMBL,0.6901623705380198,0.694646532118181,0.58882112232909
VMW,0.6282823731261661,0.6410090909404639,0.5399323527071304
CERN,0.09625075785383576,0.24342833584982287,0.10049453318974749
WDAY,0.6745665697163927,0.4899875005920974,0.3163723733537591
CHWY,0.6287131029567578,0.4106291082532488,0.24816605193915983
AMZN,0.6604884774846032,0.6128385526961806,0.4343965026066406
PD,0.7742622297633619,0.6712751823611907,0.5329614332966486
TDOC,0.7134923776709812,0.5474658202761614,0.40007264579805246
XM,0.7765813932141923,0.7828383559698332,0.6405362945609564
COUP,0.7055917514050586,0.4783613967148496,0.32558148614813354
TEAM,-0.01498814293043315,0.36762773914433006,0.2163872086811662
GDDY,0.8072801917874716,0.6414310461052178,0.4521247120300269
CDAY,0.7895554291814331,0.6560486997208891,0.5089651688810234
DBX,0.75239080680219,0.6958327864235065,0.5679091362939236
NTNX,0.7628019811711986,0.7270239388171453,0.6034679873235226
PLTR,0.3494907787052305,0.6561149710430507,0.5203423929662524
U,0.7275621087219046,0.5783761656634605,0.4760534833797151
UBER,0.6255352222479934,0.7766710905134907,0.7096461725847699
CRWD,0.6539928081433768,0.44342291301596537,0.2816404000369003
ADBE,0.8057067868531324,0.540362331077874,0.3269726789612799
