,0
0,NET
1,PVTL
2,FTCH
3,SPWR
4,RY
5,COUP
6,PRGS
7,MELI
8,QFIN
9,XLI
10,RF
11,ATVI
12,TEAM
13,CRUS
14,AMAT
15,ZION
16,PE
17,REAL
18,BPOP
19,OFG
20,ON
21,HOPE
22,MSFT
23,EBAY
24,SHLS
25,SPOT
26,XLF
27,APA
28,QTWO
29,NYCB
30,BGCP
31,BOX
32,CVX
33,JD
34,TDC
35,NFLX
36,BLDP
37,EOG
38,FITB
39,CVBF
40,MS
41,HWC
42,SNPS
43,CD
44,GOOGL
45,ENPH
46,SOGO
47,QLYS
48,CASH
49,MANH
50,FI
51,BIDU
52,SOXL
53,HP
54,FNB
55,CERN
56,LAZ
57,PTEN
58,IBKR
59,PRO
60,DBX
61,PDD
62,PINS
63,ACIW
64,INTU
65,GSX
66,AVGO
67,TAN
68,BMA
69,WDAY
70,AMBA
71,CIT
72,UBSI
73,BSMX
74,MXIM
75,BKR
76,GS
77,KWEB
78,LOGM
79,GOOG
80,PNFP
81,TWLO
82,MGY
83,CRWD
84,TXN
85,VIRT
86,BZ
87,TD
88,DIA
89,ZEN
90,MTDR
91,MLNX
92,CBSH
93,CHKP
94,RP
95,TW
96,XLK
97,FMBI
98,WBS
99,INXN
100,FIVN
101,CHWY
102,MTB
103,BRKS
104,GWRE
105,AMKR
106,AKAM
107,NIO
108,QRVO
109,RUN
110,LRCX
111,TLT
112,FFIN
113,XOP
114,VSH
115,FHB
116,ATHM
117,PTC
118,MIME
119,LBRT
120,INTC
121,CREE
122,TCF
123,SFIX
124,KEM
125,PANW
126,SYMC
127,HAL
128,DDOG
129,FSCT
130,AVYA
131,OPRA
132,ORCL
133,CRM
134,AZPN
135,HUBS
136,SAIL
137,CLB
138,SBNY
139,SE
140,SMAR
141,CFR
142,HOMB
143,KC
144,CRK
145,API
146,PB
147,EA
148,EVR
149,KEY
150,GGAL
151,BNS
152,LPI
153,IIVI
154,LTXB
155,CDAY
156,ADBE
157,MC
158,AMD
159,FULT
160,TCBI
161,XLE
162,ADI
163,CY
164,SIVB
165,VMW
166,FB
167,NWBI
168,SMTC
169,DRQ
170,LI
171,CM
172,JEF
173,WFC
174,VEEV
175,PFPT
176,MRO
177,VRNT
178,FCF
179,PBCT
180,BAND
181,BXS
182,OLED
183,LPSN
184,MU
185,STL
186,ZM
187,PPBI
188,USB
189,BL
190,ISBC
191,YELP
192,GBCI
193,AMZN
194,MUR
195,ONB
196,VBTX
197,TIVO
198,SYNA
199,RIG
200,XEC
201,NOW
202,PING
203,ANSS
204,HES
205,MRVL
206,MDB
207,ENTG
208,INST
209,PNC
210,FANG
211,IBKC
212,VLY
213,JCOM
214,HBAN
215,WTFC
216,JAG
217,ASB
218,ZS
219,ARRY
220,ENV
221,BKI
222,KOS
223,TWTR
224,OKTA
225,FSLR
226,NEWR
227,ZTO
228,FEYE
229,OZK
230,TELL
231,CFG
232,MFGP
233,HTHT
234,SNV
235,ROKU
236,TCEHY
237,CISN
238,PLAN
239,CNX
240,CLR
241,STI
242,LSCC
243,SQ
244,RMBS
245,EQT
246,CLSK
247,EVBG
248,SNAP
249,QCOM
250,SSNC
251,MCHI
252,CYBR
253,BKU
254,VIPS
255,CSIQ
256,XOM
257,FHN
258,CTXS
259,NPSNY
260,APY
261,INOV
262,BABA
263,BMO
264,ZNGA
265,NUAN
266,CDK
267,MXL
268,YY
269,JKS
270,W
271,ADSK
272,FBP
273,TER
274,TTWO
275,ABCB
276,FTI
277,SWKS
278,EWBC
279,NOVA
280,SPLK
281,HUYA
282,TENB
283,MCHP
284,TUYA
285,SWI
286,FORM
287,JPM
288,FTNT
289,RVLV
290,COG
291,NOV
292,TSEM
293,SPY
294,ALTR
295,PXD
296,COP
297,HLI
298,BILI
299,AYX
300,WAL
301,WPX
302,PACW
303,CHNG
304,ETSY
305,WB
306,ERF
307,HTH
308,C
309,NBL
310,MDRX
311,OTEX
312,SEDG
313,PDCE
314,MKSI
315,TCOM
316,CNQ
317,ZUO
318,OII
319,HCAT
320,FSLY
321,KLIC
322,UCBI
323,APPN
324,DT
325,AUB
326,IPHI
327,WAFD
328,IQ
329,CXO
330,OXY
331,MPWR
332,RPD
333,CSFL
334,TME
335,DVN
336,VET
337,QQQ
338,VRRM
339,MOMO
340,DOCU
341,FFBC
342,FRC
343,CDNS
344,SFNC
345,XLNX
346,YEXT
347,MTSI
348,NXPI
349,SLB
350,AROC
351,CVLT
352,IPGP
353,PROSY
354,KLAC
355,CADE
356,XPEV
357,GDS
358,UMPQ
359,DNOW
360,DADA
361,MDLA
362,HLX
363,PAYC
364,CMA
365,NVDA
