,0
0,JPM
1,C
2,RY
3,BNS
4,BMO
5,CLSK
6,WFC
7,TD
8,USB
9,PNC
10,CM
11,STI
12,FITB
13,MTB
14,KEY
15,FRC
16,RF
17,CFG
18,HBAN
19,SIVB
20,CMA
21,BSMX
22,ZION
23,CBSH
24,PBCT
25,SBNY
26,EWBC
27,NYCB
28,TCF
29,CFR
30,BPOP
31,WAL
32,SNV
33,FHN
34,PB
35,FFIN
36,PNFP
37,PACW
38,CIT
39,WBS
40,STL
41,UBSI
42,FNB
43,GBCI
44,IBKC
45,VLY
46,OZK
47,WTFC
48,HWC
49,FHB
50,UMPQ
51,ISBC
52,BKU
53,ASB
54,CSFL
55,HOMB
56,BXS
57,ONB
58,AUB
59,ABCB
60,CVBF
61,WAFD
62,FULT
63,TCBI
64,UCBI
65,FFBC
66,SFNC
67,FBP
68,FMBI
69,HTH
70,LTXB
71,PPBI
72,CADE
73,NWBI
74,HOPE
75,GGAL
76,BMA
77,FCF
78,VBTX
79,CASH
80,OFG
81,GS
82,MS
83,IBKR
84,TW
85,JEF
86,LAZ
87,VIRT
88,HLI
89,EVR
90,BGCP
91,MC
